tanggal,jam,suhu_C,cuaca,RH_%,wind_kmh
21-09-2026,00:00,26.0,Cerah,71.0,1.5
21-09-2026,01:00,26.0,Cerah,71.0,1.5
21-09-2026,02:00,25.0,Cerah,68.0,4.3
21-09-2026,03:00,25.0,Cerah,68.0,4.3
21-09-2026,04:00,25.0,Cerah,68.0,4.3
21-09-2026,05:00,27.0,Cerah,61.0,5.8
21-09-2026,06:00,27.0,Cerah,61.0,5.8
21-09-2026,07:00,27.0,Cerah,61.0,5.8
21-09-2026,08:00,33.0,Cerah,44.0,8.1
21-09-2026,09:00,33.0,Cerah,44.0,8.1
21-09-2026,10:00,33.0,Cerah,44.0,8.1
21-09-2026,11:00,35.0,Cerah,39.0,16.7
21-09-2026,12:00,35.0,Cerah,39.0,16.7
21-09-2026,13:00,35.0,Cerah,39.0,16.7
21-09-2026,14:00,32.0,Cerah,48.0,15.4
21-09-2026,15:00,32.0,Cerah,48.0,15.4
21-09-2026,16:00,32.0,Cerah,48.0,15.4
21-09-2026,17:00,29.0,Cerah Berawan,69.0,10.0
21-09-2026,18:00,29.0,Cerah Berawan,69.0,10.0
21-09-2026,19:00,29.0,Cerah Berawan,69.0,10.0
21-09-2026,20:00,28.0,Cerah,70.0,6.6
21-09-2026,21:00,28.0,Cerah,70.0,6.6
21-09-2026,22:00,28.0,Cerah,70.0,6.6
21-09-2026,23:00,28.0,Cerah,70.0,6.6
