jam,sources_used,weight_total,coverage_status,source_list,dominant_category,confidence_score,confidence_label,temp_mean,temp_error,rh_mean,rh_error,rain_mean,rain_error,heat_index_mean,heat_index_error,%cerah,%cerah_berawan,%berawan,%hujan_ringan,%hujan_sedang,%hujan_lebat,temp_std,rh_std,rain_std,heat_index_std,sources_expected,coverage_fraction,gap_mean_minutes,gap_max_minutes
00:00,9,12.405,cukup,"BMKG,CMA,ECMWF,GFS,ICON,KMA,METEOFRANCE,METNO,UKMO",Cerah,82.9,Tinggi,25.61,+/-0.49,74.8,+/-3.46,0.0,+/-0.0,25.61,+/-0.49,36.4,34.0,29.6,0.0,0.0,0.0,0.49,3.46,0.0,0.49,9,1.0,0.0,0.0
01:00,9,11.9581,cukup,"BMKG,CMA,ECMWF,GFS,ICON,KMA,METEOFRANCE,METNO,UKMO",Cerah,84.5,Tinggi,25.25,+/-0.54,75.27,+/-3.75,0.0,+/-0.0,25.25,+/-0.54,46.5,22.8,30.7,0.0,0.0,0.0,0.54,3.75,0.0,0.54,9,1.0,6.67,60.0
02:00,9,11.9581,cukup,"BMKG,CMA,ECMWF,GFS,ICON,KMA,METEOFRANCE,METNO,UKMO",Cerah Berawan,88.3,Tinggi,24.57,+/-0.44,76.85,+/-4.38,0.0,+/-0.0,24.57,+/-0.44,34.1,61.4,4.5,0.0,0.0,0.0,0.44,4.38,0.0,0.44,9,1.0,6.67,60.0
03:00,9,12.405,cukup,"BMKG,CMA,ECMWF,GFS,ICON,KMA,METEOFRANCE,METNO,UKMO",Cerah Berawan,86.3,Tinggi,24.17,+/-0.29,78.54,+/-5.08,0.0,+/-0.0,24.17,+/-0.29,45.8,49.8,4.4,0.0,0.0,0.0,0.29,5.08,0.0,0.29,9,1.0,0.0,0.0
04:00,9,11.9581,cukup,"BMKG,CMA,ECMWF,GFS,ICON,KMA,METEOFRANCE,METNO,UKMO",Cerah,87.0,Tinggi,23.89,+/-0.22,79.11,+/-5.65,0.0,+/-0.0,23.89,+/-0.22,56.3,39.2,4.5,0.0,0.0,0.0,0.22,5.65,0.0,0.22,9,1.0,6.67,60.0
05:00,9,11.9581,cukup,"BMKG,CMA,ECMWF,GFS,ICON,KMA,METEOFRANCE,METNO,UKMO",Cerah,90.7,Tinggi,24.01,+/-0.88,77.69,+/-6.85,0.0,+/-0.0,24.01,+/-0.88,72.7,22.8,4.5,0.0,0.0,0.0,0.88,6.85,0.0,0.88,9,1.0,6.67,60.0
06:00,9,12.405,cukup,"BMKG,CMA,ECMWF,GFS,ICON,KMA,METEOFRANCE,METNO,UKMO",Cerah,88.7,Tinggi,24.59,+/-1.38,76.61,+/-7.1,0.0,+/-0.0,24.23,+/-1.08,62.4,33.2,4.4,0.0,0.0,0.0,1.38,7.1,0.0,1.08,9,1.0,0.0,0.0
07:00,9,11.9581,cukup,"BMKG,CMA,ECMWF,GFS,ICON,KMA,METEOFRANCE,METNO,UKMO",Cerah,90.7,Tinggi,26.03,+/-0.91,70.12,+/-6.2,0.0,+/-0.0,25.75,+/-0.62,72.7,22.8,4.5,0.0,0.0,0.0,0.91,6.2,0.0,0.62,9,1.0,6.67,60.0
08:00,9,11.9581,cukup,"BMKG,CMA,ECMWF,GFS,ICON,KMA,METEOFRANCE,METNO,UKMO",Cerah,90.3,Tinggi,28.87,+/-0.93,57.41,+/-11.09,0.01,+/-0.03,30.3,+/-1.9,72.7,13.0,4.5,9.8,0.0,0.0,0.93,11.09,0.03,1.9,9,1.0,6.67,60.0
09:00,9,12.405,cukup,"BMKG,CMA,ECMWF,GFS,ICON,KMA,METEOFRANCE,METNO,UKMO",Cerah,91.9,Tinggi,32.02,+/-0.54,45.98,+/-6.86,0.01,+/-0.03,32.49,+/-1.28,73.7,12.5,4.4,9.4,0.0,0.0,0.54,6.86,0.03,1.28,9,1.0,0.0,0.0
10:00,9,11.9581,cukup,"BMKG,CMA,ECMWF,GFS,ICON,KMA,METEOFRANCE,METNO,UKMO",Cerah,88.2,Tinggi,33.36,+/-0.92,37.73,+/-2.1,0.01,+/-0.03,33.55,+/-1.05,61.6,24.2,4.5,9.8,0.0,0.0,0.92,2.1,0.03,1.05,9,1.0,6.67,60.0
11:00,9,11.9581,cukup,"BMKG,CMA,ECMWF,GFS,ICON,KMA,METEOFRANCE,METNO,UKMO",Cerah,90.4,Tinggi,34.68,+/-1.12,36.23,+/-4.56,0.01,+/-0.03,34.71,+/-0.83,71.3,13.0,4.5,11.1,0.0,0.0,1.12,4.56,0.03,0.83,9,1.0,6.67,60.0
12:00,9,12.405,cukup,"BMKG,CMA,ECMWF,GFS,ICON,KMA,METEOFRANCE,METNO,UKMO",Cerah,88.1,Tinggi,34.72,+/-1.7,38.24,+/-7.92,0.03,+/-0.09,35.44,+/-0.79,60.9,23.9,4.4,10.7,0.0,0.0,1.7,7.92,0.09,0.79,9,1.0,0.0,0.0
13:00,9,11.9581,cukup,"BMKG,CMA,ECMWF,GFS,ICON,KMA,METEOFRANCE,METNO,UKMO",Cerah,84.0,Tinggi,34.75,+/-1.5,39.17,+/-6.19,0.04,+/-0.07,35.93,+/-0.32,47.1,25.5,4.5,22.8,0.0,0.0,1.5,6.19,0.07,0.32,9,1.0,6.67,60.0
