jam,sources_used,weight_total,coverage_status,source_list,dominant_category,confidence_score,confidence_label,temp_mean,temp_error,rh_mean,rh_error,rain_mean,rain_error,heat_index_mean,heat_index_error,%cerah,%cerah_berawan,%berawan,%hujan_ringan,%hujan_sedang,%hujan_lebat,temp_std,rh_std,rain_std,heat_index_std,sources_expected,coverage_fraction,gap_mean_minutes,gap_max_minutes
00:00,7,9.1443,cukup,"CMA,ECMWF,GFS,ICON,KMA,METEOFRANCE,UKMO",Berawan,81.5,Tinggi,25.22,+/-0.46,74.1,+/-5.09,0.0,+/-0.0,25.22,+/-0.46,12.6,0.0,87.4,0.0,0.0,0.0,0.46,5.09,0.0,0.46,9,0.7778,0.0,0.0
01:00,7,9.1443,cukup,"CMA,ECMWF,GFS,ICON,KMA,METEOFRANCE,UKMO",Berawan,77.1,Sedang,25.21,+/-0.99,74.25,+/-5.37,0.0,+/-0.0,24.78,+/-0.37,12.6,16.2,71.2,0.0,0.0,0.0,0.99,5.37,0.0,0.37,9,0.7778,0.0,0.0
02:00,7,9.1443,cukup,"CMA,ECMWF,GFS,ICON,KMA,METEOFRANCE,UKMO",Berawan,77.4,Sedang,24.3,+/-0.46,75.59,+/-5.77,0.0,+/-0.0,24.3,+/-0.46,12.6,16.2,71.2,0.0,0.0,0.0,0.46,5.77,0.0,0.46,9,0.7778,0.0,0.0
03:00,7,9.1443,cukup,"CMA,ECMWF,GFS,ICON,KMA,METEOFRANCE,UKMO",Berawan,76.9,Sedang,24.57,+/-1.28,75.89,+/-6.34,0.0,+/-0.0,24.08,+/-0.81,12.6,16.2,71.2,0.0,0.0,0.0,1.28,6.34,0.0,0.81,9,0.7778,0.0,0.0
04:00,7,9.1443,cukup,"CMA,ECMWF,GFS,ICON,KMA,METEOFRANCE,UKMO",Berawan,73.3,Sedang,24.18,+/-1.34,77.62,+/-6.79,0.0,+/-0.0,24.18,+/-1.34,12.6,30.6,56.8,0.0,0.0,0.0,1.34,6.79,0.0,1.34,9,0.7778,0.0,0.0
05:00,7,9.1443,cukup,"CMA,ECMWF,GFS,ICON,KMA,METEOFRANCE,UKMO",Cerah,69.8,Sedang,24.04,+/-1.33,78.36,+/-7.66,0.0,+/-0.0,24.04,+/-1.33,43.2,34.0,22.8,0.0,0.0,0.0,1.33,7.66,0.0,1.33,9,0.7778,0.0,0.0
06:00,7,9.1443,cukup,"CMA,ECMWF,GFS,ICON,KMA,METEOFRANCE,UKMO",Cerah,69.8,Sedang,24.34,+/-1.27,77.22,+/-8.05,0.0,+/-0.0,24.34,+/-1.27,43.2,34.0,22.8,0.0,0.0,0.0,1.27,8.05,0.0,1.27,9,0.7778,0.0,0.0
07:00,7,9.1443,cukup,"CMA,ECMWF,GFS,ICON,KMA,METEOFRANCE,UKMO",Cerah,79.0,Sedang,26.03,+/-0.15,69.92,+/-6.66,0.0,+/-0.0,26.03,+/-0.15,77.2,16.9,5.9,0.0,0.0,0.0,0.15,6.66,0.0,0.15,9,0.7778,0.0,0.0
08:00,7,9.1443,cukup,"CMA,ECMWF,GFS,ICON,KMA,METEOFRANCE,UKMO",Cerah,74.7,Sedang,28.64,+/-0.88,58.81,+/-7.57,0.0,+/-0.0,30.2,+/-0.79,61.8,32.3,5.9,0.0,0.0,0.0,0.88,7.57,0.0,0.79,9,0.7778,0.0,0.0
09:00,7,9.1443,cukup,"CMA,ECMWF,GFS,ICON,KMA,METEOFRANCE,UKMO",Cerah,78.5,Sedang,31.02,+/-1.24,43.59,+/-6.06,0.0,+/-0.0,32.11,+/-0.9,77.2,16.9,5.9,0.0,0.0,0.0,1.24,6.06,0.0,0.9,9,0.7778,0.0,0.0
10:00,7,9.1443,cukup,"CMA,ECMWF,GFS,ICON,KMA,METEOFRANCE,UKMO",Cerah,78.2,Sedang,32.51,+/-1.27,39.9,+/-9.61,0.0,+/-0.0,33.09,+/-0.78,77.2,16.9,5.9,0.0,0.0,0.0,1.27,9.61,0.0,0.78,9,0.7778,0.0,0.0
11:00,7,9.1443,cukup,"CMA,ECMWF,GFS,ICON,KMA,METEOFRANCE,UKMO",Cerah,78.5,Sedang,33.42,+/-1.06,37.08,+/-7.63,0.0,+/-0.0,33.91,+/-0.83,77.2,16.9,5.9,0.0,0.0,0.0,1.06,7.63,0.0,0.83,9,0.7778,0.0,0.0
12:00,7,9.1443,cukup,"CMA,ECMWF,GFS,ICON,KMA,METEOFRANCE,UKMO",Cerah,78.6,Sedang,33.85,+/-0.97,36.84,+/-5.82,0.0,+/-0.0,34.31,+/-0.87,77.2,16.9,5.9,0.0,0.0,0.0,0.97,5.82,0.0,0.87,9,0.7778,0.0,0.0
13:00,7,9.1443,cukup,"CMA,ECMWF,GFS,ICON,KMA,METEOFRANCE,UKMO",Cerah,74.8,Sedang,33.45,+/-0.86,40.14,+/-5.76,0.0,+/-0.0,34.4,+/-1.09,61.8,32.3,5.9,0.0,0.0,0.0,0.86,5.76,0.0,1.09,9,0.7778,0.0,0.0
14:00,7,9.1443,cukup,"CMA,ECMWF,GFS,ICON,KMA,METEOFRANCE,UKMO",Cerah,71.2,Sedang,32.86,+/-0.92,43.18,+/-6.36,0.0,+/-0.0,34.41,+/-1.31,47.4,46.7,5.9,0.0,0.0,0.0,0.92,6.36,0.0,1.31,9,0.7778,0.0,0.0
15:00,7,9.1443,cukup,"CMA,ECMWF,GFS,ICON,KMA,METEOFRANCE,UKMO",Cerah,75.1,Sedang,31.84,+/-1.12,47.94,+/-9.23,0.0,+/-0.0,33.63,+/-1.09,64.6,29.5,5.9,0.0,0.0,0.0,1.12,9.23,0.0,1.09,9,0.7778,0.0,0.0
16:00,7,9.1443,cukup,"CMA,ECMWF,GFS,ICON,KMA,METEOFRANCE,UKMO",Cerah,71.6,Sedang,30.66,+/-1.2,50.07,+/-4.83,0.0,+/-0.0,32.65,+/-1.05,49.2,44.9,5.9,0.0,0.0,0.0,1.2,4.83,0.0,1.05,9,0.7778,0.0,0.0
17:00,7,9.1443,cukup,"CMA,ECMWF,GFS,ICON,KMA,METEOFRANCE,UKMO",Cerah Berawan,70.9,Sedang,29.44,+/-1.08,57.02,+/-2.99,0.0,+/-0.0,31.71,+/-1.25,33.0,45.7,21.3,0.0,0.0,0.0,1.08,2.99,0.0,1.25,9,0.7778,0.0,0.0
18:00,7,9.1443,cukup,"CMA,ECMWF,GFS,ICON,KMA,METEOFRANCE,UKMO",Cerah,75.0,Sedang,28.22,+/-1.06,64.71,+/-2.15,0.0,+/-0.0,30.59,+/-1.46,61.8,16.9,21.3,0.0,0.0,0.0,1.06,2.15,0.0,1.46,9,0.7778,0.0,0.0
19:00,7,9.1443,cukup,"CMA,ECMWF,GFS,ICON,KMA,METEOFRANCE,UKMO",Berawan,68.9,Sedang,27.54,+/-1.05,70.8,+/-4.64,0.0,+/-0.0,29.38,+/-2.2,27.0,34.8,38.2,0.0,0.0,0.0,1.05,4.64,0.0,2.2,9,0.7778,0.0,0.0
20:00,7,9.1443,cukup,"CMA,ECMWF,GFS,ICON,KMA,METEOFRANCE,UKMO",Berawan,68.8,Sedang,26.95,+/-1.12,72.15,+/-5.73,0.0,+/-0.0,28.18,+/-2.22,27.0,34.8,38.2,0.0,0.0,0.0,1.12,5.73,0.0,2.22,9,0.7778,0.0,0.0
