date,day_tag,hour,condition,temp_c,humidity_pct,heat_index_c,rain_probability,wind_kmh,risk_score,risk_label,risk_class
2026-09-19,Hari ini,00:00,Hujan lokal,25.9,77.0,25.9,50.0,5.8,45.0,Perlu diperhatikan,watch
2026-09-19,Hari ini,01:00,Cerah berawan,25.5,77.0,25.5,0.0,4.4,0,Aman,safe
2026-09-19,Hari ini,02:00,Cerah berawan,25.2,81.0,25.2,8.8,4.2,6.5,Aman,safe
2026-09-19,Hari ini,03:00,Cerah berawan,25.0,83.0,25.0,10.1,3.2,7.5,Aman,safe
2026-09-19,Hari ini,04:00,Cerah berawan,25.1,82.0,25.1,10.7,4.0,7.9,Aman,safe
2026-09-19,Hari ini,05:00,Cerah berawan,25.5,79.0,25.5,10.1,4.7,7.5,Aman,safe
2026-09-19,Hari ini,06:00,Hujan lokal kuat,25.9,75.0,25.9,90.0,4.7,81.6,Berpotensi signifikan,danger
2026-09-19,Hari ini,07:00,Cerah berawan,26.7,71.0,28.35,0.0,4.3,0,Aman,safe
2026-09-19,Hari ini,08:00,Cerah berawan,28.8,61.0,30.75,0.0,6.1,0,Aman,safe
2026-09-19,Hari ini,09:00,Berawan dipantau,31.3,50.0,32.95,0.0,6.8,7.8,Aman,safe
2026-09-19,Hari ini,10:00,Cerah berawan,33.0,47.0,34.73,0.0,11.3,14.9,Aman,safe
2026-09-19,Hari ini,11:00,Cerah berawan,34.0,44.0,35.8,0.0,12.8,19.2,Aman,safe
2026-09-19,Hari ini,12:00,Hujan lokal,34.2,42.0,36.32,50.0,15.2,66.3,Waspada,rain
2026-09-19,Hari ini,13:00,Cerah berawan,34.2,44.0,36.71,1.5,17.1,24.0,Aman,safe
2026-09-19,Hari ini,14:00,Cerah berawan,33.8,46.0,36.52,4.6,18.7,25.9,Aman,safe
2026-09-19,Hari ini,15:00,Cerah,32.6,50.0,35.5,6.8,18.7,23.4,Aman,safe
2026-09-19,Hari ini,16:00,Cerah berawan,31.6,55.0,34.68,7.7,18.1,20.5,Aman,safe
2026-09-19,Hari ini,17:00,Cerah berawan,30.5,61.0,33.63,11.9,15.9,19.3,Aman,safe
2026-09-19,Hari ini,18:00,Cerah berawan,29.5,64.0,31.07,2.0,12.8,1.8,Aman,safe
2026-09-19,Hari ini,19:00,Hujan lokal kuat,29.0,63.0,30.7,70.0,10.1,66.8,Waspada,rain
2026-09-19,Hari ini,20:00,Hujan lokal kuat,28.0,60.0,30.03,90.0,10.0,81.6,Berpotensi signifikan,danger
2026-09-19,Hari ini,21:00,Hujan lokal kuat,28.0,62.0,29.34,80.0,7.4,74.2,Waspada,rain
2026-09-19,Hari ini,22:00,Cerah berawan,27.0,65.0,28.45,1.2,6.0,0.9,Aman,safe
2026-09-19,Hari ini,23:00,Cerah berawan,26.5,67.0,26.5,1.2,5.4,0.9,Aman,safe
2026-09-20,Besok,00:00,Hujan lokal kuat,26.0,67.0,26.0,70.0,4.7,66.8,Waspada,rain
2026-09-20,Besok,01:00,Cerah berawan,25.9,70.0,25.9,20.0,3.7,14.8,Aman,safe
2026-09-20,Besok,02:00,Berawan dipantau,25.2,72.0,25.2,20.0,2.9,14.8,Aman,safe
2026-09-20,Besok,03:00,Cerah berawan,25.0,69.0,25.0,20.0,3.7,14.8,Aman,safe
2026-09-20,Besok,04:00,Cerah berawan,24.9,71.0,24.9,20.0,2.88,14.8,Aman,safe
