tanggal,jam,observed_datetime,temp_c,rh_pct,rain_mm,wind_kmh,weather_code,category
14-08-2026,00:00,2026-08-14 00:00:00,25.5,84.0,0.0,1.1,3,Berawan
14-08-2026,01:00,2026-08-14 01:00:00,25.1,84.0,0.0,2.7,3,Berawan
14-08-2026,02:00,2026-08-14 02:00:00,24.2,87.0,0.0,1.9,3,Berawan
14-08-2026,03:00,2026-08-14 03:00:00,23.6,89.0,0.0,3.3,3,Berawan
14-08-2026,04:00,2026-08-14 04:00:00,23.2,90.0,0.0,2.3,3,Berawan
14-08-2026,05:00,2026-08-14 05:00:00,22.9,92.0,0.0,3.1,1,Cerah Berawan
14-08-2026,06:00,2026-08-14 06:00:00,23.0,90.0,0.0,1.4,1,Cerah Berawan
14-08-2026,07:00,2026-08-14 07:00:00,24.4,77.0,0.0,2.1,0,Cerah
14-08-2026,08:00,2026-08-14 08:00:00,27.1,62.0,0.0,2.0,0,Cerah
14-08-2026,09:00,2026-08-14 09:00:00,29.7,50.0,0.0,2.3,0,Cerah
14-08-2026,10:00,2026-08-14 10:00:00,31.6,46.0,0.0,0.9,0,Cerah
14-08-2026,11:00,2026-08-14 11:00:00,33.2,41.0,0.0,1.3,0,Cerah
14-08-2026,12:00,2026-08-14 12:00:00,34.5,37.0,0.0,2.3,0,Cerah
14-08-2026,13:00,2026-08-14 13:00:00,35.7,35.0,0.0,9.2,0,Cerah
14-08-2026,14:00,2026-08-14 14:00:00,35.6,38.0,0.0,14.1,0,Cerah
14-08-2026,15:00,2026-08-14 15:00:00,34.7,41.0,0.0,17.4,0,Cerah
14-08-2026,16:00,2026-08-14 16:00:00,32.8,48.0,0.0,20.1,1,Cerah Berawan
14-08-2026,17:00,2026-08-14 17:00:00,31.0,55.0,0.0,18.5,1,Cerah Berawan
14-08-2026,18:00,2026-08-14 18:00:00,29.6,64.0,0.0,16.6,0,Cerah
14-08-2026,19:00,2026-08-14 19:00:00,29.6,68.0,0.0,10.3,0,Cerah
14-08-2026,20:00,2026-08-14 20:00:00,29.1,69.0,0.0,0.6,0,Cerah
14-08-2026,21:00,2026-08-14 21:00:00,28.2,71.0,0.0,3.8,0,Cerah
14-08-2026,22:00,2026-08-14 22:00:00,27.3,73.0,0.0,2.8,0,Cerah
14-08-2026,23:00,2026-08-14 23:00:00,26.8,71.0,0.0,6.4,0,Cerah
