tanggal,jam,suhu_C,cuaca,RH_%,wind_kmh
27-08-2026,11:00,29.0,Cerah,47.0,7.1
27-08-2026,12:00,29.0,Cerah,47.0,7.1
27-08-2026,13:00,29.0,Cerah,47.0,7.1
27-08-2026,14:00,29.0,Cerah,47.0,7.1
27-08-2026,15:00,29.0,Cerah,47.0,7.1
27-08-2026,16:00,24.0,Berawan,70.0,3.3
27-08-2026,17:00,24.0,Berawan,70.0,3.3
27-08-2026,18:00,24.0,Berawan,70.0,3.3
27-08-2026,19:00,21.0,Cerah,79.0,5.6
27-08-2026,20:00,21.0,Cerah,79.0,5.6
27-08-2026,21:00,21.0,Cerah,79.0,5.6
27-08-2026,22:00,19.0,Berawan,86.0,6.7
27-08-2026,23:00,19.0,Berawan,86.0,6.7
