jam,sources_used,weight_total,coverage_status,source_list,dominant_category,confidence_score,confidence_label,temp_mean,temp_error,rh_mean,rh_error,rain_mean,rain_error,heat_index_mean,heat_index_error,%cerah,%cerah_berawan,%berawan,%hujan_ringan,%hujan_sedang,%hujan_lebat,temp_std,rh_std,rain_std,heat_index_std,sources_expected,coverage_fraction,gap_mean_minutes,gap_max_minutes
00:00,9,11.9383,cukup,"BMKG,CMA,ECMWF,GFS,ICON,KMA,METEOFRANCE,METNO,UKMO",Hujan Ringan,84.5,Tinggi,21.06,+/-1.01,89.9,+/-4.23,0.09,+/-0.14,21.06,+/-1.01,13.9,37.3,4.6,44.2,0.0,0.0,1.01,4.23,0.14,1.01,9,1.0,0.0,0.0
01:00,9,11.5232,cukup,"BMKG,CMA,ECMWF,GFS,ICON,KMA,METEOFRANCE,METNO,UKMO",Cerah Berawan,84.9,Tinggi,20.83,+/-0.85,92.39,+/-2.3,0.37,+/-0.69,20.83,+/-0.85,10.8,50.1,4.7,34.4,0.0,0.0,0.85,2.3,0.69,0.85,9,1.0,6.67,60.0
02:00,9,11.5232,cukup,"BMKG,CMA,ECMWF,GFS,ICON,KMA,METEOFRANCE,METNO,UKMO",Cerah Berawan,87.4,Tinggi,20.58,+/-1.18,91.36,+/-1.36,0.14,+/-0.25,20.58,+/-1.18,0.0,59.3,16.2,24.6,0.0,0.0,1.18,1.36,0.25,1.18,9,1.0,6.67,60.0
03:00,9,11.9383,cukup,"BMKG,CMA,ECMWF,GFS,ICON,KMA,METEOFRANCE,METNO,UKMO",Cerah Berawan,86.2,Tinggi,20.14,+/-1.29,92.6,+/-3.16,0.06,+/-0.11,20.14,+/-1.29,20.5,51.2,4.6,23.7,0.0,0.0,1.29,3.16,0.11,1.29,9,1.0,0.0,0.0
04:00,9,11.5232,cukup,"BMKG,CMA,ECMWF,GFS,ICON,KMA,METEOFRANCE,METNO,UKMO",Cerah Berawan,84.4,Tinggi,20.79,+/-2.31,92.72,+/-2.87,0.06,+/-0.13,20.79,+/-2.31,21.3,49.4,4.7,24.6,0.0,0.0,2.31,2.87,0.13,2.31,9,1.0,6.67,60.0
05:00,9,11.5232,cukup,"BMKG,CMA,ECMWF,GFS,ICON,KMA,METEOFRANCE,METNO,UKMO",Cerah Berawan,82.3,Tinggi,20.24,+/-1.07,92.52,+/-3.07,0.04,+/-0.1,20.24,+/-1.07,32.1,38.6,17.3,12.0,0.0,0.0,1.07,3.07,0.1,1.07,9,1.0,6.67,60.0
06:00,9,11.9383,cukup,"BMKG,CMA,ECMWF,GFS,ICON,KMA,METEOFRANCE,METNO,UKMO",Cerah Berawan,83.0,Tinggi,20.39,+/-1.0,93.39,+/-2.21,0.0,+/-0.0,20.39,+/-1.0,34.4,37.3,28.3,0.0,0.0,0.0,1.0,2.21,0.0,1.0,9,1.0,0.0,0.0
07:00,9,11.5232,cukup,"BMKG,CMA,ECMWF,GFS,ICON,KMA,METEOFRANCE,METNO,UKMO",Cerah Berawan,85.5,Tinggi,21.38,+/-0.95,89.08,+/-4.64,0.0,+/-0.0,21.38,+/-0.95,32.1,51.2,16.7,0.0,0.0,0.0,0.95,4.64,0.0,0.95,9,1.0,6.67,60.0
08:00,9,11.5232,cukup,"BMKG,CMA,ECMWF,GFS,ICON,KMA,METEOFRANCE,METNO,UKMO",Cerah,83.1,Tinggi,24.27,+/-1.69,78.96,+/-3.22,0.09,+/-0.23,23.73,+/-1.04,43.5,39.8,4.7,12.0,0.0,0.0,1.69,3.22,0.23,1.04,9,1.0,6.67,60.0
09:00,9,11.9383,cukup,"BMKG,CMA,ECMWF,GFS,ICON,KMA,METEOFRANCE,METNO,UKMO",Cerah,85.4,Tinggi,25.46,+/-0.61,68.37,+/-5.43,0.21,+/-0.52,25.46,+/-0.61,48.5,24.3,4.6,22.6,0.0,0.0,0.61,5.43,0.52,0.61,9,1.0,0.0,0.0
