date,day_tag,hour,condition,temp_c,humidity_pct,heat_index_c,rain_probability,wind_kmh,risk_score,risk_label,risk_class
2026-09-07,Hari ini,00:00,Berawan dipantau,19.7,81.0,19.7,0.0,3.6,0,Aman,safe
2026-09-07,Hari ini,01:00,Cerah berawan,19.2,81.0,19.2,0.0,4.3,0,Aman,safe
2026-09-07,Hari ini,02:00,Cerah berawan,18.8,87.0,18.8,0.0,3.8,1.3,Aman,safe
2026-09-07,Hari ini,03:00,Lembap malam,18.5,89.0,18.5,0.0,3.7,2.1,Aman,safe
2026-09-07,Hari ini,04:00,Lembap pagi,17.9,90.0,17.9,0.0,4.4,2.5,Aman,safe
2026-09-07,Hari ini,05:00,Lembap pagi,17.3,90.0,17.3,0.0,4.4,2.5,Aman,safe
2026-09-07,Hari ini,06:00,Cerah berawan,16.9,89.0,16.9,0.0,4.4,2.1,Aman,safe
2026-09-07,Hari ini,07:00,Cerah berawan,19.5,78.0,19.5,0.0,6.1,0,Aman,safe
2026-09-07,Hari ini,08:00,Cerah,21.1,67.0,21.1,0.0,6.4,0,Aman,safe
2026-09-07,Hari ini,09:00,Cerah,24.1,54.9,24.1,0.0,6.8,0,Aman,safe
2026-09-07,Hari ini,10:00,Cerah berawan,26.8,44.4,27.29,0.0,6.5,0,Aman,safe
2026-09-07,Hari ini,11:00,Hujan lokal kuat,28.8,40.0,28.8,100.0,6.4,89.0,Berpotensi signifikan,danger
2026-09-07,Hari ini,12:00,Cerah,30.4,36.0,30.4,1.5,6.4,1.1,Aman,safe
2026-09-07,Hari ini,13:00,Cerah,30.6,36.0,30.6,4.0,5.8,3.0,Aman,safe
2026-09-07,Hari ini,14:00,Cerah,30.8,33.0,30.8,5.0,5.8,3.7,Aman,safe
2026-09-07,Hari ini,15:00,Cerah berawan,30.5,33.0,30.5,7.5,9.4,5.5,Aman,safe
2026-09-07,Hari ini,16:00,Berawan sore,29.6,37.0,29.6,9.0,12.5,6.7,Aman,safe
2026-09-07,Hari ini,17:00,Cerah berawan,28.8,43.0,28.8,7.0,11.4,5.2,Aman,safe
2026-09-07,Hari ini,18:00,Cerah berawan,26.8,50.0,27.14,3.5,9.0,2.6,Aman,safe
2026-09-07,Hari ini,19:00,Cerah berawan,24.0,63.0,24.0,3.3,6.3,2.4,Aman,safe
2026-09-07,Hari ini,20:00,Cerah berawan,24.0,69.0,24.0,3.2,7.8,2.4,Aman,safe
2026-09-07,Hari ini,21:00,Cerah berawan,22.5,76.0,22.5,3.3,5.9,2.4,Aman,safe
2026-09-07,Hari ini,22:00,Cerah berawan,21.1,79.0,21.1,1.7,5.5,1.3,Aman,safe
2026-09-07,Hari ini,23:00,Cerah berawan,21.1,81.0,21.1,30.0,4.4,22.2,Aman,safe
2026-09-08,Besok,00:00,Cerah berawan,20.4,85.0,20.4,0.0,4.0,0.4,Aman,safe
2026-09-08,Besok,01:00,Berawan dipantau,19.7,87.0,19.7,0.0,3.8,1.3,Aman,safe
2026-09-08,Besok,02:00,Cerah berawan,19.3,87.0,19.3,0.0,3.96,1.3,Aman,safe
2026-09-08,Besok,03:00,Lembap malam,19.0,89.0,19.0,0.0,5.0,2.1,Aman,safe
2026-09-08,Besok,04:00,Lembap malam,18.8,89.0,18.8,0.0,5.3,2.1,Aman,safe
2026-09-08,Besok,05:00,Lembap malam,18.8,88.0,18.8,0.0,5.3,1.7,Aman,safe
2026-09-08,Besok,06:00,Cerah berawan,18.9,87.0,18.9,0.0,4.3,1.3,Aman,safe
2026-09-08,Besok,07:00,Cerah berawan,20.1,81.0,20.1,0.0,4.3,0,Aman,safe
2026-09-08,Besok,08:00,Cerah berawan,22.0,70.0,22.0,0.0,4.3,0,Aman,safe
2026-09-08,Besok,09:00,Cerah,24.9,57.0,24.9,0.0,4.9,0,Aman,safe
2026-09-08,Besok,10:00,Cerah,27.3,50.1,27.85,0.0,5.7,0,Aman,safe
2026-09-08,Besok,11:00,Cerah,28.3,46.0,28.3,6.4,5.7,4.7,Aman,safe
2026-09-08,Besok,12:00,Cerah berawan,29.2,45.3,29.2,12.3,8.1,9.1,Aman,safe
2026-09-08,Besok,13:00,Cerah berawan,29.8,43.0,29.8,17.3,8.1,12.8,Aman,safe
2026-09-08,Besok,14:00,Cerah berawan,29.8,40.0,29.8,18.3,9.1,13.5,Aman,safe
