tanggal,jam,observed_datetime,temp_c,rh_pct,rain_mm,wind_kmh,weather_code,category
23-08-2026,00:00,2026-08-23 00:00:00,22.6,74.0,0.0,1.5,0,Cerah
23-08-2026,01:00,2026-08-23 01:00:00,22.1,78.0,0.0,1.8,1,Cerah Berawan
23-08-2026,02:00,2026-08-23 02:00:00,21.3,82.0,0.0,3.9,1,Cerah Berawan
23-08-2026,03:00,2026-08-23 03:00:00,20.2,88.0,0.0,5.6,1,Cerah Berawan
23-08-2026,04:00,2026-08-23 04:00:00,19.3,92.0,0.0,5.9,2,Cerah Berawan
23-08-2026,05:00,2026-08-23 05:00:00,18.3,94.0,0.0,5.9,2,Cerah Berawan
23-08-2026,06:00,2026-08-23 06:00:00,17.2,99.0,0.0,5.5,3,Berawan
23-08-2026,07:00,2026-08-23 07:00:00,18.7,95.0,0.0,4.2,3,Berawan
23-08-2026,08:00,2026-08-23 08:00:00,22.0,77.0,0.0,1.5,3,Berawan
23-08-2026,09:00,2026-08-23 09:00:00,25.1,61.0,0.0,3.7,3,Berawan
23-08-2026,10:00,2026-08-23 10:00:00,27.6,47.0,0.0,4.7,2,Cerah Berawan
23-08-2026,11:00,2026-08-23 11:00:00,29.6,39.0,0.0,6.1,3,Berawan
23-08-2026,12:00,2026-08-23 12:00:00,31.0,35.0,0.0,8.4,1,Cerah Berawan
23-08-2026,13:00,2026-08-23 13:00:00,31.8,32.0,0.0,7.8,2,Cerah Berawan
23-08-2026,14:00,2026-08-23 14:00:00,32.3,32.0,0.0,8.9,2,Cerah Berawan
23-08-2026,15:00,2026-08-23 15:00:00,31.2,37.0,0.0,10.9,1,Cerah Berawan
23-08-2026,16:00,2026-08-23 16:00:00,30.7,37.0,0.3,7.2,51,Hujan Ringan
23-08-2026,17:00,2026-08-23 17:00:00,30.3,37.0,0.0,4.4,2,Cerah Berawan
23-08-2026,18:00,2026-08-23 18:00:00,28.2,45.0,0.0,3.4,0,Cerah
23-08-2026,19:00,2026-08-23 19:00:00,27.2,47.0,0.0,4.7,0,Cerah
23-08-2026,20:00,2026-08-23 20:00:00,25.7,57.0,0.0,4.3,0,Cerah
23-08-2026,21:00,2026-08-23 21:00:00,24.8,66.0,0.0,4.5,1,Cerah Berawan
23-08-2026,22:00,2026-08-23 22:00:00,24.1,73.0,0.0,4.0,1,Cerah Berawan
23-08-2026,23:00,2026-08-23 23:00:00,23.1,76.0,0.0,4.0,0,Cerah
