jam,cuaca,suhu_C,kelembapan_RH_pct,heat_index_C,terasa_seperti_C,dew_point_C,tekanan_udara_hpa,peluang_hujan_pct,curah_hujan_p50_mm,curah_hujan_p90_mm,angin_kmh,hembusan_angin_p90_kmh,arah_angin_derajat,tutupan_awan_pct,jarak_pandang_p10_m,indeks_uv,risiko_hujan,saran
00:00,Berawan,20.8,91.0,20.8,25.7,20.0,1015.3,1.4,0.0,0.0,2.4,13.3,195.0,82.0,20340.0,0.0,low,Risiko relatif terkendali; keputusan normal masih masuk akal dengan pemantauan berkala.
01:00,Berawan,20.4,93.0,20.4,25.0,19.5,1014.7,1.7,0.0,0.0,2.5,11.5,190.0,85.0,23460.0,0.0,low,Risiko relatif terkendali; keputusan normal masih masuk akal dengan pemantauan berkala.
02:00,Berawan,20.1,93.0,20.1,24.5,19.0,1014.4,1.2,0.0,0.0,2.9,10.8,177.0,88.0,24140.0,0.0,low,Risiko relatif terkendali; keputusan normal masih masuk akal dengan pemantauan berkala.
03:00,Berawan,19.8,93.0,19.8,24.1,18.7,1014.3,7.5,0.0,0.1,3.3,9.4,168.0,87.0,24140.0,0.0,low,Risiko relatif terkendali; keputusan normal masih masuk akal dengan pemantauan berkala.
04:00,Cerah,19.7,91.0,19.7,23.8,18.4,1014.4,8.2,0.0,0.1,3.6,8.6,144.0,68.0,23980.0,0.0,low,Risiko relatif terkendali; keputusan normal masih masuk akal dengan pemantauan berkala.
05:00,Cerah Berawan,20.0,88.0,20.0,23.7,18.3,1014.7,2.1,0.0,0.0,3.6,9.0,124.0,54.0,23540.0,0.0,low,Risiko relatif terkendali; keputusan normal masih masuk akal dengan pemantauan berkala.
06:00,Cerah Berawan,20.0,87.0,20.0,23.7,18.1,1015.2,2.1,0.0,0.0,3.2,9.7,151.0,56.0,23360.0,0.0,low,Risiko relatif terkendali; keputusan normal masih masuk akal dengan pemantauan berkala.
07:00,Cerah,21.4,82.0,21.4,24.8,18.1,1015.5,2.4,0.0,0.0,3.4,11.9,129.0,13.0,24140.0,0.8,low,"Window relatif baik untuk aktivitas luar ruang, tetapi tetap cek update menjelang siang."
08:00,Cerah,23.2,68.0,23.2,26.6,17.9,1015.6,1.0,0.0,0.0,4.0,14.4,117.0,7.0,24140.0,2.8,low,"Window relatif baik untuk aktivitas luar ruang, tetapi tetap cek update menjelang siang."
09:00,Cerah,25.8,56.0,25.8,29.1,17.7,1015.4,0.3,0.0,0.0,4.3,18.4,193.0,41.0,24140.0,5.0,low,"Window relatif baik untuk aktivitas luar ruang, tetapi tetap cek update menjelang siang."
10:00,Cerah,27.7,49.9,28.01,31.9,17.7,1014.7,0.3,0.0,0.0,4.7,21.6,179.0,7.0,24140.0,7.2,low,"Window relatif baik untuk aktivitas luar ruang, tetapi tetap cek update menjelang siang."
11:00,Cerah Berawan,29.1,46.4,29.24,33.7,17.7,1013.4,10.4,0.0,0.1,7.6,23.8,178.0,6.0,20920.0,8.7,low,"Window relatif baik untuk aktivitas luar ruang, tetapi tetap cek update menjelang siang."
12:00,Hujan Ringan,29.8,43.0,29.81,34.2,17.7,1011.9,25.6,0.0,0.4,8.0,25.6,259.0,46.0,23420.0,7.5,low,Risiko relatif terkendali; keputusan normal masih masuk akal dengan pemantauan berkala.
13:00,Hujan Ringan,29.3,49.0,29.93,33.0,18.4,1010.8,44.6,0.1,1.2,8.2,26.6,284.0,70.0,4560.0,2.4,medium,Risiko relatif terkendali; keputusan normal masih masuk akal dengan pemantauan berkala.
