location_slug,location_name,target_date,adm4,bmkg_point_name,area_level,is_proxy_bmkg,latitude,longitude,timezone,location_note,jam,sources_used,weight_total,coverage_status,source_list,dominant_category,confidence_score,confidence_label,temp_mean,temp_error,rh_mean,rh_error,rain_mean,rain_error,heat_index_mean,heat_index_error,%cerah,%cerah_berawan,%berawan,%hujan_ringan,%hujan_sedang,%hujan_lebat
dago,"Dago, Bandung",2026-05-03,32.73.02.1004,Dago,kelurahan,no,-6.889,107.61,Asia/Jakarta,"BMKG point: Dago, Coblong, Kota Bandung",10:00,9,8.7925,cukup,"BMKG,CMA,ECMWF,GFS,ICON,KMA,METEOFRANCE,METNO,UKMO",Cerah,81.4,Tinggi,26.04,+/-1.01,70.67,+/-0.71,0.21,+/-0.49,26.54,+/-1.65,35.8,24.5,16.8,22.9,0.0,0.0
dago,"Dago, Bandung",2026-05-03,32.73.02.1004,Dago,kelurahan,no,-6.889,107.61,Asia/Jakarta,"BMKG point: Dago, Coblong, Kota Bandung",13:00,9,8.7925,cukup,"BMKG,CMA,ECMWF,GFS,ICON,KMA,METEOFRANCE,METNO,UKMO",Hujan Ringan,85.7,Tinggi,26.22,+/-2.73,76.93,+/-8.21,0.61,+/-0.5,26.1,+/-2.96,0.0,0.0,19.1,58.7,0.0,22.2
dago,"Dago, Bandung",2026-05-03,32.73.02.1004,Dago,kelurahan,no,-6.889,107.61,Asia/Jakarta,"BMKG point: Dago, Coblong, Kota Bandung",16:00,9,8.7925,cukup,"BMKG,CMA,ECMWF,GFS,ICON,KMA,METEOFRANCE,METNO,UKMO",Hujan Ringan,87.8,Tinggi,24.35,+/-2.25,86.86,+/-7.4,1.7,+/-1.38,23.78,+/-1.86,0.0,0.0,7.2,68.4,0.0,24.5
dago,"Dago, Bandung",2026-05-03,32.73.02.1004,Dago,kelurahan,no,-6.889,107.61,Asia/Jakarta,"BMKG point: Dago, Coblong, Kota Bandung",19:00,9,8.7925,cukup,"BMKG,CMA,ECMWF,GFS,ICON,KMA,METEOFRANCE,METNO,UKMO",Hujan Ringan,86.3,Tinggi,22.86,+/-1.82,93.09,+/-2.95,0.95,+/-0.95,22.86,+/-1.82,0.0,11.4,18.7,59.1,10.8,0.0
dago,"Dago, Bandung",2026-05-03,32.73.02.1004,Dago,kelurahan,no,-6.889,107.61,Asia/Jakarta,"BMKG point: Dago, Coblong, Kota Bandung",22:00,9,8.7925,cukup,"BMKG,CMA,ECMWF,GFS,ICON,KMA,METEOFRANCE,METNO,UKMO",Hujan Ringan,83.3,Tinggi,22.41,+/-1.97,92.65,+/-1.79,0.04,+/-0.08,22.41,+/-1.97,0.0,11.4,44.3,44.4,0.0,0.0
jatinangor,"Jatinangor, Sumedang",2026-05-03,32.11.15.2002,Hegarmanah,kecamatan,yes,-6.938,107.7556,Asia/Jakarta,"BMKG representative point: Hegarmanah, Kecamatan Jatinangor",10:00,9,8.7925,cukup,"BMKG,CMA,ECMWF,GFS,ICON,KMA,METEOFRANCE,METNO,UKMO",Cerah Berawan,83.5,Tinggi,27.08,+/-1.5,71.01,+/-5.35,0.22,+/-0.49,28.74,+/-3.14,13.6,46.6,16.8,22.9,0.0,0.0
jatinangor,"Jatinangor, Sumedang",2026-05-03,32.11.15.2002,Hegarmanah,kecamatan,yes,-6.938,107.7556,Asia/Jakarta,"BMKG representative point: Hegarmanah, Kecamatan Jatinangor",13:00,9,8.7925,cukup,"BMKG,CMA,ECMWF,GFS,ICON,KMA,METEOFRANCE,METNO,UKMO",Berawan,80.8,Tinggi,27.28,+/-2.77,72.97,+/-13.04,0.73,+/-0.66,28.9,+/-4.89,0.0,0.0,41.3,36.5,0.0,22.2
jatinangor,"Jatinangor, Sumedang",2026-05-03,32.11.15.2002,Hegarmanah,kecamatan,yes,-6.938,107.7556,Asia/Jakarta,"BMKG representative point: Hegarmanah, Kecamatan Jatinangor",16:00,9,8.7925,cukup,"BMKG,CMA,ECMWF,GFS,ICON,KMA,METEOFRANCE,METNO,UKMO",Hujan Ringan,86.1,Tinggi,25.09,+/-2.39,84.18,+/-6.81,0.58,+/-0.55,24.38,+/-1.71,0.0,10.8,30.1,59.1,0.0,0.0
jatinangor,"Jatinangor, Sumedang",2026-05-03,32.11.15.2002,Hegarmanah,kecamatan,yes,-6.938,107.7556,Asia/Jakarta,"BMKG representative point: Hegarmanah, Kecamatan Jatinangor",19:00,9,8.7925,cukup,"BMKG,CMA,ECMWF,GFS,ICON,KMA,METEOFRANCE,METNO,UKMO",Hujan Ringan,88.9,Tinggi,23.06,+/-1.91,93.94,+/-5.23,0.79,+/-0.78,23.06,+/-1.91,0.0,11.4,18.7,69.9,0.0,0.0
jatinangor,"Jatinangor, Sumedang",2026-05-03,32.11.15.2002,Hegarmanah,kecamatan,yes,-6.938,107.7556,Asia/Jakarta,"BMKG representative point: Hegarmanah, Kecamatan Jatinangor",22:00,9,8.7925,cukup,"BMKG,CMA,ECMWF,GFS,ICON,KMA,METEOFRANCE,METNO,UKMO",Berawan,85.7,Tinggi,22.37,+/-2.05,97.15,+/-1.41,0.35,+/-0.48,22.37,+/-2.05,0.0,11.4,55.1,33.6,0.0,0.0
