location_slug,target_date,jam,dominant_category,confidence_score,confidence_label,sources_used,sources_expected,coverage_fraction,weight_total,temp_mean,temp_std,rh_mean,rh_std,rain_mean,rain_std,heat_index_mean,heat_index_std,gap_mean_minutes,gap_max_minutes,pct_cerah,pct_cerah_berawan,pct_berawan,pct_hujan_ringan,pct_hujan_sedang,pct_hujan_lebat
dago,2026-09-12,00:00,Cerah Berawan,70.7,Sedang,7,9,0.7778,9.0385,21.4,0.92,88.14,3.98,0.0,0.0,21.4,0.92,0.0,0.0,14.6,44.1,41.3,0.0,0.0,0.0
dago,2026-09-12,01:00,Berawan,73.3,Sedang,7,9,0.7778,9.0385,21.87,1.97,88.85,4.5,0.0,0.0,21.87,1.97,0.0,0.0,12.6,30.9,56.5,0.0,0.0,0.0
dago,2026-09-12,02:00,Berawan,77.9,Sedang,7,9,0.7778,9.0385,20.46,0.98,90.12,3.38,0.0,0.0,20.46,0.98,0.0,0.0,12.6,14.6,72.8,0.0,0.0,0.0
dago,2026-09-12,03:00,Berawan,73.5,Sedang,7,9,0.7778,9.0385,20.82,2.46,90.92,1.51,0.0,0.0,20.82,2.46,0.0,0.0,12.6,29.9,57.6,0.0,0.0,0.0
dago,2026-09-12,04:00,Berawan,73.4,Sedang,7,9,0.7778,9.0385,20.39,2.78,90.85,1.1,0.0,0.0,20.39,2.78,0.0,0.0,12.6,29.9,57.6,0.0,0.0,0.0
dago,2026-09-12,05:00,Berawan,81.6,Tinggi,7,9,0.7778,9.0385,18.95,1.16,89.71,2.75,0.0,0.0,18.95,1.16,0.0,0.0,12.6,0.0,87.4,0.0,0.0,0.0
dago,2026-09-12,06:00,Berawan,81.9,Tinggi,7,9,0.7778,9.0385,18.53,0.25,88.03,4.02,0.0,0.0,18.53,0.25,0.0,0.0,12.6,0.0,87.4,0.0,0.0,0.0
dago,2026-09-12,07:00,Berawan,81.6,Tinggi,7,9,0.7778,9.0385,20.47,0.88,81.65,3.81,0.0,0.0,20.47,0.88,0.0,0.0,12.6,0.0,87.4,0.0,0.0,0.0
dago,2026-09-12,08:00,Berawan,81.1,Tinggi,7,9,0.7778,9.0385,23.38,1.85,72.21,3.92,0.0,0.0,22.57,0.72,0.0,0.0,12.6,0.0,87.4,0.0,0.0,0.0
dago,2026-09-12,09:00,Berawan,77.3,Sedang,7,9,0.7778,9.0385,24.75,0.95,63.9,6.44,0.0,0.0,24.75,0.95,0.0,0.0,0.0,28.8,71.2,0.0,0.0,0.0
dago,2026-09-12,10:00,Berawan,76.6,Sedang,7,9,0.7778,9.0385,27.49,1.96,57.14,8.71,0.0,0.0,28.13,2.79,0.0,0.0,0.0,28.8,71.2,0.0,0.0,0.0
dago,2026-09-12,11:00,Berawan,81.0,Tinggi,7,9,0.7778,9.0385,29.27,2.05,47.21,4.25,0.0,0.0,29.95,2.74,0.0,0.0,0.0,12.6,87.4,0.0,0.0,0.0
dago,2026-09-12,12:00,Berawan,81.3,Tinggi,7,9,0.7778,9.0385,30.45,1.97,44.25,1.3,0.0,0.0,30.14,1.05,0.0,0.0,12.6,0.0,87.4,0.0,0.0,0.0
dago,2026-09-12,13:00,Berawan,81.3,Tinggi,7,9,0.7778,9.0385,30.97,2.07,42.02,0.68,0.0,0.0,30.63,1.19,0.0,0.0,12.6,0.0,87.4,0.0,0.0,0.0
dago,2026-09-12,14:00,Berawan,76.3,Sedang,7,9,0.7778,9.0385,31.02,2.16,39.45,3.67,0.02,0.04,30.61,1.23,0.0,0.0,12.6,0.0,68.8,18.6,0.0,0.0
dago,2026-09-12,15:00,Berawan,76.3,Sedang,7,9,0.7778,9.0385,30.16,2.13,40.7,3.76,0.02,0.04,29.65,0.73,0.0,0.0,0.0,12.6,68.8,18.6,0.0,0.0
dago,2026-09-12,16:00,Berawan,75.8,Sedang,7,9,0.7778,9.0385,29.19,2.2,47.64,9.56,0.02,0.04,28.45,1.07,0.0,0.0,0.0,12.6,68.8,18.6,0.0,0.0
dago,2026-09-12,17:00,Berawan,76.5,Sedang,7,9,0.7778,9.0385,28.07,2.21,52.07,8.89,0.0,0.0,28.5,2.74,0.0,0.0,0.0,28.8,71.2,0.0,0.0,0.0
dago,2026-09-12,18:00,Berawan,83.5,Tinggi,9,9,1.0,10.7198,25.38,2.85,62.27,9.36,0.0,0.0,24.44,1.88,33.33,180.0,0.0,44.3,55.7,0.0,0.0,0.0
dago,2026-09-12,19:00,Berawan,87.6,Tinggi,9,9,1.0,10.9956,24.09,2.48,68.46,4.33,0.0,0.0,23.23,1.42,20.0,120.0,0.0,32.3,67.7,0.0,0.0,0.0
dago,2026-09-12,20:00,Berawan,92.3,Tinggi,9,9,1.0,11.6759,22.44,1.25,75.5,4.32,0.0,0.0,22.44,1.25,6.67,60.0,0.0,21.5,78.5,0.0,0.0,0.0
dago,2026-09-12,21:00,Berawan,93.1,Tinggi,9,9,1.0,12.0955,22.39,2.1,80.38,1.27,0.0,0.0,21.7,1.19,0.0,0.0,0.0,20.8,79.2,0.0,0.0,0.0
dago,2026-09-12,22:00,Berawan,91.8,Tinggi,9,9,1.0,11.6759,21.99,2.09,82.92,4.8,0.0,0.0,21.99,2.09,6.67,60.0,9.7,11.8,78.5,0.0,0.0,0.0
dago,2026-09-12,23:00,Berawan,90.9,Tinggi,9,9,1.0,11.3403,21.67,2.15,84.93,4.79,0.0,0.0,21.67,2.15,13.33,120.0,0.0,22.2,77.8,0.0,0.0,0.0
dago,2026-09-13,00:00,Berawan,97.8,Tinggi,9,9,1.0,11.9899,21.3,2.15,86.71,4.25,0.0,0.0,21.3,2.15,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
dago,2026-09-13,01:00,Berawan,94.8,Tinggi,9,9,1.0,11.5849,20.33,1.31,86.35,1.66,0.0,0.0,20.33,1.31,6.67,60.0,0.0,11.5,88.5,0.0,0.0,0.0
dago,2026-09-13,02:00,Berawan,92.3,Tinggi,9,9,1.0,11.5849,19.81,1.38,87.77,1.83,0.0,0.0,19.81,1.38,6.67,60.0,0.0,21.3,78.7,0.0,0.0,0.0
dago,2026-09-13,03:00,Berawan,90.3,Tinggi,9,9,1.0,11.9899,19.41,1.28,89.77,1.46,0.0,0.0,19.41,1.28,0.0,0.0,0.0,32.8,67.2,0.0,0.0,0.0
dago,2026-09-13,04:00,Berawan,92.2,Tinggi,9,9,1.0,11.5849,19.74,0.62,88.56,2.97,0.0,0.0,19.74,0.62,6.67,60.0,0.0,22.5,77.5,0.0,0.0,0.0
dago,2026-09-13,05:00,Berawan,86.5,Tinggi,9,9,1.0,11.5849,19.32,0.94,87.34,4.07,0.0,0.0,19.32,0.94,6.67,60.0,0.0,44.5,55.5,0.0,0.0,0.0
dago,2026-09-13,06:00,Berawan,86.9,Tinggi,9,9,1.0,11.9899,19.46,0.69,86.41,5.43,0.0,0.0,19.46,0.69,0.0,0.0,0.0,46.4,53.6,0.0,0.0,0.0
dago,2026-09-13,07:00,Cerah Berawan,87.5,Tinggi,9,9,1.0,11.5849,20.67,0.55,81.27,5.65,0.0,0.0,20.67,0.55,6.67,60.0,0.0,59.0,41.0,0.0,0.0,0.0
dago,2026-09-13,08:00,Cerah Berawan,84.4,Tinggi,9,9,1.0,11.5849,23.16,0.66,66.95,11.17,0.0,0.0,23.16,0.66,6.67,60.0,10.5,48.5,41.0,0.0,0.0,0.0
dago,2026-09-13,09:00,Cerah Berawan,84.3,Tinggi,9,9,1.0,11.9899,26.31,1.61,53.08,11.05,0.0,0.0,26.32,1.62,0.0,0.0,13.5,46.9,39.6,0.0,0.0,0.0
dago,2026-09-13,10:00,Cerah Berawan,81.4,Tinggi,9,9,1.0,11.5849,28.15,1.79,43.57,11.45,0.0,0.0,28.17,1.78,6.67,60.0,33.0,39.0,28.0,0.0,0.0,0.0
dago,2026-09-13,11:00,Cerah Berawan,84.8,Tinggi,9,9,1.0,11.5849,29.77,1.69,32.77,5.33,0.0,0.0,29.77,1.69,6.67,60.0,33.0,50.4,16.6,0.0,0.0,0.0
dago,2026-09-13,12:00,Cerah Berawan,85.3,Tinggi,9,9,1.0,11.9899,30.62,1.71,29.35,3.62,0.0,0.0,30.71,1.55,0.0,0.0,35.3,48.7,16.0,0.0,0.0,0.0
dago,2026-09-13,13:00,Cerah Berawan,88.0,Tinggi,9,9,1.0,11.5849,31.16,1.81,28.31,4.29,0.0,0.0,31.22,1.7,6.67,60.0,20.3,63.1,16.6,0.0,0.0,0.0
dago,2026-09-13,14:00,Cerah,83.3,Tinggi,9,9,1.0,11.5849,31.19,2.02,26.57,2.49,0.0,0.0,31.25,1.94,6.67,60.0,44.5,27.5,28.0,0.0,0.0,0.0
dago,2026-09-13,15:00,Cerah Berawan,85.2,Tinggi,9,9,1.0,11.9899,30.84,2.05,27.29,2.41,0.0,0.0,30.92,1.95,0.0,0.0,35.3,48.7,16.0,0.0,0.0,0.0
dago,2026-09-13,16:00,Berawan,83.5,Tinggi,9,9,1.0,11.5849,29.81,0.8,28.96,1.92,0.0,0.0,29.64,0.87,6.67,60.0,33.0,24.5,42.5,0.0,0.0,0.0
dago,2026-09-13,17:00,Berawan,83.4,Tinggi,9,9,1.0,11.5849,28.17,0.86,32.15,2.45,0.0,0.0,28.17,0.86,6.67,60.0,33.0,24.5,42.5,0.0,0.0,0.0
dago,2026-09-13,18:00,Berawan,83.0,Tinggi,9,9,1.0,11.9899,26.25,2.5,41.34,7.6,0.0,0.0,26.25,2.5,0.0,0.0,23.0,34.7,42.3,0.0,0.0,0.0
dago,2026-09-13,19:00,Cerah,82.1,Tinggi,9,9,1.0,11.5849,24.91,2.23,51.62,12.86,0.0,0.0,24.91,2.23,6.67,60.0,43.2,25.7,31.1,0.0,0.0,0.0
dago,2026-09-13,20:00,Cerah Berawan,80.9,Tinggi,9,9,1.0,11.5849,23.53,2.3,56.27,8.52,0.0,0.0,23.62,2.49,6.67,60.0,31.7,37.2,31.1,0.0,0.0,0.0
dago,2026-09-13,21:00,Cerah,86.9,Tinggi,9,9,1.0,11.9899,22.62,2.05,64.55,9.84,0.0,0.0,21.94,1.15,0.0,0.0,57.8,23.7,18.5,0.0,0.0,0.0
dago,2026-09-13,22:00,Cerah,83.1,Tinggi,9,9,1.0,11.5849,22.03,1.87,72.25,3.63,0.0,0.0,22.03,1.87,6.67,60.0,43.6,37.2,19.2,0.0,0.0,0.0
dago,2026-09-13,23:00,Cerah Berawan,85.1,Tinggi,9,9,1.0,11.2609,20.78,0.78,74.0,7.36,0.0,0.0,20.78,0.78,13.33,120.0,42.0,53.2,4.8,0.0,0.0,0.0
dago,2026-09-14,00:00,Cerah,88.1,Tinggi,9,9,1.0,12.0436,20.01,0.84,76.44,3.85,0.0,0.0,20.01,0.84,0.0,0.0,57.8,37.7,4.5,0.0,0.0,0.0
dago,2026-09-14,01:00,Cerah,83.5,Tinggi,9,9,1.0,11.6312,19.58,0.72,81.09,6.72,0.0,0.0,19.58,0.72,6.67,60.0,43.4,40.1,16.5,0.0,0.0,0.0
dago,2026-09-14,02:00,Cerah,90.0,Tinggi,9,9,1.0,11.6312,18.99,0.77,79.65,10.56,0.0,0.0,18.99,0.77,6.67,60.0,70.9,11.8,17.3,0.0,0.0,0.0
dago,2026-09-14,03:00,Cerah,91.2,Tinggi,9,9,1.0,12.0436,18.55,0.73,79.79,10.27,0.0,0.0,18.55,0.73,0.0,0.0,71.8,11.4,16.7,0.0,0.0,0.0
dago,2026-09-14,04:00,Cerah,90.2,Tinggi,9,9,1.0,11.6312,18.28,0.64,79.58,9.81,0.0,0.0,18.28,0.64,6.67,60.0,70.9,24.5,4.7,0.0,0.0,0.0
