location_slug,target_date,jam,dominant_category,confidence_score,confidence_label,sources_used,sources_expected,coverage_fraction,weight_total,temp_mean,temp_std,rh_mean,rh_std,rain_mean,rain_std,heat_index_mean,heat_index_std,gap_mean_minutes,gap_max_minutes,pct_cerah,pct_cerah_berawan,pct_berawan,pct_hujan_ringan,pct_hujan_sedang,pct_hujan_lebat
dago,2026-08-16,00:00,Berawan,73.9,Sedang,7,9,0.7778,8.9866,20.72,0.78,88.01,3.89,0.0,0.0,20.72,0.78,0.0,0.0,27.2,16.4,56.4,0.0,0.0,0.0
dago,2026-08-16,01:00,Berawan,74.2,Sedang,7,9,0.7778,8.9866,20.24,0.75,89.27,0.44,0.0,0.0,20.24,0.75,0.0,0.0,27.2,16.4,56.4,0.0,0.0,0.0
dago,2026-08-16,02:00,Berawan,78.1,Sedang,7,9,0.7778,8.9866,19.72,0.88,90.26,2.2,0.0,0.0,19.72,0.88,0.0,0.0,27.2,0.0,72.8,0.0,0.0,0.0
dago,2026-08-16,03:00,Berawan,81.7,Tinggi,7,9,0.7778,8.9866,19.31,1.05,90.85,2.27,0.0,0.0,19.31,1.05,0.0,0.0,12.6,0.0,87.4,0.0,0.0,0.0
dago,2026-08-16,04:00,Berawan,81.5,Tinggi,7,9,0.7778,8.9866,18.94,1.11,91.85,3.5,0.0,0.0,18.94,1.11,0.0,0.0,12.6,0.0,87.4,0.0,0.0,0.0
dago,2026-08-16,05:00,Berawan,81.5,Tinggi,7,9,0.7778,8.9866,18.81,1.03,91.48,4.72,0.0,0.0,18.81,1.03,0.0,0.0,12.6,0.0,87.4,0.0,0.0,0.0
dago,2026-08-16,06:00,Berawan,81.4,Tinggi,7,9,0.7778,8.9866,18.98,0.97,90.44,6.45,0.0,0.0,18.98,0.97,0.0,0.0,12.6,0.0,87.4,0.0,0.0,0.0
dago,2026-08-16,07:00,Berawan,81.3,Tinggi,7,9,0.7778,8.9866,19.92,1.07,86.57,7.32,0.0,0.0,19.92,1.07,0.0,0.0,12.6,0.0,87.4,0.0,0.0,0.0
dago,2026-08-16,08:00,Berawan,77.1,Sedang,7,9,0.7778,8.9866,22.27,0.41,78.23,5.91,0.0,0.0,22.27,0.41,0.0,0.0,12.6,18.5,68.9,0.0,0.0,0.0
dago,2026-08-16,09:00,Berawan,76.5,Sedang,7,9,0.7778,8.9866,25.11,1.47,69.25,6.93,0.0,0.0,24.53,0.86,0.0,0.0,12.6,18.5,68.9,0.0,0.0,0.0
dago,2026-08-16,10:00,Cerah,74.4,Sedang,7,9,0.7778,8.9866,27.01,1.7,61.67,7.23,0.0,0.0,28.17,3.33,0.0,0.0,61.0,33.0,6.0,0.0,0.0,0.0
dago,2026-08-16,11:00,Cerah,82.0,Tinggi,9,9,1.0,10.6555,28.4,1.83,54.4,6.37,0.02,0.08,28.25,1.58,33.33,180.0,47.2,40.7,5.1,7.0,0.0,0.0
dago,2026-08-16,12:00,Cerah,85.4,Tinggi,9,9,1.0,10.9283,29.38,1.93,49.56,5.57,0.03,0.09,29.14,1.46,20.0,120.0,58.5,27.1,5.0,9.4,0.0,0.0
dago,2026-08-16,13:00,Cerah,86.6,Tinggi,9,9,1.0,11.6033,29.86,1.93,46.74,6.29,0.04,0.1,29.61,1.23,6.67,60.0,58.0,25.6,4.7,11.8,0.0,0.0
dago,2026-08-16,14:00,Cerah,87.7,Tinggi,9,9,1.0,12.0209,29.94,1.96,45.92,6.93,0.07,0.19,29.69,1.29,0.0,0.0,59.5,24.7,4.5,11.3,0.0,0.0
dago,2026-08-16,15:00,Cerah,83.7,Tinggi,9,9,1.0,11.6033,29.82,1.93,46.02,7.76,0.02,0.07,30.57,2.69,6.67,60.0,46.6,25.6,16.0,11.8,0.0,0.0
dago,2026-08-16,16:00,Cerah,83.2,Tinggi,9,9,1.0,11.6033,28.57,2.59,51.71,10.42,0.01,0.03,29.21,3.42,6.67,60.0,46.6,37.3,4.7,11.4,0.0,0.0
dago,2026-08-16,17:00,Cerah,87.7,Tinggi,9,9,1.0,12.0209,27.84,1.69,59.76,9.35,0.04,0.07,27.09,2.13,0.0,0.0,59.4,12.2,4.5,23.8,0.0,0.0
dago,2026-08-16,18:00,Cerah,83.2,Tinggi,9,9,1.0,11.6033,25.51,2.06,69.11,10.27,0.17,0.29,25.08,1.87,6.67,60.0,46.6,24.1,4.7,24.7,0.0,0.0
dago,2026-08-16,19:00,Cerah Berawan,80.4,Tinggi,9,9,1.0,11.6033,24.17,1.99,77.85,9.85,0.33,0.62,23.7,1.7,6.67,60.0,34.9,35.8,4.7,24.7,0.0,0.0
dago,2026-08-16,20:00,Cerah,81.3,Tinggi,9,9,1.0,12.0209,23.42,1.74,82.27,8.56,0.53,1.23,23.42,1.74,0.0,0.0,37.1,34.6,4.5,11.4,12.4,0.0
dago,2026-08-16,21:00,Cerah,83.1,Tinggi,9,9,1.0,11.6033,23.07,1.73,84.39,7.84,0.44,0.95,23.07,1.73,6.67,60.0,46.6,24.1,4.7,11.8,12.9,0.0
dago,2026-08-16,22:00,Cerah Berawan,83.4,Tinggi,9,9,1.0,11.6033,22.52,1.88,87.04,7.33,0.32,0.82,22.52,1.88,6.67,60.0,25.1,47.6,14.4,12.9,0.0,0.0
dago,2026-08-16,23:00,Cerah,85.4,Tinggi,9,9,1.0,12.0209,22.06,1.83,89.2,5.98,0.2,0.47,22.06,1.83,0.0,0.0,50.5,23.2,13.9,12.4,0.0,0.0
dago,2026-08-17,00:00,Berawan,80.9,Tinggi,9,9,1.0,11.2227,21.82,1.92,90.96,5.93,0.13,0.27,21.82,1.92,13.33,120.0,12.2,36.0,38.6,13.3,0.0,0.0
dago,2026-08-17,01:00,Cerah Berawan,86.9,Tinggi,9,9,1.0,11.5499,21.52,1.97,92.25,5.35,0.03,0.07,21.52,1.97,6.67,60.0,0.0,59.4,27.7,12.9,0.0,0.0
dago,2026-08-17,02:00,Cerah Berawan,86.0,Tinggi,9,9,1.0,11.959,21.17,2.03,95.27,1.95,0.02,0.06,21.17,2.03,0.0,0.0,0.0,51.3,37.6,11.0,0.0,0.0
dago,2026-08-17,03:00,Cerah Berawan,84.6,Tinggi,9,9,1.0,11.5499,21.01,2.03,94.41,3.21,0.02,0.06,21.01,2.03,6.67,60.0,0.0,49.6,39.0,11.4,0.0,0.0
