location_slug,location_name,target_date,adm4,bmkg_point_name,area_level,is_proxy_bmkg,latitude,longitude,timezone,location_note,jam,sources_used,weight_total,coverage_status,source_list,dominant_category,confidence_score,confidence_label,temp_mean,temp_error,rh_mean,rh_error,rain_mean,rain_error,heat_index_mean,heat_index_error,pct_cerah,pct_cerah_berawan,pct_berawan,pct_hujan_ringan,pct_hujan_sedang,pct_hujan_lebat,temp_std,rh_std,rain_std,heat_index_std,sources_expected,coverage_fraction,gap_mean_minutes,gap_max_minutes
dago,"Dago, Bandung",2026-09-18,32.73.02.1004,Dago,kelurahan,no,-6.889,107.61,Asia/Jakarta,"BMKG point: Dago, Coblong, Kota Bandung",00:00,7,7.5412,cukup,"CMA,ECMWF,GFS,ICON,KMA,METEOFRANCE,UKMO",Cerah Berawan,69.1,Sedang,22.13,+/-0.28,79.63,+/-2.93,0.0,+/-0.0,22.13,+/-0.28,13.9,47.9,38.2,0.0,0.0,0.0,0.28,2.93,0.0,0.28,9,0.7778,0.0,0.0
dago,"Dago, Bandung",2026-09-18,32.73.02.1004,Dago,kelurahan,no,-6.889,107.61,Asia/Jakarta,"BMKG point: Dago, Coblong, Kota Bandung",01:00,7,7.5412,cukup,"CMA,ECMWF,GFS,ICON,KMA,METEOFRANCE,UKMO",Cerah Berawan,70.1,Sedang,21.77,+/-0.38,84.26,+/-4.9,0.0,+/-0.0,21.77,+/-0.38,22.9,52.8,24.4,0.0,0.0,0.0,0.38,4.9,0.0,0.38,9,0.7778,0.0,0.0
dago,"Dago, Bandung",2026-09-18,32.73.02.1004,Dago,kelurahan,no,-6.889,107.61,Asia/Jakarta,"BMKG point: Dago, Coblong, Kota Bandung",02:00,7,7.5412,cukup,"CMA,ECMWF,GFS,ICON,KMA,METEOFRANCE,UKMO",Cerah Berawan,72.4,Sedang,21.21,+/-0.5,86.69,+/-3.18,0.0,+/-0.0,21.21,+/-0.5,13.9,61.7,24.4,0.0,0.0,0.0,0.5,3.18,0.0,0.5,9,0.7778,0.0,0.0
dago,"Dago, Bandung",2026-09-18,32.73.02.1004,Dago,kelurahan,no,-6.889,107.61,Asia/Jakarta,"BMKG point: Dago, Coblong, Kota Bandung",03:00,7,7.5412,cukup,"CMA,ECMWF,GFS,ICON,KMA,METEOFRANCE,UKMO",Berawan,68.8,Sedang,20.75,+/-0.62,87.51,+/-1.43,0.0,+/-0.0,20.75,+/-0.62,9.0,44.2,46.9,0.0,0.0,0.0,0.62,1.43,0.0,0.62,9,0.7778,0.0,0.0
dago,"Dago, Bandung",2026-09-18,32.73.02.1004,Dago,kelurahan,no,-6.889,107.61,Asia/Jakarta,"BMKG point: Dago, Coblong, Kota Bandung",04:00,7,7.5412,cukup,"CMA,ECMWF,GFS,ICON,KMA,METEOFRANCE,UKMO",Berawan,72.1,Sedang,20.46,+/-0.7,89.15,+/-2.52,0.0,+/-0.0,20.46,+/-0.7,9.0,30.2,60.8,0.0,0.0,0.0,0.7,2.52,0.0,0.7,9,0.7778,0.0,0.0
dago,"Dago, Bandung",2026-09-18,32.73.02.1004,Dago,kelurahan,no,-6.889,107.61,Asia/Jakarta,"BMKG point: Dago, Coblong, Kota Bandung",05:00,7,7.5412,cukup,"CMA,ECMWF,GFS,ICON,KMA,METEOFRANCE,UKMO",Cerah Berawan,70.2,Sedang,20.4,+/-0.75,90.63,+/-1.83,0.0,+/-0.0,20.4,+/-0.75,0.0,53.1,46.9,0.0,0.0,0.0,0.75,1.83,0.0,0.75,9,0.7778,0.0,0.0
dago,"Dago, Bandung",2026-09-18,32.73.02.1004,Dago,kelurahan,no,-6.889,107.61,Asia/Jakarta,"BMKG point: Dago, Coblong, Kota Bandung",06:00,7,7.5412,cukup,"CMA,ECMWF,GFS,ICON,KMA,METEOFRANCE,UKMO",Cerah Berawan,74.5,Sedang,20.64,+/-0.86,87.96,+/-4.35,0.0,+/-0.0,20.64,+/-0.86,22.9,71.1,6.0,0.0,0.0,0.0,0.86,4.35,0.0,0.86,9,0.7778,0.0,0.0
dago,"Dago, Bandung",2026-09-18,32.73.02.1004,Dago,kelurahan,no,-6.889,107.61,Asia/Jakarta,"BMKG point: Dago, Coblong, Kota Bandung",07:00,7,7.5412,cukup,"CMA,ECMWF,GFS,ICON,KMA,METEOFRANCE,UKMO",Cerah Berawan,69.5,Sedang,22.33,+/-1.44,82.4,+/-5.72,0.0,+/-0.0,22.33,+/-1.44,22.9,52.8,24.4,0.0,0.0,0.0,1.44,5.72,0.0,1.44,9,0.7778,0.0,0.0
dago,"Dago, Bandung",2026-09-18,32.73.02.1004,Dago,kelurahan,no,-6.889,107.61,Asia/Jakarta,"BMKG point: Dago, Coblong, Kota Bandung",08:00,7,7.5412,cukup,"CMA,ECMWF,GFS,ICON,KMA,METEOFRANCE,UKMO",Cerah Berawan,74.0,Sedang,23.96,+/-1.36,73.7,+/-7.05,0.0,+/-0.0,23.96,+/-1.36,22.9,71.1,6.0,0.0,0.0,0.0,1.36,7.05,0.0,1.36,9,0.7778,0.0,0.0
dago,"Dago, Bandung",2026-09-18,32.73.02.1004,Dago,kelurahan,no,-6.889,107.61,Asia/Jakarta,"BMKG point: Dago, Coblong, Kota Bandung",09:00,7,7.5412,cukup,"CMA,ECMWF,GFS,ICON,KMA,METEOFRANCE,UKMO",Cerah Berawan,73.9,Sedang,25.81,+/-1.55,64.97,+/-7.38,0.0,+/-0.0,26.51,+/-2.55,22.9,71.1,6.0,0.0,0.0,0.0,1.55,7.38,0.0,2.55,9,0.7778,0.0,0.0
