tanggal,jam,suhu_C,cuaca,RH_%,wind_kmh
21-09-2026,00:00,20.0,Cerah,96.0,1.2
21-09-2026,01:00,20.0,Cerah,96.0,1.2
21-09-2026,02:00,18.0,Berawan,98.0,0.5
21-09-2026,03:00,18.0,Berawan,98.0,0.5
21-09-2026,04:00,18.0,Berawan,98.0,0.5
21-09-2026,05:00,19.0,Cerah Berawan,89.0,1.3
21-09-2026,06:00,19.0,Cerah Berawan,89.0,1.3
21-09-2026,07:00,19.0,Cerah Berawan,89.0,1.3
21-09-2026,08:00,27.0,Cerah,51.0,3.7
21-09-2026,09:00,27.0,Cerah,51.0,3.7
21-09-2026,10:00,27.0,Cerah,51.0,3.7
21-09-2026,11:00,29.0,Cerah,49.0,3.7
21-09-2026,12:00,29.0,Cerah,49.0,3.7
21-09-2026,13:00,29.0,Cerah,49.0,3.7
21-09-2026,14:00,26.0,Hujan Ringan,65.0,3.7
21-09-2026,15:00,26.0,Hujan Ringan,65.0,3.7
21-09-2026,16:00,26.0,Hujan Ringan,65.0,3.7
21-09-2026,17:00,22.0,Cerah Berawan,90.0,0.7
21-09-2026,18:00,22.0,Cerah Berawan,90.0,0.7
21-09-2026,19:00,22.0,Cerah Berawan,90.0,0.7
21-09-2026,20:00,21.0,Cerah,94.0,0.4
21-09-2026,21:00,21.0,Cerah,94.0,0.4
21-09-2026,22:00,21.0,Cerah,94.0,0.4
21-09-2026,23:00,21.0,Cerah,94.0,0.4
