tanggal,jam,suhu_C,cuaca,RH_%,wind_kmh
15-06-2026,00:00,21.0,Cerah Berawan,98.0,0.6
15-06-2026,01:00,21.0,Cerah Berawan,98.0,0.6
15-06-2026,02:00,21.0,Cerah Berawan,98.0,0.6
15-06-2026,03:00,20.0,Berawan,99.0,0.9
15-06-2026,04:00,20.0,Berawan,99.0,0.9
15-06-2026,05:00,20.0,Berawan,99.0,0.9
15-06-2026,06:00,22.0,Cerah Berawan,87.0,1.6
15-06-2026,07:00,22.0,Cerah Berawan,87.0,1.6
15-06-2026,08:00,22.0,Cerah Berawan,87.0,1.6
15-06-2026,09:00,28.0,Hujan Ringan,69.0,3.7
15-06-2026,10:00,28.0,Hujan Ringan,69.0,3.7
15-06-2026,11:00,28.0,Hujan Ringan,69.0,3.7
15-06-2026,12:00,27.0,Petir,87.0,1.8
15-06-2026,13:00,27.0,Petir,87.0,1.8
15-06-2026,14:00,27.0,Petir,87.0,1.8
15-06-2026,15:00,23.0,Cerah Berawan,86.0,1.9
15-06-2026,16:00,23.0,Cerah Berawan,86.0,1.9
15-06-2026,17:00,23.0,Cerah Berawan,86.0,1.9
15-06-2026,18:00,21.0,Cerah,95.0,3.0
15-06-2026,19:00,21.0,Cerah,95.0,3.0
15-06-2026,20:00,21.0,Cerah,95.0,3.0
15-06-2026,21:00,21.0,Cerah Berawan,93.0,2.1
15-06-2026,22:00,21.0,Cerah Berawan,93.0,2.1
15-06-2026,23:00,21.0,Cerah Berawan,93.0,2.1
