jam,sources_used,weight_total,coverage_status,source_list,dominant_category,confidence_score,confidence_label,temp_mean,temp_error,rh_mean,rh_error,rain_mean,rain_error,heat_index_mean,heat_index_error,%cerah,%cerah_berawan,%berawan,%hujan_ringan,%hujan_sedang,%hujan_lebat,temp_std,rh_std,rain_std,heat_index_std,sources_expected,coverage_fraction,gap_mean_minutes,gap_max_minutes
00:00,7,9.0556,cukup,"CMA,ECMWF,GFS,ICON,KMA,METEOFRANCE,UKMO",Berawan,80.8,Tinggi,20.0,+/-1.68,91.37,+/-5.55,0.0,+/-0.0,20.0,+/-1.68,12.8,0.0,87.2,0.0,0.0,0.0,1.68,5.55,0.0,1.68,9,0.7778,0.0,0.0
01:00,7,9.0556,cukup,"CMA,ECMWF,GFS,ICON,KMA,METEOFRANCE,UKMO",Berawan,73.3,Sedang,19.79,+/-1.65,92.45,+/-5.62,0.0,+/-0.0,19.79,+/-1.65,28.3,14.6,57.1,0.0,0.0,0.0,1.65,5.62,0.0,1.65,9,0.7778,0.0,0.0
02:00,7,9.0556,cukup,"CMA,ECMWF,GFS,ICON,KMA,METEOFRANCE,UKMO",Berawan,80.8,Tinggi,19.29,+/-1.73,93.57,+/-5.29,0.0,+/-0.0,19.29,+/-1.73,12.8,0.0,87.2,0.0,0.0,0.0,1.73,5.29,0.0,1.73,9,0.7778,0.0,0.0
03:00,7,9.0556,cukup,"CMA,ECMWF,GFS,ICON,KMA,METEOFRANCE,UKMO",Berawan,81.3,Tinggi,18.41,+/-0.88,94.54,+/-4.38,0.0,+/-0.0,18.41,+/-0.88,12.8,0.0,87.2,0.0,0.0,0.0,0.88,4.38,0.0,0.88,9,0.7778,0.0,0.0
04:00,7,9.0556,cukup,"CMA,ECMWF,GFS,ICON,KMA,METEOFRANCE,UKMO",Berawan,81.3,Tinggi,18.29,+/-0.95,95.12,+/-3.82,0.0,+/-0.0,18.29,+/-0.95,12.8,0.0,87.2,0.0,0.0,0.0,0.95,3.82,0.0,0.95,9,0.7778,0.0,0.0
05:00,7,9.0556,cukup,"CMA,ECMWF,GFS,ICON,KMA,METEOFRANCE,UKMO",Berawan,81.0,Tinggi,18.84,+/-1.67,95.19,+/-3.63,0.0,+/-0.0,18.84,+/-1.67,12.8,0.0,87.2,0.0,0.0,0.0,1.67,3.63,0.0,1.67,9,0.7778,0.0,0.0
06:00,7,9.0556,cukup,"CMA,ECMWF,GFS,ICON,KMA,METEOFRANCE,UKMO",Berawan,80.9,Tinggi,18.6,+/-1.86,94.72,+/-3.69,0.0,+/-0.0,18.6,+/-1.86,12.8,0.0,87.2,0.0,0.0,0.0,1.86,3.69,0.0,1.86,9,0.7778,0.0,0.0
07:00,7,9.0556,cukup,"CMA,ECMWF,GFS,ICON,KMA,METEOFRANCE,UKMO",Berawan,73.4,Sedang,19.71,+/-1.68,90.88,+/-4.55,0.0,+/-0.0,19.71,+/-1.68,42.9,0.0,57.1,0.0,0.0,0.0,1.68,4.55,0.0,1.68,9,0.7778,0.0,0.0
08:00,7,9.0556,cukup,"CMA,ECMWF,GFS,ICON,KMA,METEOFRANCE,UKMO",Cerah Berawan,76.3,Sedang,22.74,+/-0.92,82.2,+/-2.07,0.0,+/-0.0,22.74,+/-0.92,27.4,66.6,6.0,0.0,0.0,0.0,0.92,2.07,0.0,0.92,9,0.7778,0.0,0.0
09:00,7,9.0556,cukup,"CMA,ECMWF,GFS,ICON,KMA,METEOFRANCE,UKMO",Cerah,74.0,Sedang,25.06,+/-0.98,69.16,+/-6.54,0.0,+/-0.0,25.06,+/-0.98,58.9,35.1,6.0,0.0,0.0,0.0,0.98,6.54,0.0,0.98,9,0.7778,0.0,0.0
10:00,7,9.0556,cukup,"CMA,ECMWF,GFS,ICON,KMA,METEOFRANCE,UKMO",Cerah Berawan,75.5,Sedang,27.15,+/-1.28,60.24,+/-7.74,0.0,+/-0.0,28.0,+/-2.01,28.3,65.7,6.0,0.0,0.0,0.0,1.28,7.74,0.0,2.01,9,0.7778,0.0,0.0
11:00,7,9.0556,cukup,"CMA,ECMWF,GFS,ICON,KMA,METEOFRANCE,UKMO",Cerah Berawan,75.3,Sedang,28.74,+/-1.58,53.26,+/-8.45,0.0,+/-0.0,29.56,+/-2.2,28.3,65.7,6.0,0.0,0.0,0.0,1.58,8.45,0.0,2.2,9,0.7778,0.0,0.0
12:00,7,9.0556,cukup,"CMA,ECMWF,GFS,ICON,KMA,METEOFRANCE,UKMO",Cerah Berawan,71.9,Sedang,30.54,+/-1.02,47.68,+/-9.16,0.0,+/-0.0,30.65,+/-2.38,42.9,51.1,6.0,0.0,0.0,0.0,1.02,9.16,0.0,2.38,9,0.7778,0.0,0.0
13:00,7,9.0556,cukup,"CMA,ECMWF,GFS,ICON,KMA,METEOFRANCE,UKMO",Cerah Berawan,79.3,Sedang,31.17,+/-1.17,44.81,+/-9.66,0.0,+/-0.0,31.41,+/-2.31,12.8,81.2,6.0,0.0,0.0,0.0,1.17,9.66,0.0,2.31,9,0.7778,0.0,0.0
14:00,7,9.0556,cukup,"CMA,ECMWF,GFS,ICON,KMA,METEOFRANCE,UKMO",Cerah Berawan,71.3,Sedang,30.74,+/-1.96,44.26,+/-10.36,0.0,+/-0.0,31.63,+/-2.49,28.3,51.1,20.6,0.0,0.0,0.0,1.96,10.36,0.0,2.49,9,0.7778,0.0,0.0
15:00,7,9.0556,cukup,"CMA,ECMWF,GFS,ICON,KMA,METEOFRANCE,UKMO",Cerah Berawan,70.4,Sedang,30.36,+/-2.01,46.39,+/-10.69,0.0,+/-0.0,31.29,+/-2.49,15.5,47.8,36.7,0.0,0.0,0.0,2.01,10.69,0.0,2.49,9,0.7778,0.0,0.0
16:00,7,9.0556,cukup,"CMA,ECMWF,GFS,ICON,KMA,METEOFRANCE,UKMO",Cerah Berawan,74.4,Sedang,29.35,+/-1.91,50.7,+/-10.17,0.0,+/-0.0,30.17,+/-2.72,14.6,63.3,22.1,0.0,0.0,0.0,1.91,10.17,0.0,2.72,9,0.7778,0.0,0.0
17:00,7,9.0556,cukup,"CMA,ECMWF,GFS,ICON,KMA,METEOFRANCE,UKMO",Cerah Berawan,70.6,Sedang,27.73,+/-1.88,57.86,+/-9.11,0.0,+/-0.0,28.55,+/-2.82,14.6,47.8,37.6,0.0,0.0,0.0,1.88,9.11,0.0,2.82,9,0.7778,0.0,0.0
18:00,7,9.0556,cukup,"CMA,ECMWF,GFS,ICON,KMA,METEOFRANCE,UKMO",Cerah Berawan,74.4,Sedang,25.61,+/-2.1,66.65,+/-8.83,0.0,+/-0.0,25.03,+/-1.65,14.6,63.3,22.1,0.0,0.0,0.0,2.1,8.83,0.0,1.65,9,0.7778,0.0,0.0
19:00,9,10.8107,cukup,"BMKG,CMA,ECMWF,GFS,ICON,KMA,METEOFRANCE,METNO,UKMO",Cerah Berawan,81.2,Tinggi,23.21,+/-2.54,76.77,+/-9.44,0.0,+/-0.0,23.58,+/-3.27,21.4,46.7,31.9,0.0,0.0,0.0,2.54,9.44,0.0,3.27,9,1.0,33.33,180.0
20:00,9,11.0871,cukup,"BMKG,CMA,ECMWF,GFS,ICON,KMA,METEOFRANCE,METNO,UKMO",Cerah Berawan,79.8,Sedang,22.38,+/-2.2,81.34,+/-7.87,0.01,+/-0.03,22.38,+/-2.2,20.9,37.5,31.1,10.5,0.0,0.0,2.2,7.87,0.03,2.2,9,1.0,20.0,120.0
21:00,9,11.7943,cukup,"BMKG,CMA,ECMWF,GFS,ICON,KMA,METEOFRANCE,METNO,UKMO",Cerah Berawan,84.6,Tinggi,21.41,+/-2.12,85.95,+/-6.36,0.01,+/-0.03,21.41,+/-2.12,22.7,50.5,17.0,9.8,0.0,0.0,2.12,6.36,0.03,2.12,9,1.0,6.67,60.0
22:00,9,12.2466,cukup,"BMKG,CMA,ECMWF,GFS,ICON,KMA,METEOFRANCE,METNO,UKMO",Cerah Berawan,82.3,Tinggi,20.72,+/-2.05,89.18,+/-4.8,0.01,+/-0.03,20.72,+/-2.05,37.0,37.2,16.4,9.5,0.0,0.0,2.05,4.8,0.03,2.05,9,1.0,0.0,0.0
23:00,9,11.7943,cukup,"BMKG,CMA,ECMWF,GFS,ICON,KMA,METEOFRANCE,METNO,UKMO",Berawan,81.9,Tinggi,20.33,+/-2.05,90.95,+/-4.01,0.0,+/-0.0,20.33,+/-2.05,22.7,38.6,38.7,0.0,0.0,0.0,2.05,4.01,0.0,2.05,9,1.0,6.67,60.0
