date,day_tag,hour,condition,temp_c,humidity_pct,heat_index_c,rain_probability,wind_kmh,risk_score,risk_label,risk_class
2026-09-07,Hari ini,00:00,Berawan dipantau,18.3,86.0,18.3,0.0,6.5,0.8,Aman,safe
2026-09-07,Hari ini,01:00,Lembap malam,17.8,89.0,17.8,0.0,6.4,2.1,Aman,safe
2026-09-07,Hari ini,02:00,Lembap pagi,17.1,91.0,17.1,0.0,6.6,2.9,Aman,safe
2026-09-07,Hari ini,03:00,Lembap pagi,16.4,91.0,16.4,0.0,6.3,2.9,Aman,safe
2026-09-07,Hari ini,04:00,Lembap pagi,16.2,91.0,16.2,0.0,6.4,2.9,Aman,safe
2026-09-07,Hari ini,05:00,Lembap pagi,16.5,90.0,16.5,0.0,6.6,2.5,Aman,safe
2026-09-07,Hari ini,06:00,Cerah berawan,17.3,89.0,17.3,0.0,6.1,2.1,Aman,safe
2026-09-07,Hari ini,07:00,Cerah berawan,19.5,82.0,19.5,0.0,5.9,0,Aman,safe
2026-09-07,Hari ini,08:00,Cerah,22.4,70.0,22.4,0.0,6.2,0,Aman,safe
2026-09-07,Hari ini,09:00,Berawan dipantau,25.6,59.0,25.6,0.0,7.5,0,Aman,safe
2026-09-07,Hari ini,10:00,Hujan lokal,27.9,50.0,28.0,50.0,7.6,45.0,Perlu diperhatikan,watch
2026-09-07,Hari ini,11:00,Hujan lokal,29.2,41.0,29.2,50.0,8.0,45.0,Perlu diperhatikan,watch
2026-09-07,Hari ini,12:00,Cerah,31.0,37.0,31.0,4.0,8.6,3.0,Aman,safe
2026-09-07,Hari ini,13:00,Cerah,31.4,35.0,31.4,6.0,9.36,6.0,Aman,safe
2026-09-07,Hari ini,14:00,Cerah berawan,31.9,35.0,31.9,7.2,10.2,8.9,Aman,safe
2026-09-07,Hari ini,15:00,Cerah berawan,32.0,37.0,32.0,9.0,9.5,10.7,Aman,safe
2026-09-07,Hari ini,16:00,Cerah berawan,30.9,39.0,30.9,10.6,10.2,7.8,Aman,safe
2026-09-07,Hari ini,17:00,Cerah berawan,28.9,47.0,28.98,7.0,9.2,5.2,Aman,safe
2026-09-07,Hari ini,18:00,Cerah berawan,24.9,65.8,24.9,2.9,8.5,2.1,Aman,safe
2026-09-07,Hari ini,19:00,Cerah berawan,23.4,78.0,23.4,1.7,8.4,1.3,Aman,safe
2026-09-07,Hari ini,20:00,Cerah berawan,22.3,84.0,22.3,3.4,7.7,2.5,Aman,safe
2026-09-07,Hari ini,21:00,Hujan lokal kuat,21.7,90.0,21.7,100.0,5.8,91.5,Berpotensi signifikan,danger
2026-09-07,Hari ini,22:00,Lembap malam,21.2,90.0,21.2,0.0,4.7,2.5,Aman,safe
2026-09-07,Hari ini,23:00,Hujan lokal,20.7,90.0,20.7,50.0,4.0,47.5,Perlu diperhatikan,watch
2026-09-08,Besok,00:00,Lembap pagi,20.2,95.0,20.2,0.0,4.2,4.6,Aman,safe
2026-09-08,Besok,01:00,Lembap pagi,19.6,94.0,19.6,0.0,4.2,4.2,Aman,safe
2026-09-08,Besok,02:00,Lembap pagi,19.0,94.0,19.0,0.0,4.6,4.2,Aman,safe
2026-09-08,Besok,03:00,Lembap pagi,18.3,96.0,18.3,0.0,5.3,5.0,Aman,safe
2026-09-08,Besok,04:00,Lembap pagi,18.0,96.0,18.0,0.0,5.1,5.0,Aman,safe
2026-09-08,Besok,05:00,Lembap pagi,18.2,96.0,18.2,0.0,5.2,5.0,Aman,safe
2026-09-08,Besok,06:00,Lembap pagi,18.8,93.0,18.8,0.0,5.0,3.8,Aman,safe
2026-09-08,Besok,07:00,Hujan lokal,20.3,84.0,20.3,50.0,5.1,45.0,Perlu diperhatikan,watch
2026-09-08,Besok,08:00,Cerah,22.4,74.0,22.4,0.0,5.4,0,Aman,safe
2026-09-08,Besok,09:00,Cerah,26.5,60.0,26.5,0.0,6.1,0,Aman,safe
2026-09-08,Besok,10:00,Hujan lokal,28.4,51.0,29.0,50.0,5.9,45.0,Perlu diperhatikan,watch
2026-09-08,Besok,11:00,Cerah,29.7,46.0,29.7,5.9,5.1,4.4,Aman,safe
2026-09-08,Besok,12:00,Cerah berawan,31.0,43.0,31.0,14.5,8.0,10.7,Aman,safe
2026-09-08,Besok,13:00,Cerah berawan,31.6,44.0,31.6,18.2,8.0,15.9,Aman,safe
2026-09-08,Besok,14:00,Awan tumbuh,31.1,43.0,31.1,28.3,9.8,21.3,Aman,safe
2026-09-08,Besok,15:00,Awan tumbuh,29.9,44.0,29.93,32.4,11.0,24.0,Aman,safe
2026-09-08,Besok,16:00,Hujan lokal,28.5,49.0,28.87,37.1,10.0,35.5,Perlu diperhatikan,watch
2026-09-08,Besok,17:00,Awan tumbuh,26.4,58.0,26.4,26.3,9.7,19.5,Aman,safe
2026-09-08,Besok,18:00,Cerah berawan,24.8,66.0,24.8,15.4,8.64,11.4,Aman,safe
2026-09-08,Besok,19:00,Cerah berawan,24.0,80.0,24.0,8.8,9.36,6.5,Aman,safe
2026-09-08,Besok,20:00,Cerah berawan,23.5,83.0,23.5,15.4,8.28,11.4,Aman,safe
2026-09-08,Besok,21:00,Berawan dipantau,21.9,87.0,21.9,10.6,6.5,9.1,Aman,safe
2026-09-08,Besok,22:00,Lembap malam,21.6,90.0,21.6,8.1,5.0,8.5,Aman,safe
2026-09-08,Besok,23:00,Lembap malam,21.5,89.0,21.5,1.2,4.5,3.0,Aman,safe
2026-09-09,Lusa,00:00,Lembap malam,20.9,88.0,20.9,10.0,4.7,9.1,Aman,safe
2026-09-09,Lusa,01:00,Lembap pagi,19.8,93.0,19.8,0.0,4.7,3.8,Aman,safe
2026-09-09,Lusa,02:00,Lembap pagi,20.0,94.0,20.0,0.0,5.2,4.2,Aman,safe
2026-09-09,Lusa,03:00,Lembap pagi,19.5,93.0,19.5,0.0,5.2,3.8,Aman,safe
2026-09-09,Lusa,04:00,Lembap pagi,18.7,93.0,18.7,0.0,5.3,3.8,Aman,safe
2026-09-09,Lusa,05:00,Lembap pagi,19.6,93.0,19.6,0.0,5.5,3.8,Aman,safe
2026-09-09,Lusa,06:00,Hujan lokal,20.2,90.0,20.2,50.0,5.7,47.5,Perlu diperhatikan,watch
2026-09-09,Lusa,07:00,Hujan lokal,21.3,83.0,21.3,50.0,4.9,45.0,Perlu diperhatikan,watch
2026-09-09,Lusa,08:00,Cerah,23.4,77.0,23.4,0.0,4.2,0,Aman,safe
2026-09-09,Lusa,09:00,Cerah,26.5,62.0,26.5,0.0,4.7,0,Aman,safe
2026-09-09,Lusa,10:00,Cerah berawan,28.2,54.0,28.87,5.7,5.4,4.2,Aman,safe
2026-09-09,Lusa,11:00,Cerah berawan,29.6,48.0,29.93,12.8,5.4,9.5,Aman,safe
2026-09-09,Lusa,12:00,Awan tumbuh,30.5,43.0,30.69,21.4,6.9,15.8,Aman,safe
2026-09-09,Lusa,13:00,Gerimis lokal,30.9,41.0,30.93,24.5,8.28,26.1,Aman,safe
2026-09-09,Lusa,14:00,Gerimis lokal,30.8,41.0,30.8,31.8,8.3,31.5,Perlu diperhatikan,watch
2026-09-09,Lusa,15:00,Hujan lokal,28.8,50.0,30.03,36.3,10.5,34.9,Perlu diperhatikan,watch
2026-09-09,Lusa,16:00,Hujan lokal,27.7,56.0,28.64,42.2,11.0,39.2,Perlu diperhatikan,watch
2026-09-09,Lusa,17:00,Hujan lokal,26.1,65.0,26.1,43.4,10.5,40.1,Perlu diperhatikan,watch
