tanggal,jam,observed_datetime,temp_c,rh_pct,rain_mm,wind_kmh,weather_code,category
15-08-2026,00:00,2026-08-15 00:00:00,20.7,91.0,0.0,1.2,0,Cerah
15-08-2026,01:00,2026-08-15 01:00:00,20.5,93.0,0.0,1.3,1,Cerah Berawan
15-08-2026,02:00,2026-08-15 02:00:00,19.7,96.0,0.0,2.9,2,Cerah Berawan
15-08-2026,03:00,2026-08-15 03:00:00,19.4,98.0,0.0,3.0,3,Berawan
15-08-2026,04:00,2026-08-15 04:00:00,19.1,98.0,0.0,3.4,3,Berawan
15-08-2026,05:00,2026-08-15 05:00:00,18.9,98.0,0.0,4.3,3,Berawan
15-08-2026,06:00,2026-08-15 06:00:00,19.0,96.0,0.0,4.5,3,Berawan
15-08-2026,07:00,2026-08-15 07:00:00,20.1,90.0,0.0,5.4,3,Berawan
15-08-2026,08:00,2026-08-15 08:00:00,21.8,81.0,0.0,4.8,3,Berawan
15-08-2026,09:00,2026-08-15 09:00:00,24.6,68.0,0.0,4.4,3,Berawan
15-08-2026,10:00,2026-08-15 10:00:00,27.0,58.0,0.0,3.1,3,Berawan
15-08-2026,11:00,2026-08-15 11:00:00,29.2,48.0,0.0,2.1,3,Berawan
15-08-2026,12:00,2026-08-15 12:00:00,30.6,43.0,0.3,0.2,51,Hujan Ringan
15-08-2026,13:00,2026-08-15 13:00:00,30.8,42.0,0.5,3.4,53,Hujan Ringan
15-08-2026,14:00,2026-08-15 14:00:00,28.8,49.0,1.1,5.0,55,Hujan Ringan
15-08-2026,15:00,2026-08-15 15:00:00,26.2,67.0,0.6,6.6,53,Hujan Ringan
15-08-2026,16:00,2026-08-15 16:00:00,26.7,63.0,0.2,4.8,51,Hujan Ringan
15-08-2026,17:00,2026-08-15 17:00:00,25.9,67.0,0.3,4.6,51,Hujan Ringan
15-08-2026,18:00,2026-08-15 18:00:00,24.6,77.0,0.0,2.6,3,Berawan
15-08-2026,19:00,2026-08-15 19:00:00,24.0,84.0,0.1,4.1,51,Hujan Ringan
15-08-2026,20:00,2026-08-15 20:00:00,23.3,89.0,0.2,2.7,51,Hujan Ringan
15-08-2026,21:00,2026-08-15 21:00:00,22.6,91.0,0.0,2.7,3,Berawan
15-08-2026,22:00,2026-08-15 22:00:00,22.0,93.0,0.0,2.3,3,Berawan
15-08-2026,23:00,2026-08-15 23:00:00,21.4,93.0,0.0,2.6,3,Berawan
