target_date,source_id,jam,temp_error,rh_error,rain_error,category_score,overall_score
2026-08-24,BMKG,17:00,6.4,31.0,,100.0,65.97
2026-08-24,BMKG,18:00,4.8,24.0,,100.0,74.2
2026-08-24,BMKG,19:00,3.9,20.0,,100.0,78.85
2026-08-24,BMKG,20:00,2.4,13.0,,100.0,86.72
2026-08-24,BMKG,21:00,1.1,6.0,,100.0,93.9
2026-08-24,BMKG,22:00,2.0,7.0,,100.0,90.37
2026-08-24,BMKG,23:00,1.1,0.0,,60.0,83.65
2026-08-24,CMA,00:00,1.7,1.0,0.0,60.0,84.94
2026-08-24,CMA,01:00,1.8,4.0,0.0,60.0,83.76
2026-08-24,CMA,02:00,2.2,7.0,0.0,60.0,81.74
2026-08-24,CMA,03:00,2.3,7.0,0.0,60.0,81.46
2026-08-24,CMA,04:00,2.7,10.0,0.0,60.0,79.44
2026-08-24,CMA,05:00,3.5,16.0,0.0,60.0,75.4
2026-08-24,CMA,06:00,3.5,18.0,0.0,60.0,74.8
2026-08-24,CMA,07:00,2.4,16.0,0.0,60.0,78.48
2026-08-24,CMA,08:00,1.2,12.0,0.0,60.0,83.04
2026-08-24,CMA,09:00,0.2,8.0,0.0,100.0,97.04
2026-08-24,CMA,10:00,1.3,1.0,0.0,100.0,96.06
2026-08-24,CMA,11:00,2.6,4.0,0.0,100.0,91.52
2026-08-24,CMA,12:00,3.4,11.0,0.0,100.0,87.18
2026-08-24,CMA,13:00,3.8,15.0,0.0,100.0,84.86
2026-08-24,CMA,14:00,3.2,16.0,0.0,100.0,86.24
2026-08-24,CMA,15:00,3.0,15.0,0.0,60.0,77.1
2026-08-24,CMA,16:00,2.7,16.0,0.0,60.0,77.64
2026-08-24,CMA,17:00,2.4,20.0,0.0,100.0,87.28
2026-08-24,CMA,18:00,2.3,24.0,0.0,100.0,86.36
2026-08-24,CMA,19:00,2.7,28.0,0.0,100.0,84.04
2026-08-24,CMA,20:00,1.9,24.0,0.0,100.0,87.48
2026-08-24,CMA,21:00,0.9,18.0,0.0,100.0,92.08
2026-08-24,CMA,22:00,0.2,7.0,0.0,100.0,97.34
2026-08-24,CMA,23:00,0.3,3.0,0.0,60.0,88.26
2026-08-24,ECMWF,00:00,0.5,4.0,0.0,100.0,97.4
2026-08-24,ECMWF,01:00,0.2,3.0,0.0,60.0,88.54
2026-08-24,ECMWF,02:00,0.3,3.0,0.0,100.0,98.26
2026-08-24,ECMWF,03:00,0.2,1.0,0.0,60.0,89.14
2026-08-24,ECMWF,04:00,0.6,2.0,0.0,60.0,87.72
2026-08-24,ECMWF,05:00,1.3,6.0,0.0,60.0,84.56
2026-08-24,ECMWF,06:00,1.4,8.0,0.0,100.0,93.68
2026-08-24,ECMWF,07:00,0.7,7.0,0.0,60.0,85.94
2026-08-24,ECMWF,08:00,0.6,7.0,0.0,60.0,86.22
2026-08-24,ECMWF,09:00,0.9,9.0,0.0,100.0,94.78
2026-08-24,ECMWF,10:00,0.7,8.0,0.0,100.0,95.64
2026-08-24,ECMWF,11:00,0.4,7.0,0.0,100.0,96.78
2026-08-24,ECMWF,12:00,0.4,4.0,0.0,100.0,97.68
2026-08-24,ECMWF,13:00,0.6,3.0,0.0,100.0,97.42
2026-08-24,ECMWF,14:00,1.5,5.0,0.0,60.0,84.3
2026-08-24,ECMWF,15:00,1.7,9.0,0.0,100.0,92.54
2026-08-24,ECMWF,16:00,1.7,10.0,0.0,100.0,92.24
2026-08-24,ECMWF,17:00,1.5,6.0,0.0,60.0,84.0
2026-08-24,ECMWF,18:00,0.7,2.0,0.0,60.0,87.44
2026-08-24,ECMWF,19:00,0.5,4.0,0.0,100.0,97.4
2026-08-24,ECMWF,20:00,0.4,5.0,0.0,100.0,97.38
2026-08-24,ECMWF,21:00,0.2,5.0,0.0,100.0,97.94
2026-08-24,ECMWF,22:00,0.1,0.0,0.0,100.0,99.72
2026-08-24,ECMWF,23:00,0.1,4.0,0.0,60.0,88.52
2026-08-24,GFS,00:00,2.5,0.0,0.0,60.0,83.0
2026-08-24,GFS,01:00,2.4,1.0,0.0,60.0,82.98
2026-08-24,GFS,02:00,2.1,0.0,0.0,60.0,84.12
2026-08-24,GFS,03:00,2.0,2.0,0.0,60.0,83.8
2026-08-24,GFS,04:00,1.8,3.0,0.0,60.0,84.06
2026-08-24,GFS,05:00,1.3,1.0,0.0,60.0,86.06
2026-08-24,GFS,06:00,1.7,0.0,0.0,60.0,85.24
