target_date,jam,target_datetime,lead_hours,lead_bucket,mission,location_personality,microclimate_profile,atmospheric_mode,predictability,dominant_category,dominant_category_probability,category_disagreement,sources_used,source_ids,coverage_fraction,temp_p05,temp_p10,temp_p25,temp_p50,temp_p75,temp_p90,temp_p95,temp_micro_p50,temp_micro_adjustment,rh_p10,rh_p50,rh_p90,rh_micro_p50,rh_micro_adjustment,rain_p05,rain_p10,rain_p25,rain_p50,rain_p75,rain_p90,rain_p95,prob_rain,prob_moderate_heavy_rain,prob_heavy_rain,wind_p50,wind_p90,gust_p90,heat_index_p50,heat_index_p90,cloud_p50,cape_p50,visibility_p10,analog_probability,analog_cases,direct_hit_risk,nearby_rain_risk,rain_displacement_risk,spatial_uncertainty,rain_threat_score,rain_threat_level,heavy_rain_threat_score,heavy_rain_threat_level,wind_threat_score,wind_threat_level,heat_discomfort_threat_score,heat_discomfort_threat_level,low_visibility_threat_score,low_visibility_threat_level,thunderstorm_proxy_threat_score,thunderstorm_proxy_threat_level,uncertainty_score,forecast_stress_index,forecast_failure_risk,self_doubt_score,main_failure_mode,scenario_dry_miss,scenario_nearby_rain_only,scenario_direct_light_rain,scenario_direct_moderate_rain,scenario_convective_burst,walking_score,motorbike_score,outdoor_event_score,fieldwork_score,laundry_score,sport_score,trust_level,operational_status,autopilot_route,confidence_score_base,source_health_mean,gap_mean_minutes,decision_recommendation,expert_council,counterfactual_summary,forecast_contract_summary,explanation,dew_point_c,apparent_temperature_c,pressure_msl_hpa,surface_pressure_hpa,wind_direction_deg,uv_index,grid_sampling_status,grid_points_used,grid_rain_point_fraction,grid_max_rain_mm,grid_center_rain_mm,grid_direct_hit_risk,grid_nearby_rain_risk,grid_spatial_uncertainty,sentinel_public_version,official_warning_disclaimer,calibration_status,verification_cases,risk_score_basis,public_safety_note
2026-09-28,00:00,2026-09-28T00:00:00+07:00,26.95,lead_24_48h,safety_first,valley_humid_convective,valley_highland,HUMID_STABLE_MORNING,HIGH,Cerah Berawan,39.9,60.0,9,BMKG+CMA+ECMWF+GFS+ICON+KMA+METEOFRANCE+METNO+UKMO,1.0,19.0,19.0,20.7,21.5,22.2,24.4,24.4,21.0,-0.5,85.0,94.5,99.0,98.5,4.0,0.0,0.0,0.0,0.0,0.0,1.3,3.4,18.4,9.5,0.0,2.7,3.4,9.7,21.5,24.4,85.0,200.0,9000.0,18.4,50,28.4,46.0,36.9,48.3,33.4,LOW,11.3,LOW,21.6,LOW,0.0,LOW,18.0,LOW,31.1,LOW,28.1,30.8,27.9,34.4,category_disagreement_error,71.5,11.4,10.2,4.1,2.8,6,5,5,6,1,6,HIGHLY_TRUSTED,GREEN,analog_memory_blend_route,79.9,0.918,6.7,Risiko relatif terkendali; keputusan normal masih masuk akal dengan pemantauan berkala.,"Local Signal Analyst: sinyal hujan belum dominan, tetapi tetap membaca tail-risk dari P90/P95. | Uncertainty Auditor: agreement relatif masih dapat diterima untuk keputusan umum. | Analog Memory Analyst: 50 kasus lokal historis/feedback ikut memodifikasi peluang hujan. | Decision Judge: mission=safety_first → Risiko relatif terkendali; keputusan normal masih masuk akal dengan pemantauan berkala.","Jika RH turun ±10%, rain support kemungkinan turun signifikan. Jika kategori antar-source lebih sepakat, trust level akan naik.",Boleh dipakai untuk rencana umum; tetap bukan peringatan resmi cuaca ekstrem.,"Sentinel memilih interpretasi ini karena mode atmosfer HUMID_STABLE_MORNING; 9 source aktif. Grid sampling: nearby rain fraction 0.5, max rain 0.1 mm.",20.7,26.2,1015.0,935.9,168.0,0.0,ok,6,0.5,0.1,0,32.5,50.0,32.7,sentinel-x-public-operational-v2,"Bukan peringatan resmi. Untuk cuaca ekstrem, ikuti informasi BMKG dan kondisi setempat.",VERIFIED_ENOUGH_DATA,1752,observation_verified,Decision support only; not an official warning.
2026-09-28,01:00,2026-09-28T01:00:00+07:00,27.95,lead_24_48h,safety_first,valley_humid_convective,valley_highland,HUMID_STABLE_MORNING,HIGH,Cerah Berawan,36.6,63.4,9,BMKG+CMA+ECMWF+GFS+ICON+KMA+METEOFRANCE+METNO+UKMO,1.0,19.0,19.0,20.4,20.7,22.4,24.4,24.4,20.2,-0.5,87.0,95.0,99.0,99.0,4.0,0.0,0.0,0.0,0.0,0.1,1.4,3.4,22.7,9.1,0.0,1.8,3.4,8.6,20.7,24.4,67.0,210.0,6600.0,22.7,50,14.7,22.4,21.6,50.8,36.1,MEDIUM,11.5,LOW,19.1,LOW,0.0,LOW,42.0,MEDIUM,29.6,LOW,28.9,32.1,29.4,36.0,category_disagreement_error,67.4,12.7,12.2,4.9,2.8,6,5,4,5,1,6,HIGHLY_TRUSTED,GREEN,analog_memory_blend_route,79.9,0.918,0.0,Risiko relatif terkendali; keputusan normal masih masuk akal dengan pemantauan berkala.,"Local Signal Analyst: sinyal hujan belum dominan, tetapi tetap membaca tail-risk dari P90/P95. | Uncertainty Auditor: agreement relatif masih dapat diterima untuk keputusan umum. | Analog Memory Analyst: 50 kasus lokal historis/feedback ikut memodifikasi peluang hujan. | Decision Judge: mission=safety_first → Risiko relatif terkendali; keputusan normal masih masuk akal dengan pemantauan berkala.","Jika RH turun ±10%, rain support kemungkinan turun signifikan. Jika kategori antar-source lebih sepakat, trust level akan naik.",Boleh dipakai untuk rencana umum; tetap bukan peringatan resmi cuaca ekstrem.,"Sentinel memilih interpretasi ini karena mode atmosfer HUMID_STABLE_MORNING; 9 source aktif. Grid sampling: nearby rain fraction 0.0, max rain 0 mm.",20.6,25.8,1014.4,935.3,183.0,0.0,ok,6,0.0,0,0,0.0,0.0,0.0,sentinel-x-public-operational-v2,"Bukan peringatan resmi. Untuk cuaca ekstrem, ikuti informasi BMKG dan kondisi setempat.",VERIFIED_ENOUGH_DATA,1752,observation_verified,Decision support only; not an official warning.
2026-09-28,02:00,2026-09-28T02:00:00+07:00,28.95,lead_24_48h,safety_first,valley_humid_convective,valley_highland,HUMID_STABLE_MORNING,HIGH,Cerah Berawan,39.9,60.0,9,BMKG+CMA+ECMWF+GFS+ICON+KMA+METEOFRANCE+METNO+UKMO,1.0,19.0,19.0,20.2,20.7,22.6,24.7,24.7,20.2,-0.5,86.0,96.0,99.0,100.0,4.0,0.0,0.0,0.0,0.0,0.1,1.3,1.3,23.3,0.0,0.0,2.2,3.4,7.9,20.7,24.7,93.0,100.0,6840.0,23.3,50,14.9,22.1,21.1,48.9,36.2,MEDIUM,6.3,LOW,17.6,LOW,0.0,LOW,39.6,MEDIUM,30.4,LOW,28.5,31.5,28.9,35.0,category_disagreement_error,66.9,12.7,12.6,5.1,2.7,6,5,4,5,0,6,HIGHLY_TRUSTED,GREEN,analog_memory_blend_route,80.1,0.918,6.7,Risiko relatif terkendali; keputusan normal masih masuk akal dengan pemantauan berkala.,"Local Signal Analyst: sinyal hujan belum dominan, tetapi tetap membaca tail-risk dari P90/P95. | Uncertainty Auditor: agreement relatif masih dapat diterima untuk keputusan umum. | Analog Memory Analyst: 50 kasus lokal historis/feedback ikut memodifikasi peluang hujan. | Decision Judge: mission=safety_first → Risiko relatif terkendali; keputusan normal masih masuk akal dengan pemantauan berkala.","Jika RH turun ±10%, rain support kemungkinan turun signifikan. Jika kategori antar-source lebih sepakat, trust level akan naik.",Boleh dipakai untuk rencana umum; tetap bukan peringatan resmi cuaca ekstrem.,"Sentinel memilih interpretasi ini karena mode atmosfer HUMID_STABLE_MORNING; 9 source aktif. Grid sampling: nearby rain fraction 0.0, max rain 0 mm.",20.5,25.6,1014.0,934.9,196.0,0.0,ok,6,0.0,0,0,0.0,0.0,0.0,sentinel-x-public-operational-v2,"Bukan peringatan resmi. Untuk cuaca ekstrem, ikuti informasi BMKG dan kondisi setempat.",VERIFIED_ENOUGH_DATA,1752,observation_verified,Decision support only; not an official warning.
2026-09-28,03:00,2026-09-28T03:00:00+07:00,29.95,lead_24_48h,safety_first,valley_humid_convective,valley_highland,HUMID_STABLE_MORNING,HIGH,Berawan,40.0,60.0,9,BMKG+CMA+ECMWF+GFS+ICON+KMA+METEOFRANCE+METNO+UKMO,1.0,18.0,18.0,20.1,20.3,22.5,25.0,25.0,19.8,-0.5,87.0,97.0,100.0,100.0,4.0,0.0,0.0,0.0,0.0,0.0,0.2,1.0,17.6,0.0,0.0,2.2,4.4,7.9,20.3,25.0,82.0,110.0,380.0,17.6,50,13.1,19.9,19.8,47.3,31.4,LOW,5.5,LOW,17.6,LOW,0.0,LOW,100.0,VERY_HIGH,29.7,LOW,26.9,29.2,26.6,33.4,category_disagreement_error,72.5,10.9,9.9,4.0,2.7,7,5,5,6,1,6,HIGHLY_TRUSTED,GREEN,analog_memory_blend_route,80.1,0.918,6.7,Risiko relatif terkendali; keputusan normal masih masuk akal dengan pemantauan berkala.,"Local Signal Analyst: sinyal hujan belum dominan, tetapi tetap membaca tail-risk dari P90/P95. | Uncertainty Auditor: agreement relatif masih dapat diterima untuk keputusan umum. | Analog Memory Analyst: 50 kasus lokal historis/feedback ikut memodifikasi peluang hujan. | Decision Judge: mission=safety_first → Risiko relatif terkendali; keputusan normal masih masuk akal dengan pemantauan berkala.","Jika RH turun ±10%, rain support kemungkinan turun signifikan. Jika kategori antar-source lebih sepakat, trust level akan naik.",Boleh dipakai untuk rencana umum; tetap bukan peringatan resmi cuaca ekstrem.,"Sentinel memilih interpretasi ini karena mode atmosfer HUMID_STABLE_MORNING; 9 source aktif. Grid sampling: nearby rain fraction 0.0, max rain 0 mm.",20.5,25.6,1014.0,934.9,187.0,0.0,ok,6,0.0,0,0,0.0,0.0,0.0,sentinel-x-public-operational-v2,"Bukan peringatan resmi. Untuk cuaca ekstrem, ikuti informasi BMKG dan kondisi setempat.",VERIFIED_ENOUGH_DATA,1752,observation_verified,Decision support only; not an official warning.
2026-09-28,04:00,2026-09-28T04:00:00+07:00,30.95,lead_24_48h,safety_first,valley_humid_convective,valley_highland,HUMID_STABLE_MORNING,HIGH,Cerah Berawan,41.5,58.5,9,BMKG+CMA+ECMWF+GFS+ICON+KMA+METEOFRANCE+METNO+UKMO,1.0,18.0,18.0,20.2,20.2,21.9,25.1,25.1,19.7,-0.5,90.0,97.0,100.0,100.0,4.0,0.0,0.0,0.0,0.0,0.0,0.1,1.0,16.4,0.0,0.0,2.2,3.9,7.6,20.2,25.1,84.0,110.0,140.0,16.4,50,12.8,19.4,19.4,46.3,30.5,LOW,5.4,LOW,16.9,LOW,0.9,LOW,100.0,VERY_HIGH,29.9,LOW,25.7,28.5,25.8,32.3,low_failure_risk_non_rain,74.0,10.3,9.4,3.7,2.6,7,5,5,6,1,6,HIGHLY_TRUSTED,GREEN,analog_memory_blend_route,81.7,0.918,0.0,Risiko relatif terkendali; keputusan normal masih masuk akal dengan pemantauan berkala.,"Local Signal Analyst: sinyal hujan belum dominan, tetapi tetap membaca tail-risk dari P90/P95. | Uncertainty Auditor: agreement relatif masih dapat diterima untuk keputusan umum. | Analog Memory Analyst: 50 kasus lokal historis/feedback ikut memodifikasi peluang hujan. | Decision Judge: mission=safety_first → Risiko relatif terkendali; keputusan normal masih masuk akal dengan pemantauan berkala.","Jika RH turun ±10%, rain support kemungkinan turun signifikan. Jika kategori antar-source lebih sepakat, trust level akan naik.",Boleh dipakai untuk rencana umum; tetap bukan peringatan resmi cuaca ekstrem.,"Sentinel memilih interpretasi ini karena mode atmosfer HUMID_STABLE_MORNING; 9 source aktif. Grid sampling: nearby rain fraction 0.0, max rain 0 mm.",20.6,25.6,1014.2,935.1,200.0,0.0,ok,6,0.0,0,0,0.0,0.0,0.0,sentinel-x-public-operational-v2,"Bukan peringatan resmi. Untuk cuaca ekstrem, ikuti informasi BMKG dan kondisi setempat.",VERIFIED_ENOUGH_DATA,1752,observation_verified,Decision support only; not an official warning.
2026-09-28,05:00,2026-09-28T05:00:00+07:00,31.95,lead_24_48h,safety_first,valley_humid_convective,valley_highland,HUMID_STABLE_MORNING,HIGH,Berawan,40.1,59.9,9,BMKG+CMA+ECMWF+GFS+ICON+KMA+METEOFRANCE+METNO+UKMO,1.0,18.0,18.0,20.2,20.4,21.5,25.3,25.3,19.9,-0.5,90.0,97.0,100.0,100.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.4,0.0,0.0,2.52,4.5,7.6,20.4,25.3,80.0,70.0,4080.0,5.4,50,10.6,17.1,18.8,46.0,24.8,LOW,3.1,LOW,16.9,LOW,3.1,LOW,67.2,HIGH,28.7,LOW,26.7,28.7,24.8,32.4,low_failure_risk_non_rain,84.2,7.8,3.9,1.3,2.8,7,6,6,6,2,7,HIGHLY_TRUSTED,GREEN,analog_memory_blend_route,80.7,0.918,6.7,Risiko relatif terkendali; keputusan normal masih masuk akal dengan pemantauan berkala.,"Local Signal Analyst: sinyal hujan belum dominan, tetapi tetap membaca tail-risk dari P90/P95. | Uncertainty Auditor: agreement relatif masih dapat diterima untuk keputusan umum. | Analog Memory Analyst: 50 kasus lokal historis/feedback ikut memodifikasi peluang hujan. | Decision Judge: mission=safety_first → Risiko relatif terkendali; keputusan normal masih masuk akal dengan pemantauan berkala.","Jika RH turun ±10%, rain support kemungkinan turun signifikan. Jika kategori antar-source lebih sepakat, trust level akan naik.",Boleh dipakai untuk rencana umum; tetap bukan peringatan resmi cuaca ekstrem.,"Sentinel memilih interpretasi ini karena mode atmosfer HUMID_STABLE_MORNING; 9 source aktif. Grid sampling: nearby rain fraction 0.0, max rain 0 mm.",20.6,25.5,1014.8,935.6,161.0,0.0,ok,6,0.0,0,0,0.0,0.0,0.0,sentinel-x-public-operational-v2,"Bukan peringatan resmi. Untuk cuaca ekstrem, ikuti informasi BMKG dan kondisi setempat.",VERIFIED_ENOUGH_DATA,1752,observation_verified,Decision support only; not an official warning.
2026-09-28,06:00,2026-09-28T06:00:00+07:00,32.95,lead_24_48h,safety_first,valley_humid_convective,valley_highland,HUMID_STABLE_MORNING,HIGH,Berawan,40.1,59.9,9,BMKG+CMA+ECMWF+GFS+ICON+KMA+METEOFRANCE+METNO+UKMO,1.0,19.9,19.9,20.8,20.9,22.0,25.3,25.3,20.4,-0.5,79.0,92.0,98.4,96.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1,0.0,0.0,3.96,4.6,10.1,20.9,25.3,61.0,30.0,10540.0,4.1,50,9.8,16.6,18.8,46.0,23.2,LOW,2.9,LOW,22.4,LOW,0.0,LOW,2.6,LOW,25.1,LOW,26.9,28.9,24.7,32.4,low_failure_risk_non_rain,84.6,7.4,3.9,1.3,2.8,7,6,6,7,3,7,HIGHLY_TRUSTED,GREEN,analog_memory_blend_route,80.5,0.918,6.7,Risiko relatif terkendali; keputusan normal masih masuk akal dengan pemantauan berkala.,"Local Signal Analyst: sinyal hujan belum dominan, tetapi tetap membaca tail-risk dari P90/P95. | Uncertainty Auditor: agreement relatif masih dapat diterima untuk keputusan umum. | Analog Memory Analyst: 50 kasus lokal historis/feedback ikut memodifikasi peluang hujan. | Decision Judge: mission=safety_first → Risiko relatif terkendali; keputusan normal masih masuk akal dengan pemantauan berkala.","Jika RH turun ±10%, rain support kemungkinan turun signifikan. Jika kategori antar-source lebih sepakat, trust level akan naik.",Boleh dipakai untuk rencana umum; tetap bukan peringatan resmi cuaca ekstrem.,"Sentinel memilih interpretasi ini karena mode atmosfer HUMID_STABLE_MORNING; 9 source aktif. Grid sampling: nearby rain fraction 0.0, max rain 0 mm.",20.5,25.4,1015.5,936.2,163.0,0.0,ok,6,0.0,0,0,0.0,0.0,0.0,sentinel-x-public-operational-v2,"Bukan peringatan resmi. Untuk cuaca ekstrem, ikuti informasi BMKG dan kondisi setempat.",VERIFIED_ENOUGH_DATA,1752,observation_verified,Decision support only; not an official warning.
2026-09-28,07:00,2026-09-28T07:00:00+07:00,33.95,lead_24_48h,safety_first,valley_humid_convective,valley_highland,HUMID_STABLE_MORNING,HIGH,Cerah,48.8,51.2,9,BMKG+CMA+ECMWF+GFS+ICON+KMA+METEOFRANCE+METNO+UKMO,1.0,21.6,21.6,21.9,22.0,22.6,26.1,26.1,21.5,-0.5,79.0,88.0,95.6,92.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9,0.0,0.0,3.24,4.6,12.2,22.0,26.1,23.0,150.0,17060.0,3.9,50,9.5,15.4,17.4,41.0,21.9,LOW,3.4,LOW,27.1,LOW,3.0,LOW,0.0,LOW,22.7,LOW,23.5,26.5,22.5,28.5,low_failure_risk_non_rain,85.5,6.7,4.0,1.3,2.5,7,6,6,7,6,7,HIGHLY_TRUSTED,GREEN,analog_memory_blend_route,84.3,0.918,0.0,"Window relatif baik untuk aktivitas luar ruang, tetapi tetap cek update menjelang siang.","Local Signal Analyst: sinyal hujan belum dominan, tetapi tetap membaca tail-risk dari P90/P95. | Uncertainty Auditor: agreement relatif masih dapat diterima untuk keputusan umum. | Analog Memory Analyst: 50 kasus lokal historis/feedback ikut memodifikasi peluang hujan. | Decision Judge: mission=safety_first → Window relatif baik untuk aktivitas luar ruang, tetapi tetap cek update menjelang siang.","Jika RH turun ±10%, rain support kemungkinan turun signifikan. Jika kategori antar-source lebih sepakat, trust level akan naik.",Boleh dipakai untuk rencana umum; tetap bukan peringatan resmi cuaca ekstrem.,"Sentinel memilih interpretasi ini karena mode atmosfer HUMID_STABLE_MORNING; 9 source aktif. Grid sampling: nearby rain fraction 0.0, max rain 0 mm.",20.9,26.8,1016.1,937.1,105.0,0.4,ok,6,0.0,0,0,0.0,0.0,0.0,sentinel-x-public-operational-v2,"Bukan peringatan resmi. Untuk cuaca ekstrem, ikuti informasi BMKG dan kondisi setempat.",VERIFIED_ENOUGH_DATA,1752,observation_verified,Decision support only; not an official warning.
2026-09-28,08:00,2026-09-28T08:00:00+07:00,34.95,lead_24_48h,safety_first,valley_humid_convective,valley_highland,STABLE_LOW_RAIN,HIGH,Cerah,63.0,37.0,9,BMKG+CMA+ECMWF+GFS+ICON+KMA+METEOFRANCE+METNO+UKMO,1.0,22.0,22.0,23.6,24.1,24.9,27.6,27.6,24.1,0.0,77.0,80.9,85.0,80.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9,0.0,0.0,3.6,6.6,14.0,24.1,31.52,7.0,200.0,17360.0,3.9,50,8.9,13.8,15.2,32.8,19.8,LOW,3.3,LOW,31.1,LOW,56.1,MEDIUM,0.0,LOW,20.6,LOW,19.7,23.0,19.4,23.0,low_failure_risk_non_rain,86.5,5.8,4.1,1.4,2.2,5,6,7,5,7,4,HIGHLY_TRUSTED,GREEN,analog_memory_blend_route,86.8,0.918,6.7,"Window relatif baik untuk aktivitas luar ruang, tetapi tetap cek update menjelang siang.","Local Signal Analyst: sinyal hujan belum dominan, tetapi tetap membaca tail-risk dari P90/P95. | Uncertainty Auditor: agreement relatif masih dapat diterima untuk keputusan umum. | Analog Memory Analyst: 50 kasus lokal historis/feedback ikut memodifikasi peluang hujan. | Decision Judge: mission=safety_first → Window relatif baik untuk aktivitas luar ruang, tetapi tetap cek update menjelang siang.",Faktor pengubah utama belum dominan; forecast relatif dikendalikan oleh consensus source.,Boleh dipakai untuk rencana umum; tetap bukan peringatan resmi cuaca ekstrem.,"Sentinel memilih interpretasi ini karena mode atmosfer STABLE_LOW_RAIN; 9 source aktif. Grid sampling: nearby rain fraction 0.0, max rain 0 mm.",21.0,28.4,1016.4,937.8,107.0,1.4,ok,6,0.0,0,0,0.0,0.0,0.0,sentinel-x-public-operational-v2,"Bukan peringatan resmi. Untuk cuaca ekstrem, ikuti informasi BMKG dan kondisi setempat.",VERIFIED_ENOUGH_DATA,1752,observation_verified,Decision support only; not an official warning.
2026-09-28,09:00,2026-09-28T09:00:00+07:00,35.95,lead_24_48h,safety_first,valley_humid_convective,valley_highland,STABLE_LOW_RAIN,HIGH,Cerah,49.8,50.2,9,BMKG+CMA+ECMWF+GFS+ICON+KMA+METEOFRANCE+METNO+UKMO,1.0,24.3,24.3,25.4,26.5,28.0,29.5,29.5,26.5,0.0,56.0,70.0,74.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,4.32,6.8,16.6,26.5,33.85,12.0,140.0,16880.0,4.0,50,8.1,14.3,17.4,40.6,18.7,LOW,3.3,LOW,36.9,MEDIUM,76.1,HIGH,0.0,LOW,17.8,LOW,24.1,26.9,22.8,28.7,low_failure_risk_non_rain,85.3,6.8,4.0,1.3,2.6,5,5,7,5,7,3,HIGHLY_TRUSTED,GREEN,analog_memory_blend_route,83.0,0.918,6.7,"Window relatif baik untuk aktivitas luar ruang, tetapi tetap cek update menjelang siang.","Local Signal Analyst: sinyal hujan belum dominan, tetapi tetap membaca tail-risk dari P90/P95. | Uncertainty Auditor: agreement relatif masih dapat diterima untuk keputusan umum. | Analog Memory Analyst: 50 kasus lokal historis/feedback ikut memodifikasi peluang hujan. | Decision Judge: mission=safety_first → Window relatif baik untuk aktivitas luar ruang, tetapi tetap cek update menjelang siang.","Jika kategori antar-source lebih sepakat, trust level akan naik.",Boleh dipakai untuk rencana umum; tetap bukan peringatan resmi cuaca ekstrem.,"Sentinel memilih interpretasi ini karena mode atmosfer STABLE_LOW_RAIN; 9 source aktif. Grid sampling: nearby rain fraction 0.0, max rain 0 mm.",20.6,30.2,1016.2,938.1,92.0,3.2,ok,6,0.0,0,0,0.0,0.0,0.0,sentinel-x-public-operational-v2,"Bukan peringatan resmi. Untuk cuaca ekstrem, ikuti informasi BMKG dan kondisi setempat.",VERIFIED_ENOUGH_DATA,1752,observation_verified,Decision support only; not an official warning.
