jam,cuaca,suhu_C,kelembapan_RH_pct,heat_index_C,terasa_seperti_C,dew_point_C,tekanan_udara_hpa,peluang_hujan_pct,curah_hujan_p50_mm,curah_hujan_p90_mm,angin_kmh,hembusan_angin_p90_kmh,arah_angin_derajat,tutupan_awan_pct,jarak_pandang_p10_m,indeks_uv,risiko_hujan,saran
00:00,Cerah Berawan,20.9,88.0,20.9,25.6,20.1,1014.6,0.1,0.0,0.0,4.7,12.2,151.0,63.0,1020.0,0.0,low,Risiko relatif terkendali; keputusan normal masih masuk akal dengan pemantauan berkala.
01:00,Berawan,19.8,93.0,19.8,24.7,19.8,1013.9,0.0,0.0,0.0,4.7,10.8,155.0,39.0,880.0,0.0,low,Risiko relatif terkendali; keputusan normal masih masuk akal dengan pemantauan berkala.
02:00,Cerah Berawan,20.0,94.0,20.0,23.5,19.1,1013.5,0.0,0.0,0.0,5.2,10.4,153.0,36.0,1040.0,0.0,low,Risiko relatif terkendali; keputusan normal masih masuk akal dengan pemantauan berkala.
03:00,Cerah Berawan,19.5,93.0,19.5,22.7,18.6,1013.4,0.0,0.0,0.0,5.2,10.4,191.0,36.0,1220.0,0.0,low,Risiko relatif terkendali; keputusan normal masih masuk akal dengan pemantauan berkala.
04:00,Cerah Berawan,18.7,93.0,18.7,22.1,18.2,1013.4,0.0,0.0,0.0,5.3,11.2,132.0,36.0,1380.0,0.0,low,Risiko relatif terkendali; keputusan normal masih masuk akal dengan pemantauan berkala.
05:00,Cerah Berawan,19.6,93.0,19.6,21.7,18.0,1013.8,0.0,0.0,0.0,5.5,11.2,131.0,40.0,3560.0,0.0,low,Risiko relatif terkendali; keputusan normal masih masuk akal dengan pemantauan berkala.
06:00,Cerah Berawan,20.2,90.0,20.2,21.6,18.0,1014.4,0.5,0.0,0.0,5.7,10.4,129.0,45.0,5720.0,0.0,low,Risiko relatif terkendali; keputusan normal masih masuk akal dengan pemantauan berkala.
07:00,Cerah Berawan,21.3,83.0,21.3,24.1,18.8,1014.8,0.5,0.0,0.0,4.9,11.2,129.0,49.0,7900.0,0.7,low,"Window relatif baik untuk aktivitas luar ruang, tetapi tetap cek update menjelang siang."
08:00,Cerah Berawan,23.4,77.0,23.4,27.5,18.9,1014.8,0.0,0.0,0.0,4.2,13.3,120.0,21.0,8040.0,2.5,low,"Window relatif baik untuk aktivitas luar ruang, tetapi tetap cek update menjelang siang."
09:00,Cerah,26.5,62.0,26.5,31.1,18.9,1014.5,0.0,0.0,0.0,4.7,16.6,89.0,11.0,8160.0,4.8,low,"Window relatif baik untuk aktivitas luar ruang, tetapi tetap cek update menjelang siang."
10:00,Cerah Berawan,28.2,54.0,28.87,34.3,18.6,1013.9,5.7,0.0,0.3,5.4,20.2,64.0,30.0,8300.0,6.9,low,"Window relatif baik untuk aktivitas luar ruang, tetapi tetap cek update menjelang siang."
11:00,Cerah Berawan,29.6,48.0,29.93,36.5,18.0,1012.7,12.8,0.0,0.2,5.4,24.1,39.0,45.0,14200.0,8.4,low,"Window relatif baik untuk aktivitas luar ruang, tetapi tetap cek update menjelang siang."
12:00,Cerah Berawan,30.5,43.0,30.69,37.5,17.2,1011.3,21.4,0.0,1.5,6.9,28.4,95.0,50.0,20080.0,9.2,low,Risiko relatif terkendali; keputusan normal masih masuk akal dengan pemantauan berkala.
13:00,Hujan Ringan,30.9,41.0,30.93,37.5,16.8,1010.2,24.5,0.0,1.5,8.28,31.3,216.0,55.0,24140.0,9.0,low,Risiko relatif terkendali; keputusan normal masih masuk akal dengan pemantauan berkala.
14:00,Hujan Ringan,30.8,41.0,30.8,35.5,17.3,1009.6,31.8,0.1,1.5,8.3,32.0,221.0,53.0,16320.0,7.8,low,Risiko relatif terkendali; keputusan normal masih masuk akal dengan pemantauan berkala.
