tanggal,jam,suhu_C,cuaca,RH_%,wind_kmh
28-08-2026,00:00,22.0,Cerah,78.0,0.5
28-08-2026,01:00,22.0,Cerah,78.0,0.5
28-08-2026,02:00,21.0,Cerah,81.0,0.7
28-08-2026,03:00,21.0,Cerah,81.0,0.7
28-08-2026,04:00,21.0,Cerah,81.0,0.7
28-08-2026,05:00,22.0,Cerah,69.0,2.1
28-08-2026,06:00,22.0,Cerah,69.0,2.1
28-08-2026,07:00,22.0,Cerah,69.0,2.1
28-08-2026,08:00,32.0,Cerah,27.0,2.1
28-08-2026,09:00,32.0,Cerah,27.0,2.1
28-08-2026,10:00,32.0,Cerah,27.0,2.1
28-08-2026,11:00,36.0,Cerah,23.0,6.2
28-08-2026,12:00,36.0,Cerah,23.0,6.2
28-08-2026,13:00,36.0,Cerah,23.0,6.2
28-08-2026,14:00,34.0,Cerah,32.0,6.2
28-08-2026,15:00,34.0,Cerah,32.0,6.2
28-08-2026,16:00,34.0,Cerah,32.0,6.2
28-08-2026,17:00,28.0,Cerah,47.0,4.4
28-08-2026,18:00,28.0,Cerah,47.0,4.4
28-08-2026,19:00,28.0,Cerah,47.0,4.4
28-08-2026,20:00,26.0,Cerah,58.0,4.4
28-08-2026,21:00,26.0,Cerah,58.0,4.4
28-08-2026,22:00,26.0,Cerah,58.0,4.4
28-08-2026,23:00,26.0,Cerah,58.0,4.4
