tanggal,jam,suhu_C,cuaca,RH_%,wind_kmh
24-08-2026,11:00,34.0,Cerah,43.0,15.6
24-08-2026,12:00,34.0,Cerah,43.0,15.6
24-08-2026,13:00,34.0,Cerah,43.0,15.6
24-08-2026,14:00,34.0,Cerah,43.0,15.6
24-08-2026,15:00,34.0,Cerah,43.0,15.6
24-08-2026,16:00,28.0,Cerah,66.0,9.7
24-08-2026,17:00,28.0,Cerah,66.0,9.7
24-08-2026,18:00,28.0,Cerah,66.0,9.7
24-08-2026,19:00,27.0,Cerah,70.0,2.7
24-08-2026,20:00,27.0,Cerah,70.0,2.7
24-08-2026,21:00,27.0,Cerah,70.0,2.7
24-08-2026,22:00,25.0,Cerah,77.0,0.7
24-08-2026,23:00,25.0,Cerah,77.0,0.7
