jam,sources_used,weight_total,coverage_status,source_list,dominant_category,confidence_score,confidence_label,temp_mean,temp_error,rh_mean,rh_error,rain_mean,rain_error,heat_index_mean,heat_index_error,%cerah,%cerah_berawan,%berawan,%hujan_ringan,%hujan_sedang,%hujan_lebat,temp_std,rh_std,rain_std,heat_index_std,sources_expected,coverage_fraction,gap_mean_minutes,gap_max_minutes
00:00,9,11.5678,cukup,"BMKG,CMA,ECMWF,GFS,ICON,KMA,METEOFRANCE,METNO,UKMO",Cerah Berawan,84.5,Tinggi,25.88,+/-0.99,85.54,+/-2.01,0.05,+/-0.1,25.57,+/-0.73,20.8,49.7,4.7,24.8,0.0,0.0,0.99,2.01,0.1,0.73,9,1.0,13.33,120.0
01:00,9,11.929,cukup,"BMKG,CMA,ECMWF,GFS,ICON,KMA,METEOFRANCE,METNO,UKMO",Cerah Berawan,88.0,Tinggi,25.6,+/-1.05,87.52,+/-3.32,0.02,+/-0.06,25.25,+/-0.72,23.2,61.1,4.6,11.2,0.0,0.0,1.05,3.32,0.06,0.72,9,1.0,6.67,60.0
02:00,9,12.3804,cukup,"BMKG,CMA,ECMWF,GFS,ICON,KMA,METEOFRANCE,METNO,UKMO",Cerah Berawan,87.3,Tinggi,24.53,+/-1.85,88.32,+/-3.78,0.01,+/-0.04,24.11,+/-1.59,25.4,56.5,4.4,13.8,0.0,0.0,1.85,3.78,0.04,1.59,9,1.0,0.0,0.0
03:00,9,11.929,cukup,"BMKG,CMA,ECMWF,GFS,ICON,KMA,METEOFRANCE,METNO,UKMO",Cerah Berawan,84.3,Tinggi,24.9,+/-1.17,88.58,+/-4.31,0.01,+/-0.04,24.46,+/-0.61,34.4,46.8,4.6,14.3,0.0,0.0,1.17,4.31,0.04,0.61,9,1.0,6.67,60.0
04:00,9,11.929,cukup,"BMKG,CMA,ECMWF,GFS,ICON,KMA,METEOFRANCE,METNO,UKMO",Cerah Berawan,84.2,Tinggi,24.43,+/-1.28,89.35,+/-4.95,0.01,+/-0.04,24.0,+/-0.72,34.4,46.8,4.6,14.3,0.0,0.0,1.28,4.95,0.04,0.72,9,1.0,6.67,60.0
05:00,9,12.3804,cukup,"BMKG,CMA,ECMWF,GFS,ICON,KMA,METEOFRANCE,METNO,UKMO",Cerah,85.3,Tinggi,24.2,+/-1.36,89.71,+/-5.42,0.01,+/-0.03,23.75,+/-0.77,47.9,38.2,4.4,9.5,0.0,0.0,1.36,5.42,0.03,0.77,9,1.0,0.0,0.0
06:00,9,11.929,cukup,"BMKG,CMA,ECMWF,GFS,ICON,KMA,METEOFRANCE,METNO,UKMO",Cerah,84.6,Tinggi,24.17,+/-1.34,89.01,+/-5.91,0.01,+/-0.03,23.73,+/-0.8,49.0,36.6,4.6,9.8,0.0,0.0,1.34,5.91,0.03,0.8,9,1.0,6.67,60.0
07:00,9,11.929,cukup,"BMKG,CMA,ECMWF,GFS,ICON,KMA,METEOFRANCE,METNO,UKMO",Cerah,90.6,Tinggi,25.28,+/-1.02,81.49,+/-8.91,0.01,+/-0.03,24.91,+/-0.6,73.1,12.5,4.6,9.8,0.0,0.0,1.02,8.91,0.03,0.6,9,1.0,6.67,60.0
08:00,9,12.3804,cukup,"BMKG,CMA,ECMWF,GFS,ICON,KMA,METEOFRANCE,METNO,UKMO",Cerah,85.3,Tinggi,27.59,+/-1.33,73.05,+/-8.4,0.0,+/-0.0,29.71,+/-2.48,48.9,46.6,4.4,0.0,0.0,0.0,1.33,8.4,0.0,2.48,9,1.0,0.0,0.0
09:00,9,11.929,cukup,"BMKG,CMA,ECMWF,GFS,ICON,KMA,METEOFRANCE,METNO,UKMO",Cerah,86.9,Tinggi,29.27,+/-1.07,65.15,+/-7.6,0.0,+/-0.0,32.28,+/-1.21,58.1,37.3,4.6,0.0,0.0,0.0,1.07,7.6,0.0,1.21,9,1.0,6.67,60.0
