tanggal,source_id,provider,target_jam,source_datetime,suhu_C,RH_%,rain_mm,wind_kmh,gap_minutes,point_weight,kategori,raw_condition
04-09-2026,BMKG,BMKG,00:00,2026-09-04 01:00:00,22.0,84.0,0.0,1.2,60.0,1.3348,Cerah,Cerah
04-09-2026,BMKG,BMKG,01:00,2026-09-04 01:00:00,22.0,84.0,0.0,1.2,0.0,1.7797,Cerah,Cerah
04-09-2026,BMKG,BMKG,02:00,2026-09-04 01:00:00,22.0,84.0,0.0,1.2,60.0,1.3348,Cerah,Cerah
04-09-2026,BMKG,BMKG,03:00,2026-09-04 04:00:00,22.0,87.0,0.0,2.8,60.0,1.3348,Cerah Berawan,Cerah Berawan
04-09-2026,BMKG,BMKG,04:00,2026-09-04 04:00:00,22.0,87.0,0.0,2.8,0.0,1.7797,Cerah Berawan,Cerah Berawan
04-09-2026,BMKG,BMKG,05:00,2026-09-04 04:00:00,22.0,87.0,0.0,2.8,60.0,1.3348,Cerah Berawan,Cerah Berawan
04-09-2026,BMKG,BMKG,06:00,2026-09-04 07:00:00,28.0,58.0,0.0,3.5,60.0,1.3348,Berawan,Berawan
04-09-2026,BMKG,BMKG,07:00,2026-09-04 07:00:00,28.0,58.0,0.0,3.5,0.0,1.7797,Berawan,Berawan
04-09-2026,BMKG,BMKG,08:00,2026-09-04 07:00:00,28.0,58.0,0.0,3.5,60.0,1.3348,Berawan,Berawan
04-09-2026,BMKG,BMKG,09:00,2026-09-04 10:00:00,34.0,38.0,0.0,6.7,60.0,1.3348,Cerah,Cerah
04-09-2026,BMKG,BMKG,10:00,2026-09-04 10:00:00,34.0,38.0,0.0,6.7,0.0,1.7797,Cerah,Cerah
04-09-2026,BMKG,BMKG,11:00,2026-09-04 10:00:00,34.0,38.0,0.0,6.7,60.0,1.3348,Cerah,Cerah
04-09-2026,BMKG,BMKG,12:00,2026-09-04 13:00:00,34.0,36.0,0.0,6.9,60.0,1.3348,Cerah,Cerah
04-09-2026,BMKG,BMKG,13:00,2026-09-04 13:00:00,34.0,36.0,0.0,6.9,0.0,1.7797,Cerah,Cerah
04-09-2026,BMKG,BMKG,14:00,2026-09-04 13:00:00,34.0,36.0,0.0,6.9,60.0,1.3348,Cerah,Cerah
04-09-2026,BMKG,BMKG,15:00,2026-09-04 16:00:00,30.0,60.0,0.0,14.7,60.0,1.3348,Cerah,Cerah
04-09-2026,BMKG,BMKG,16:00,2026-09-04 16:00:00,30.0,60.0,0.0,14.7,0.0,1.7797,Cerah,Cerah
