date,day_tag,hour,condition,temp_c,humidity_pct,heat_index_c,rain_probability,wind_kmh,risk_score,risk_label,risk_class
2026-08-10,Hari ini,00:00,Hujan lokal kuat,23.7,77.0,23.7,100.0,5.0,89.0,Berpotensi signifikan,danger
2026-08-10,Hari ini,01:00,Hujan lokal,23.4,77.0,23.4,50.0,5.1,45.0,Perlu diperhatikan,watch
2026-08-10,Hari ini,02:00,Berawan dipantau,22.9,78.0,22.9,0.0,4.7,0,Aman,safe
2026-08-10,Hari ini,03:00,Berawan tebal,22.2,79.0,22.2,0.0,4.0,0,Aman,safe
2026-08-10,Hari ini,04:00,Hujan lokal,21.9,79.0,21.9,50.0,3.4,45.0,Perlu diperhatikan,watch
2026-08-10,Hari ini,05:00,Berawan dipantau,21.9,79.0,21.9,0.0,3.9,0,Aman,safe
2026-08-10,Hari ini,06:00,Cerah berawan,22.2,79.0,22.2,0.0,4.1,0,Aman,safe
2026-08-10,Hari ini,07:00,Cerah berawan,23.1,75.0,23.1,0.0,3.8,0,Aman,safe
2026-08-10,Hari ini,08:00,Cerah,25.5,66.0,25.5,0.0,2.8,0,Aman,safe
2026-08-10,Hari ini,09:00,Cerah,28.5,55.0,29.32,0.0,1.9,0,Aman,safe
2026-08-10,Hari ini,10:00,Hujan lokal,30.6,47.0,31.27,50.0,5.3,46.1,Perlu diperhatikan,watch
2026-08-10,Hari ini,11:00,Hujan lokal,31.9,45.0,32.88,50.0,8.3,52.5,Waspada,rain
2026-08-10,Hari ini,12:00,Hujan lokal kuat,32.7,44.0,33.68,100.0,11.1,99.7,Berpotensi signifikan,danger
2026-08-10,Hari ini,13:00,Cerah,33.0,45.0,34.07,2.5,12.8,14.1,Aman,safe
2026-08-10,Hari ini,14:00,Cerah berawan,32.7,46.0,34.02,3.0,14.4,14.3,Aman,safe
2026-08-10,Hari ini,15:00,Cerah,31.4,49.0,33.29,3.0,13.2,11.4,Aman,safe
2026-08-10,Hari ini,16:00,Cerah berawan,31.0,53.0,32.55,3.0,14.8,8.4,Aman,safe
2026-08-10,Hari ini,17:00,Hujan lokal kuat,29.4,60.0,31.73,100.0,12.7,91.9,Berpotensi signifikan,danger
2026-08-10,Hari ini,18:00,Cerah berawan,27.7,68.0,30.22,0.0,10.3,0,Aman,safe
2026-08-10,Hari ini,19:00,Cerah berawan,27.0,74.0,29.35,0.0,7.6,0,Aman,safe
2026-08-10,Hari ini,20:00,Cerah berawan,26.1,78.0,26.1,2.0,6.4,1.5,Aman,safe
2026-08-10,Hari ini,21:00,Hujan lokal kuat,26.1,78.0,26.1,100.0,6.6,89.0,Berpotensi signifikan,danger
2026-08-10,Hari ini,22:00,Hujan lokal kuat,25.6,78.0,25.6,100.0,7.3,89.0,Berpotensi signifikan,danger
2026-08-10,Hari ini,23:00,Hujan lokal,25.0,77.0,25.0,50.0,7.7,45.0,Perlu diperhatikan,watch
2026-08-11,Besok,00:00,Hujan lokal kuat,24.4,81.4,24.4,100.0,5.8,89.0,Berpotensi signifikan,danger
2026-08-11,Besok,01:00,Hujan lokal,23.9,79.0,23.9,50.0,6.2,45.0,Perlu diperhatikan,watch
2026-08-11,Besok,02:00,Cerah berawan,23.3,81.0,23.3,0.0,5.6,0,Aman,safe
2026-08-11,Besok,03:00,Cerah berawan,23.0,86.0,23.0,0.0,5.4,0.8,Aman,safe
2026-08-11,Besok,04:00,Hujan lokal,22.9,87.0,22.9,50.0,5.0,46.3,Perlu diperhatikan,watch
2026-08-11,Besok,05:00,Cerah berawan,22.7,83.0,22.7,0.0,6.1,0,Aman,safe
2026-08-11,Besok,06:00,Cerah berawan,23.1,83.0,23.1,0.0,5.1,0,Aman,safe
2026-08-11,Besok,07:00,Cerah berawan,24.0,78.0,24.0,0.0,2.6,0,Aman,safe
2026-08-11,Besok,08:00,Cerah,26.3,65.0,26.3,0.0,7.0,0,Aman,safe
2026-08-11,Besok,09:00,Cerah,29.0,54.0,30.32,0.0,7.0,0,Aman,safe
2026-08-11,Besok,10:00,Hujan lokal,31.0,47.0,31.7,50.0,7.9,47.8,Perlu diperhatikan,watch
2026-08-11,Besok,11:00,Cerah,32.3,43.0,33.4,0.0,10.7,9.6,Aman,safe
2026-08-11,Besok,12:00,Cerah,33.9,40.0,34.5,0.0,12.3,14.0,Aman,safe
2026-08-11,Besok,13:00,Cerah berawan,33.7,41.0,34.4,1.5,14.9,14.7,Aman,safe
2026-08-11,Besok,14:00,Cerah,33.4,42.0,34.0,2.5,15.6,13.8,Aman,safe
2026-08-11,Besok,15:00,Cerah,32.1,44.0,34.31,2.0,15.1,14.7,Aman,safe
2026-08-11,Besok,16:00,Cerah berawan,31.2,50.0,33.37,3.0,16.6,11.7,Aman,safe
