tanggal,jam,observed_datetime,temp_c,rh_pct,rain_mm,wind_kmh,weather_code,category
01-06-2026,00:00,2026-06-01 00:00:00,24.6,95.0,0.0,3.6,3,Berawan
01-06-2026,01:00,2026-06-01 01:00:00,24.0,97.0,0.0,3.3,3,Berawan
01-06-2026,02:00,2026-06-01 02:00:00,23.6,97.0,0.0,3.7,3,Berawan
01-06-2026,03:00,2026-06-01 03:00:00,23.2,97.0,0.0,2.4,3,Berawan
01-06-2026,04:00,2026-06-01 04:00:00,22.6,98.0,0.0,1.9,3,Berawan
01-06-2026,05:00,2026-06-01 05:00:00,22.4,99.0,0.0,1.1,3,Berawan
01-06-2026,06:00,2026-06-01 06:00:00,22.2,99.0,0.0,2.0,3,Berawan
01-06-2026,07:00,2026-06-01 07:00:00,24.1,92.0,0.0,2.9,3,Berawan
01-06-2026,08:00,2026-06-01 08:00:00,27.0,76.0,0.0,2.7,3,Berawan
01-06-2026,09:00,2026-06-01 09:00:00,29.3,62.0,0.0,2.6,3,Berawan
01-06-2026,10:00,2026-06-01 10:00:00,31.1,55.0,0.0,1.5,3,Berawan
01-06-2026,11:00,2026-06-01 11:00:00,32.3,51.0,0.0,3.8,3,Berawan
01-06-2026,12:00,2026-06-01 12:00:00,33.3,47.0,0.0,7.2,3,Berawan
01-06-2026,13:00,2026-06-01 13:00:00,34.1,45.0,0.0,13.4,3,Berawan
01-06-2026,14:00,2026-06-01 14:00:00,33.5,48.0,0.1,11.7,51,Hujan Ringan
01-06-2026,15:00,2026-06-01 15:00:00,33.0,50.0,0.1,10.3,51,Hujan Ringan
01-06-2026,16:00,2026-06-01 16:00:00,32.5,52.0,0.0,7.8,3,Berawan
01-06-2026,17:00,2026-06-01 17:00:00,31.1,57.0,0.0,9.8,3,Berawan
01-06-2026,18:00,2026-06-01 18:00:00,29.5,67.0,0.0,9.2,3,Berawan
01-06-2026,19:00,2026-06-01 19:00:00,29.2,69.0,0.0,11.8,3,Berawan
01-06-2026,20:00,2026-06-01 20:00:00,28.7,69.0,0.0,9.3,3,Berawan
01-06-2026,21:00,2026-06-01 21:00:00,27.7,75.0,0.0,2.6,3,Berawan
01-06-2026,22:00,2026-06-01 22:00:00,26.8,82.0,0.0,7.9,3,Berawan
01-06-2026,23:00,2026-06-01 23:00:00,25.9,86.0,0.0,5.9,3,Berawan
02-06-2026,00:00,2026-06-02 00:00:00,25.2,89.0,0.0,2.8,3,Berawan
02-06-2026,01:00,2026-06-02 01:00:00,24.9,94.0,0.0,2.9,3,Berawan
02-06-2026,02:00,2026-06-02 02:00:00,24.4,96.0,0.0,3.8,3,Berawan
02-06-2026,03:00,2026-06-02 03:00:00,24.0,95.0,0.0,4.9,3,Berawan
02-06-2026,04:00,2026-06-02 04:00:00,23.6,94.0,0.0,2.4,3,Berawan
02-06-2026,05:00,2026-06-02 05:00:00,23.1,97.0,0.0,3.4,3,Berawan
02-06-2026,06:00,2026-06-02 06:00:00,23.1,98.0,0.0,4.0,3,Berawan
02-06-2026,07:00,2026-06-02 07:00:00,24.7,88.0,0.0,3.4,1,Cerah Berawan
02-06-2026,08:00,2026-06-02 08:00:00,27.5,71.0,0.0,3.4,3,Berawan
02-06-2026,09:00,2026-06-02 09:00:00,29.6,61.0,0.0,4.5,1,Cerah Berawan
02-06-2026,10:00,2026-06-02 10:00:00,31.2,53.0,0.0,3.8,0,Cerah
02-06-2026,11:00,2026-06-02 11:00:00,32.5,49.0,0.0,2.8,0,Cerah
02-06-2026,12:00,2026-06-02 12:00:00,33.3,46.0,0.0,2.4,0,Cerah
02-06-2026,13:00,2026-06-02 13:00:00,34.0,43.0,0.0,1.7,0,Cerah
02-06-2026,14:00,2026-06-02 14:00:00,34.4,42.0,0.0,1.2,3,Berawan
02-06-2026,15:00,2026-06-02 15:00:00,33.1,49.0,0.0,8.9,2,Cerah Berawan
02-06-2026,16:00,2026-06-02 16:00:00,32.3,52.0,0.0,12.1,1,Cerah Berawan
02-06-2026,17:00,2026-06-02 17:00:00,31.0,57.0,0.0,14.1,3,Berawan
02-06-2026,18:00,2026-06-02 18:00:00,30.0,63.0,0.0,12.5,1,Cerah Berawan
02-06-2026,19:00,2026-06-02 19:00:00,30.2,63.0,0.0,8.8,1,Cerah Berawan
02-06-2026,20:00,2026-06-02 20:00:00,28.8,71.0,0.0,2.0,2,Cerah Berawan
02-06-2026,21:00,2026-06-02 21:00:00,27.8,78.0,0.0,1.6,2,Cerah Berawan
02-06-2026,22:00,2026-06-02 22:00:00,27.1,82.0,0.0,3.4,2,Cerah Berawan
02-06-2026,23:00,2026-06-02 23:00:00,26.4,86.0,0.0,2.6,2,Cerah Berawan
03-06-2026,00:00,2026-06-03 00:00:00,25.6,90.0,0.0,4.6,2,Cerah Berawan
03-06-2026,01:00,2026-06-03 01:00:00,25.3,90.0,0.0,3.3,1,Cerah Berawan
03-06-2026,02:00,2026-06-03 02:00:00,24.5,94.0,0.0,5.8,0,Cerah
03-06-2026,03:00,2026-06-03 03:00:00,24.1,94.0,0.0,3.8,0,Cerah
03-06-2026,04:00,2026-06-03 04:00:00,23.7,96.0,0.0,1.5,0,Cerah
03-06-2026,05:00,2026-06-03 05:00:00,23.4,97.0,0.0,2.7,0,Cerah
03-06-2026,06:00,2026-06-03 06:00:00,23.2,97.0,0.0,3.9,0,Cerah
03-06-2026,07:00,2026-06-03 07:00:00,25.4,84.0,0.0,5.1,1,Cerah Berawan
03-06-2026,08:00,2026-06-03 08:00:00,28.0,68.0,0.0,5.6,2,Cerah Berawan
03-06-2026,09:00,2026-06-03 09:00:00,30.2,55.0,0.0,4.5,3,Berawan
03-06-2026,10:00,2026-06-03 10:00:00,31.6,51.0,0.0,1.8,3,Berawan
03-06-2026,11:00,2026-06-03 11:00:00,32.6,49.0,0.0,0.9,3,Berawan
03-06-2026,12:00,2026-06-03 12:00:00,33.7,45.0,0.0,1.3,2,Cerah Berawan
03-06-2026,13:00,2026-06-03 13:00:00,34.9,41.0,0.0,6.3,2,Cerah Berawan
03-06-2026,14:00,2026-06-03 14:00:00,35.3,40.0,0.0,8.2,3,Berawan
03-06-2026,15:00,2026-06-03 15:00:00,33.8,46.0,0.0,11.4,3,Berawan
03-06-2026,16:00,2026-06-03 16:00:00,33.0,48.0,0.0,10.6,3,Berawan
03-06-2026,17:00,2026-06-03 17:00:00,31.5,54.0,0.0,9.8,3,Berawan
03-06-2026,18:00,2026-06-03 18:00:00,30.0,60.0,0.0,9.2,1,Cerah Berawan
03-06-2026,19:00,2026-06-03 19:00:00,30.1,64.0,0.0,8.3,3,Berawan
03-06-2026,20:00,2026-06-03 20:00:00,29.8,66.0,0.0,8.5,3,Berawan
03-06-2026,21:00,2026-06-03 21:00:00,29.4,67.0,0.0,9.9,3,Berawan
03-06-2026,22:00,2026-06-03 22:00:00,28.6,70.0,0.0,6.5,3,Berawan
03-06-2026,23:00,2026-06-03 23:00:00,28.0,75.0,0.0,1.8,3,Berawan
04-06-2026,00:00,2026-06-04 00:00:00,27.0,80.0,0.0,6.1,3,Berawan
04-06-2026,01:00,2026-06-04 01:00:00,26.6,82.0,0.0,5.5,3,Berawan
04-06-2026,02:00,2026-06-04 02:00:00,26.2,84.0,0.0,5.8,2,Cerah Berawan
04-06-2026,03:00,2026-06-04 03:00:00,25.9,86.0,0.0,2.9,0,Cerah
04-06-2026,04:00,2026-06-04 04:00:00,25.8,87.0,0.0,1.5,0,Cerah
04-06-2026,05:00,2026-06-04 05:00:00,25.6,87.0,0.0,2.3,0,Cerah
04-06-2026,06:00,2026-06-04 06:00:00,25.6,85.0,0.0,1.4,0,Cerah
04-06-2026,07:00,2026-06-04 07:00:00,26.9,77.0,0.0,2.6,1,Cerah Berawan
04-06-2026,08:00,2026-06-04 08:00:00,29.1,66.0,0.0,1.6,0,Cerah
04-06-2026,09:00,2026-06-04 09:00:00,30.9,58.0,0.0,1.1,1,Cerah Berawan
04-06-2026,10:00,2026-06-04 10:00:00,32.2,54.0,0.0,1.1,1,Cerah Berawan
04-06-2026,11:00,2026-06-04 11:00:00,33.5,50.0,0.0,4.4,3,Berawan
04-06-2026,12:00,2026-06-04 12:00:00,34.4,47.0,0.0,8.3,3,Berawan
04-06-2026,13:00,2026-06-04 13:00:00,34.0,48.0,0.0,14.5,3,Berawan
04-06-2026,14:00,2026-06-04 14:00:00,33.5,48.0,0.0,14.3,3,Berawan
04-06-2026,15:00,2026-06-04 15:00:00,33.0,49.0,0.0,14.1,3,Berawan
04-06-2026,16:00,2026-06-04 16:00:00,32.0,55.0,0.0,13.7,3,Berawan
04-06-2026,17:00,2026-06-04 17:00:00,31.0,62.0,0.0,12.8,3,Berawan
04-06-2026,18:00,2026-06-04 18:00:00,30.2,66.0,0.0,10.8,3,Berawan
04-06-2026,19:00,2026-06-04 19:00:00,30.9,60.0,0.0,10.4,1,Cerah Berawan
04-06-2026,20:00,2026-06-04 20:00:00,29.8,67.0,0.0,3.3,3,Berawan
04-06-2026,21:00,2026-06-04 21:00:00,28.8,72.0,0.0,4.4,3,Berawan
04-06-2026,22:00,2026-06-04 22:00:00,27.9,79.0,0.0,6.9,3,Berawan
04-06-2026,23:00,2026-06-04 23:00:00,27.3,82.0,0.0,3.1,3,Berawan
05-06-2026,00:00,2026-06-05 00:00:00,26.9,85.0,0.0,3.3,3,Berawan
05-06-2026,01:00,2026-06-05 01:00:00,26.9,86.0,0.0,3.5,3,Berawan
05-06-2026,02:00,2026-06-05 02:00:00,26.5,88.0,0.0,3.2,3,Berawan
05-06-2026,03:00,2026-06-05 03:00:00,26.2,89.0,0.0,3.1,3,Berawan
05-06-2026,04:00,2026-06-05 04:00:00,26.0,89.0,0.0,3.4,3,Berawan
05-06-2026,05:00,2026-06-05 05:00:00,25.8,90.0,0.0,2.3,3,Berawan
05-06-2026,06:00,2026-06-05 06:00:00,25.1,93.0,0.0,2.7,2,Cerah Berawan
05-06-2026,07:00,2026-06-05 07:00:00,26.9,86.0,0.0,1.7,0,Cerah
