tanggal,jam,observed_datetime,temp_c,rh_pct,rain_mm,wind_kmh,weather_code,category
12-06-2026,00:00,2026-06-12 00:00:00,25.6,85.0,0.0,8.0,0,Cerah
12-06-2026,01:00,2026-06-12 01:00:00,25.6,86.0,0.0,3.8,1,Cerah Berawan
12-06-2026,02:00,2026-06-12 02:00:00,25.1,86.0,0.0,5.6,0,Cerah
12-06-2026,03:00,2026-06-12 03:00:00,24.6,87.0,0.0,3.7,0,Cerah
12-06-2026,04:00,2026-06-12 04:00:00,24.5,85.0,0.0,3.8,0,Cerah
12-06-2026,05:00,2026-06-12 05:00:00,24.0,87.0,0.0,3.3,2,Cerah Berawan
12-06-2026,06:00,2026-06-12 06:00:00,24.0,85.0,0.0,5.4,0,Cerah
12-06-2026,07:00,2026-06-12 07:00:00,25.2,81.0,0.0,3.8,2,Cerah Berawan
12-06-2026,08:00,2026-06-12 08:00:00,26.6,75.0,0.0,5.0,3,Berawan
12-06-2026,09:00,2026-06-12 09:00:00,26.5,78.0,0.0,6.3,3,Berawan
12-06-2026,10:00,2026-06-12 10:00:00,28.5,67.0,0.0,5.4,2,Cerah Berawan
12-06-2026,11:00,2026-06-12 11:00:00,31.0,57.0,0.0,2.2,1,Cerah Berawan
12-06-2026,12:00,2026-06-12 12:00:00,32.8,50.0,0.0,5.4,1,Cerah Berawan
12-06-2026,13:00,2026-06-12 13:00:00,33.9,43.0,0.3,14.1,51,Hujan Ringan
12-06-2026,14:00,2026-06-12 14:00:00,32.7,50.0,0.0,15.6,0,Cerah
12-06-2026,15:00,2026-06-12 15:00:00,32.3,48.0,0.0,12.9,0,Cerah
12-06-2026,16:00,2026-06-12 16:00:00,31.6,49.0,0.0,13.5,3,Berawan
12-06-2026,17:00,2026-06-12 17:00:00,30.3,55.0,0.0,13.0,3,Berawan
12-06-2026,18:00,2026-06-12 18:00:00,29.1,63.0,0.0,8.8,3,Berawan
12-06-2026,19:00,2026-06-12 19:00:00,30.0,59.0,0.0,12.6,3,Berawan
12-06-2026,20:00,2026-06-12 20:00:00,28.5,67.0,0.0,14.9,2,Cerah Berawan
12-06-2026,21:00,2026-06-12 21:00:00,27.7,73.0,0.0,13.7,3,Berawan
12-06-2026,22:00,2026-06-12 22:00:00,27.1,78.0,0.0,11.3,3,Berawan
12-06-2026,23:00,2026-06-12 23:00:00,26.8,80.0,0.0,11.0,3,Berawan
