target_date,source_id,jam,temp_error,rh_error,rain_error,category_score,overall_score
2026-06-12,BMKG,13:00,4.9,22.0,,0.0,43.35
2026-06-12,BMKG,14:00,3.7,15.0,,100.0,81.42
2026-06-12,BMKG,15:00,3.3,17.0,,100.0,82.07
2026-06-12,BMKG,16:00,2.6,16.0,,60.0,72.4
2026-06-12,BMKG,17:00,1.3,10.0,,60.0,79.2
2026-06-12,BMKG,18:00,2.1,16.0,,100.0,86.65
2026-06-12,BMKG,19:00,3.0,20.0,,100.0,82.0
2026-06-12,BMKG,20:00,1.5,12.0,,60.0,77.75
2026-06-12,BMKG,21:00,1.7,13.0,,60.0,76.67
2026-06-12,BMKG,22:00,1.1,8.0,,60.0,80.65
2026-06-12,BMKG,23:00,0.8,6.0,,60.0,82.45
2026-06-12,CMA,00:00,0.0,1.0,0.0,100.0,99.7
2026-06-12,CMA,01:00,0.0,0.0,0.0,60.0,90.0
2026-06-12,CMA,02:00,0.3,0.0,0.0,100.0,99.16
2026-06-12,CMA,03:00,0.7,1.0,0.0,100.0,97.74
2026-06-12,CMA,04:00,0.8,0.0,0.0,100.0,97.76
2026-06-12,CMA,05:00,1.6,3.0,0.0,60.0,84.62
2026-06-12,CMA,06:00,2.1,4.0,0.0,100.0,92.92
2026-06-12,CMA,07:00,1.6,3.0,0.0,60.0,84.62
2026-06-12,CMA,08:00,1.2,3.0,0.0,60.0,85.74
2026-06-12,CMA,09:00,2.6,13.0,0.0,60.0,78.82
2026-06-12,CMA,10:00,1.8,8.0,0.0,60.0,82.56
2026-06-12,CMA,11:00,0.5,5.0,0.0,60.0,87.1
2026-06-12,CMA,12:00,0.2,4.0,0.0,60.0,88.24
2026-06-12,CMA,13:00,0.9,1.0,0.3,0.0,70.98
2026-06-12,CMA,14:00,0.5,2.0,0.0,60.0,88.0
2026-06-12,CMA,15:00,1.5,8.0,0.0,60.0,83.4
2026-06-12,CMA,16:00,2.1,14.0,0.0,100.0,89.92
2026-06-12,CMA,17:00,1.7,14.0,0.0,60.0,81.04
2026-06-12,CMA,18:00,1.2,12.0,0.0,60.0,83.04
2026-06-12,CMA,19:00,2.7,20.0,0.0,60.0,76.44
2026-06-12,CMA,20:00,1.5,15.0,0.0,60.0,81.3
2026-06-12,CMA,21:00,1.0,11.0,0.0,60.0,83.9
2026-06-12,CMA,22:00,0.5,7.0,0.0,60.0,86.5
2026-06-12,CMA,23:00,0.4,6.0,0.0,60.0,87.08
2026-06-12,ECMWF,00:00,0.3,2.0,0.0,60.0,88.56
2026-06-12,ECMWF,01:00,0.1,2.0,0.0,100.0,99.12
2026-06-12,ECMWF,02:00,0.3,2.0,0.0,60.0,88.56
2026-06-12,ECMWF,03:00,0.5,3.0,0.0,100.0,97.7
2026-06-12,ECMWF,04:00,0.6,2.0,0.0,100.0,97.72
2026-06-12,ECMWF,05:00,1.5,6.0,0.0,60.0,84.0
2026-06-12,ECMWF,06:00,2.1,7.0,0.0,100.0,92.02
2026-06-12,ECMWF,07:00,1.7,7.0,0.0,60.0,83.14
2026-06-12,ECMWF,08:00,1.7,9.0,0.0,60.0,82.54
2026-06-12,ECMWF,09:00,3.4,22.0,0.0,60.0,73.88
2026-06-12,ECMWF,10:00,2.7,17.0,0.0,100.0,87.34
2026-06-12,ECMWF,11:00,0.8,8.0,0.0,100.0,95.36
2026-06-12,ECMWF,12:00,0.8,1.0,0.0,60.0,87.46
2026-06-12,ECMWF,13:00,1.9,11.0,0.3,0.0,65.18
2026-06-12,ECMWF,14:00,0.9,5.0,0.0,60.0,85.98
2026-06-12,ECMWF,15:00,1.0,9.0,0.0,60.0,84.5
2026-06-12,ECMWF,16:00,1.0,11.0,0.0,60.0,83.9
2026-06-12,ECMWF,17:00,0.7,10.0,0.1,0.0,69.64
2026-06-12,ECMWF,18:00,0.6,8.0,0.1,0.0,70.52
2026-06-12,ECMWF,19:00,2.4,17.0,0.1,0.0,62.78
2026-06-12,ECMWF,20:00,1.5,13.0,0.0,100.0,91.9
