target_date,jam,target_datetime,lead_hours,lead_bucket,mission,location_personality,microclimate_profile,atmospheric_mode,predictability,dominant_category,dominant_category_probability,category_disagreement,sources_used,source_ids,coverage_fraction,temp_p05,temp_p10,temp_p25,temp_p50,temp_p75,temp_p90,temp_p95,temp_micro_p50,temp_micro_adjustment,rh_p10,rh_p50,rh_p90,rh_micro_p50,rh_micro_adjustment,rain_p05,rain_p10,rain_p25,rain_p50,rain_p75,rain_p90,rain_p95,prob_rain,prob_moderate_heavy_rain,prob_heavy_rain,wind_p50,wind_p90,gust_p90,heat_index_p50,heat_index_p90,cloud_p50,cape_p50,visibility_p10,analog_probability,analog_cases,direct_hit_risk,nearby_rain_risk,rain_displacement_risk,spatial_uncertainty,rain_threat_score,rain_threat_level,heavy_rain_threat_score,heavy_rain_threat_level,wind_threat_score,wind_threat_level,heat_discomfort_threat_score,heat_discomfort_threat_level,low_visibility_threat_score,low_visibility_threat_level,thunderstorm_proxy_threat_score,thunderstorm_proxy_threat_level,uncertainty_score,forecast_stress_index,forecast_failure_risk,self_doubt_score,main_failure_mode,scenario_dry_miss,scenario_nearby_rain_only,scenario_direct_light_rain,scenario_direct_moderate_rain,scenario_convective_burst,walking_score,motorbike_score,outdoor_event_score,fieldwork_score,laundry_score,sport_score,trust_level,operational_status,autopilot_route,confidence_score_base,source_health_mean,gap_mean_minutes,decision_recommendation,expert_council,counterfactual_summary,forecast_contract_summary,explanation,dew_point_c,apparent_temperature_c,pressure_msl_hpa,surface_pressure_hpa,wind_direction_deg,grid_sampling_status,grid_points_used,grid_rain_point_fraction,grid_max_rain_mm,grid_center_rain_mm,grid_direct_hit_risk,grid_nearby_rain_risk,grid_spatial_uncertainty,sentinel_public_version,official_warning_disclaimer,calibration_status,verification_cases,risk_score_basis,public_safety_note
2026-06-14,00:00,2026-06-14T00:00:00+07:00,32.55,lead_24_48h,safety_first,lowland_heat_humidity,lowland_agriculture,MIXED_LOCAL_ATMOSPHERE,HIGH,Berawan,100.0,0.0,2,BMKG+METNO,0.222,25.0,25.0,25.0,25.0,25.9,25.9,25.9,25.0,0.0,84.0,84.0,86.6,84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,8.28,,25.0,25.9,75.0,,,,0,8.1,8.7,6.8,8.4,16.0,LOW,0.9,LOW,18.4,LOW,0.0,LOW,0.0,LOW,24.3,LOW,8.5,15.3,18.0,11.6,low_failure_risk_non_rain,88.5,4.5,4.5,1.5,1.0,8,7,7,8,4,8,DO_NOT_TRUST,BLACK,sentinel_probabilistic_risk_route,52.7,0.982,30.0,Risiko relatif terkendali; keputusan normal masih masuk akal dengan pemantauan berkala.,"Local Signal Analyst: sinyal hujan belum dominan, tetapi tetap membaca tail-risk dari P90/P95. | Uncertainty Auditor: agreement relatif masih dapat diterima untuk keputusan umum. | Decision Judge: mission=safety_first → Risiko relatif terkendali; keputusan normal masih masuk akal dengan pemantauan berkala.","Jika RH turun ±10%, rain support kemungkinan turun signifikan.",Jangan percaya output untuk keputusan penting; data/source coverage tidak layak.,"Sentinel memilih interpretasi ini karena mode atmosfer MIXED_LOCAL_ATMOSPHERE; 2 source aktif. Grid sampling: nearby rain fraction 0.0, max rain 0 mm.",,25.0,,,,ok,8,0.0,0,0,0.0,0.0,0.0,sentinel-x-public-operational-v2,"Bukan peringatan resmi. Untuk cuaca ekstrem, ikuti informasi BMKG dan kondisi setempat.",INSUFFICIENT_DATA_HEURISTIC_MODE,0,transparent_heuristic_until_more_observations,Decision support only; not an official warning.
2026-06-14,01:00,2026-06-14T01:00:00+07:00,33.55,lead_24_48h,safety_first,lowland_heat_humidity,lowland_agriculture,MIXED_LOCAL_ATMOSPHERE,HIGH,Berawan,100.0,0.0,2,BMKG+METNO,0.222,25.0,25.0,25.0,25.0,25.5,25.5,25.5,25.0,0.0,84.0,84.0,89.1,84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,6.84,,25.0,25.5,75.0,,,,0,8.1,8.7,6.8,8.5,16.0,LOW,0.6,LOW,15.2,LOW,0.0,LOW,0.0,LOW,24.3,LOW,5.6,14.6,17.0,10.2,low_failure_risk_non_rain,88.8,4.5,4.5,1.5,0.7,8,7,7,8,4,8,DO_NOT_TRUST,BLACK,sentinel_probabilistic_risk_route,53.6,0.982,0.0,Risiko relatif terkendali; keputusan normal masih masuk akal dengan pemantauan berkala.,"Local Signal Analyst: sinyal hujan belum dominan, tetapi tetap membaca tail-risk dari P90/P95. | Uncertainty Auditor: agreement relatif masih dapat diterima untuk keputusan umum. | Decision Judge: mission=safety_first → Risiko relatif terkendali; keputusan normal masih masuk akal dengan pemantauan berkala.","Jika RH turun ±10%, rain support kemungkinan turun signifikan.",Jangan percaya output untuk keputusan penting; data/source coverage tidak layak.,"Sentinel memilih interpretasi ini karena mode atmosfer MIXED_LOCAL_ATMOSPHERE; 2 source aktif. Grid sampling: nearby rain fraction 0.0, max rain 0 mm.",,25.0,,,,ok,8,0.0,0,0,0.0,0.0,0.0,sentinel-x-public-operational-v2,"Bukan peringatan resmi. Untuk cuaca ekstrem, ikuti informasi BMKG dan kondisi setempat.",INSUFFICIENT_DATA_HEURISTIC_MODE,0,transparent_heuristic_until_more_observations,Decision support only; not an official warning.
2026-06-14,02:00,2026-06-14T02:00:00+07:00,34.55,lead_24_48h,safety_first,lowland_heat_humidity,lowland_agriculture,MIXED_LOCAL_ATMOSPHERE,HIGH,Berawan,100.0,0.0,2,BMKG+METNO,0.222,25.0,25.0,25.0,25.0,25.2,25.2,25.2,25.0,0.0,84.0,84.0,89.7,84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,7.2,,25.0,25.2,75.0,,,,0,8.1,8.7,6.9,8.6,16.0,LOW,0.9,LOW,16.0,LOW,0.0,LOW,0.0,LOW,24.3,LOW,8.7,15.7,18.2,11.7,low_failure_risk_non_rain,88.5,4.5,4.5,1.5,1.0,8,7,7,8,4,8,DO_NOT_TRUST,BLACK,sentinel_probabilistic_risk_route,52.8,0.982,30.0,Risiko relatif terkendali; keputusan normal masih masuk akal dengan pemantauan berkala.,"Local Signal Analyst: sinyal hujan belum dominan, tetapi tetap membaca tail-risk dari P90/P95. | Uncertainty Auditor: agreement relatif masih dapat diterima untuk keputusan umum. | Decision Judge: mission=safety_first → Risiko relatif terkendali; keputusan normal masih masuk akal dengan pemantauan berkala.","Jika RH turun ±10%, rain support kemungkinan turun signifikan.",Jangan percaya output untuk keputusan penting; data/source coverage tidak layak.,"Sentinel memilih interpretasi ini karena mode atmosfer MIXED_LOCAL_ATMOSPHERE; 2 source aktif. Grid sampling: nearby rain fraction 0.0, max rain 0 mm.",,25.0,,,,ok,8,0.0,0,0,0.0,0.0,0.0,sentinel-x-public-operational-v2,"Bukan peringatan resmi. Untuk cuaca ekstrem, ikuti informasi BMKG dan kondisi setempat.",INSUFFICIENT_DATA_HEURISTIC_MODE,0,transparent_heuristic_until_more_observations,Decision support only; not an official warning.
2026-06-14,03:00,2026-06-14T03:00:00+07:00,35.55,lead_24_48h,safety_first,lowland_heat_humidity,lowland_agriculture,RAIN_TRANSITION,HIGH,Hujan Ringan,50.3,49.7,2,BMKG+METNO,0.222,24.0,24.0,24.0,24.0,25.1,25.1,25.1,24.0,0.0,89.0,89.0,90.1,89.0,0.0,0.0,0.0,0.0,1.5,1.5,1.5,1.5,50.3,0.0,0.0,4.7,4.7,,24.0,25.1,88.0,,,,0,20.1,25.9,19.9,43.6,48.3,MEDIUM,5.9,LOW,10.4,LOW,0.0,LOW,0.0,LOW,26.6,LOW,27.8,34.9,40.0,38.3,general_uncertainty,44.5,17.8,25.1,10.1,2.5,5,4,2,4,0,5,DO_NOT_TRUST,BLACK,sentinel_probabilistic_risk_route,39.7,0.982,30.0,"Bawa payung/jas hujan dan gunakan interpretasi konservatif, terutama jika keluar setelah siang.","Local Signal Analyst: sinyal hujan belum dominan, tetapi tetap membaca tail-risk dari P90/P95. | Uncertainty Auditor: agreement relatif masih dapat diterima untuk keputusan umum. | Decision Judge: mission=safety_first → Bawa payung/jas hujan dan gunakan interpretasi konservatif, terutama jika keluar setelah siang.","Jika RH turun ±10%, rain support kemungkinan turun signifikan.",Jangan percaya output untuk keputusan penting; data/source coverage tidak layak.,"Sentinel memilih interpretasi ini karena mode atmosfer RAIN_TRANSITION; 2 source aktif. Grid sampling: nearby rain fraction 0.0, max rain 0 mm.",,24.0,,,,ok,8,0.0,0,0,0.0,0.0,0.0,sentinel-x-public-operational-v2,"Bukan peringatan resmi. Untuk cuaca ekstrem, ikuti informasi BMKG dan kondisi setempat.",INSUFFICIENT_DATA_HEURISTIC_MODE,0,transparent_heuristic_until_more_observations,Decision support only; not an official warning.
2026-06-14,04:00,2026-06-14T04:00:00+07:00,36.55,lead_24_48h,safety_first,lowland_heat_humidity,lowland_agriculture,RAIN_TRANSITION,HIGH,Hujan Ringan,57.4,42.5,2,BMKG+METNO,0.222,24.0,24.0,24.0,24.0,25.0,25.0,25.0,24.0,0.0,89.0,89.0,92.3,91.0,2.0,0.0,0.0,0.0,1.5,1.5,1.5,1.5,57.4,0.0,0.0,4.7,9.36,,24.0,25.0,88.0,,,,0,21.7,26.8,19.4,40.2,51.5,MEDIUM,5.4,LOW,20.8,LOW,0.0,LOW,0.0,LOW,26.6,LOW,22.7,32.5,38.3,34.5,general_uncertainty,39.4,18.2,28.9,11.5,2.0,5,3,2,3,0,4,DO_NOT_TRUST,BLACK,sentinel_probabilistic_risk_route,42.4,0.982,0.0,"Bawa payung/jas hujan dan gunakan interpretasi konservatif, terutama jika keluar setelah siang.","Local Signal Analyst: sinyal hujan cukup kuat untuk mengaktifkan rain-risk window. | Uncertainty Auditor: agreement relatif masih dapat diterima untuk keputusan umum. | Decision Judge: mission=safety_first → Bawa payung/jas hujan dan gunakan interpretasi konservatif, terutama jika keluar setelah siang.","Jika RH turun ±10%, rain support kemungkinan turun signifikan.",Jangan percaya output untuk keputusan penting; data/source coverage tidak layak.,"Sentinel memilih interpretasi ini karena mode atmosfer RAIN_TRANSITION; 2 source aktif; probabilitas hujan 57.4%. Grid sampling: nearby rain fraction 0.0, max rain 0 mm.",,24.0,,,,ok,8,0.0,0,0,0.0,0.0,0.0,sentinel-x-public-operational-v2,"Bukan peringatan resmi. Untuk cuaca ekstrem, ikuti informasi BMKG dan kondisi setempat.",INSUFFICIENT_DATA_HEURISTIC_MODE,0,transparent_heuristic_until_more_observations,Decision support only; not an official warning.
2026-06-14,05:00,2026-06-14T05:00:00+07:00,37.55,lead_24_48h,safety_first,lowland_heat_humidity,lowland_agriculture,RAIN_TRANSITION,HIGH,Hujan Ringan,50.3,49.7,2,BMKG+METNO,0.222,24.0,24.0,24.0,24.0,25.0,25.0,25.0,24.0,0.0,89.0,89.0,93.3,91.0,2.0,0.0,0.0,0.0,1.5,1.5,1.5,1.5,50.3,0.0,0.0,4.7,9.0,,24.0,25.0,88.0,,,,0,20.1,25.9,20.1,43.7,48.3,MEDIUM,6.0,LOW,20.0,LOW,0.0,LOW,0.0,LOW,26.6,LOW,28.1,35.4,40.2,38.5,general_uncertainty,44.5,17.9,25.1,10.0,2.5,5,4,2,4,0,5,DO_NOT_TRUST,BLACK,sentinel_probabilistic_risk_route,39.6,0.982,30.0,"Bawa payung/jas hujan dan gunakan interpretasi konservatif, terutama jika keluar setelah siang.","Local Signal Analyst: sinyal hujan belum dominan, tetapi tetap membaca tail-risk dari P90/P95. | Uncertainty Auditor: agreement relatif masih dapat diterima untuk keputusan umum. | Decision Judge: mission=safety_first → Bawa payung/jas hujan dan gunakan interpretasi konservatif, terutama jika keluar setelah siang.","Jika RH turun ±10%, rain support kemungkinan turun signifikan.",Jangan percaya output untuk keputusan penting; data/source coverage tidak layak.,"Sentinel memilih interpretasi ini karena mode atmosfer RAIN_TRANSITION; 2 source aktif. Grid sampling: nearby rain fraction 0.0, max rain 0 mm.",,24.0,,,,ok,8,0.0,0,0,0.0,0.0,0.0,sentinel-x-public-operational-v2,"Bukan peringatan resmi. Untuk cuaca ekstrem, ikuti informasi BMKG dan kondisi setempat.",INSUFFICIENT_DATA_HEURISTIC_MODE,0,transparent_heuristic_until_more_observations,Decision support only; not an official warning.
2026-06-14,06:00,2026-06-14T06:00:00+07:00,38.55,lead_24_48h,safety_first,lowland_heat_humidity,lowland_agriculture,HUMID_STABLE_MORNING,HIGH,Berawan,100.0,0.0,2,BMKG+METNO,0.222,24.0,24.0,24.0,24.0,25.0,25.0,25.0,24.0,0.0,92.9,95.0,95.0,97.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.4,7.2,,24.0,25.0,75.0,,,,0,9.0,9.5,7.2,8.9,18.0,LOW,0.9,LOW,16.0,LOW,0.0,LOW,0.0,LOW,26.5,LOW,9.3,16.7,18.8,12.2,low_failure_risk_non_rain,88.5,4.5,4.4,1.5,1.1,8,7,7,7,3,7,DO_NOT_TRUST,BLACK,sentinel_probabilistic_risk_route,52.7,0.982,30.0,Risiko relatif terkendali; keputusan normal masih masuk akal dengan pemantauan berkala.,"Local Signal Analyst: sinyal hujan belum dominan, tetapi tetap membaca tail-risk dari P90/P95. | Uncertainty Auditor: agreement relatif masih dapat diterima untuk keputusan umum. | Decision Judge: mission=safety_first → Risiko relatif terkendali; keputusan normal masih masuk akal dengan pemantauan berkala.","Jika RH turun ±10%, rain support kemungkinan turun signifikan.",Jangan percaya output untuk keputusan penting; data/source coverage tidak layak.,"Sentinel memilih interpretasi ini karena mode atmosfer HUMID_STABLE_MORNING; 2 source aktif. Grid sampling: nearby rain fraction 0.0, max rain 0 mm.",,24.0,,,,ok,8,0.0,0,0,0.0,0.0,0.0,sentinel-x-public-operational-v2,"Bukan peringatan resmi. Untuk cuaca ekstrem, ikuti informasi BMKG dan kondisi setempat.",INSUFFICIENT_DATA_HEURISTIC_MODE,0,transparent_heuristic_until_more_observations,Decision support only; not an official warning.
2026-06-14,07:00,2026-06-14T07:00:00+07:00,39.55,lead_24_48h,safety_first,lowland_heat_humidity,lowland_agriculture,HUMID_STABLE_MORNING,HIGH,Berawan,57.4,42.5,2,BMKG+METNO,0.222,24.0,24.0,24.0,24.0,25.6,25.6,25.6,24.0,0.0,90.9,95.0,95.0,97.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.4,10.44,,24.0,25.6,75.0,,,,0,9.3,13.4,14.0,33.5,20.4,LOW,2.0,LOW,23.2,LOW,4.4,LOW,0.0,LOW,26.5,LOW,20.3,27.8,28.2,28.7,low_failure_risk_non_rain,87.3,5.0,4.1,1.4,2.2,7,6,6,7,3,7,DO_NOT_TRUST,BLACK,sentinel_probabilistic_risk_route,42.7,0.982,0.0,"Window relatif baik untuk aktivitas luar ruang, tetapi tetap cek update menjelang siang.","Local Signal Analyst: sinyal hujan belum dominan, tetapi tetap membaca tail-risk dari P90/P95. | Uncertainty Auditor: agreement relatif masih dapat diterima untuk keputusan umum. | Decision Judge: mission=safety_first → Window relatif baik untuk aktivitas luar ruang, tetapi tetap cek update menjelang siang.","Jika RH turun ±10%, rain support kemungkinan turun signifikan.",Jangan percaya output untuk keputusan penting; data/source coverage tidak layak.,"Sentinel memilih interpretasi ini karena mode atmosfer HUMID_STABLE_MORNING; 2 source aktif. Grid sampling: nearby rain fraction 0.0, max rain 0 mm.",,24.0,,,,ok,8,0.0,0,0,0.0,0.0,0.0,sentinel-x-public-operational-v2,"Bukan peringatan resmi. Untuk cuaca ekstrem, ikuti informasi BMKG dan kondisi setempat.",INSUFFICIENT_DATA_HEURISTIC_MODE,0,transparent_heuristic_until_more_observations,Decision support only; not an official warning.
2026-06-14,08:00,2026-06-14T08:00:00+07:00,40.55,lead_24_48h,safety_first,lowland_heat_humidity,lowland_agriculture,HUMID_STABLE_MORNING,HIGH,Berawan,100.0,0.0,2,BMKG+METNO,0.222,24.0,24.0,24.0,24.0,27.4,27.4,27.4,24.0,0.0,81.3,95.0,95.0,95.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.4,11.88,,24.0,30.8,75.0,,,,0,9.0,9.6,7.2,9.0,18.0,LOW,1.0,LOW,26.4,LOW,62.2,HIGH,0.0,LOW,26.5,LOW,9.6,17.2,19.1,12.4,low_failure_risk_non_rain,88.5,4.5,4.4,1.5,1.1,5,6,7,5,3,4,DO_NOT_TRUST,BLACK,sentinel_probabilistic_risk_route,51.7,0.982,30.0,"Window relatif baik untuk aktivitas luar ruang, tetapi tetap cek update menjelang siang.","Local Signal Analyst: sinyal hujan belum dominan, tetapi tetap membaca tail-risk dari P90/P95. | Uncertainty Auditor: agreement relatif masih dapat diterima untuk keputusan umum. | Decision Judge: mission=safety_first → Window relatif baik untuk aktivitas luar ruang, tetapi tetap cek update menjelang siang.","Jika RH turun ±10%, rain support kemungkinan turun signifikan.",Jangan percaya output untuk keputusan penting; data/source coverage tidak layak.,"Sentinel memilih interpretasi ini karena mode atmosfer HUMID_STABLE_MORNING; 2 source aktif. Grid sampling: nearby rain fraction 0.0, max rain 0 mm.",,24.0,,,,ok,8,0.0,0,0,0.0,0.0,0.0,sentinel-x-public-operational-v2,"Bukan peringatan resmi. Untuk cuaca ekstrem, ikuti informasi BMKG dan kondisi setempat.",INSUFFICIENT_DATA_HEURISTIC_MODE,0,transparent_heuristic_until_more_observations,Decision support only; not an official warning.
2026-06-14,09:00,2026-06-14T09:00:00+07:00,41.55,lead_24_48h,safety_first,lowland_heat_humidity,lowland_agriculture,MIXED_LOCAL_ATMOSPHERE,HIGH,Berawan,100.0,0.0,2,BMKG+METNO,0.222,27.0,27.0,27.0,27.0,28.6,28.6,28.6,27.0,0.0,75.2,82.0,82.0,82.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7,10.08,,29.93,32.76,75.0,,,,0,7.9,8.8,7.3,9.1,15.7,LOW,1.0,LOW,22.4,LOW,71.0,HIGH,0.0,LOW,23.9,LOW,9.8,17.4,19.2,12.5,low_failure_risk_non_rain,88.5,4.5,4.3,1.5,1.2,5,6,7,5,4,4,DO_NOT_TRUST,BLACK,sentinel_probabilistic_risk_route,52.4,0.982,30.0,"Window relatif baik untuk aktivitas luar ruang, tetapi tetap cek update menjelang siang.","Local Signal Analyst: sinyal hujan belum dominan, tetapi tetap membaca tail-risk dari P90/P95. | Uncertainty Auditor: agreement relatif masih dapat diterima untuk keputusan umum. | Decision Judge: mission=safety_first → Window relatif baik untuk aktivitas luar ruang, tetapi tetap cek update menjelang siang.","Jika RH turun ±10%, rain support kemungkinan turun signifikan.",Jangan percaya output untuk keputusan penting; data/source coverage tidak layak.,"Sentinel memilih interpretasi ini karena mode atmosfer MIXED_LOCAL_ATMOSPHERE; 2 source aktif. Grid sampling: nearby rain fraction 0.0, max rain 0 mm.",,29.93,,,,ok,8,0.0,0,0,0.0,0.0,0.0,sentinel-x-public-operational-v2,"Bukan peringatan resmi. Untuk cuaca ekstrem, ikuti informasi BMKG dan kondisi setempat.",INSUFFICIENT_DATA_HEURISTIC_MODE,0,transparent_heuristic_until_more_observations,Decision support only; not an official warning.
