target_date,jam,target_datetime,lead_hours,lead_bucket,mission,location_personality,microclimate_profile,atmospheric_mode,predictability,dominant_category,dominant_category_probability,category_disagreement,sources_used,source_ids,coverage_fraction,temp_p05,temp_p10,temp_p25,temp_p50,temp_p75,temp_p90,temp_p95,temp_micro_p50,temp_micro_adjustment,rh_p10,rh_p50,rh_p90,rh_micro_p50,rh_micro_adjustment,rain_p05,rain_p10,rain_p25,rain_p50,rain_p75,rain_p90,rain_p95,prob_rain,prob_moderate_heavy_rain,prob_heavy_rain,wind_p50,wind_p90,gust_p90,heat_index_p50,heat_index_p90,cloud_p50,cape_p50,visibility_p10,analog_probability,analog_cases,direct_hit_risk,nearby_rain_risk,rain_displacement_risk,spatial_uncertainty,rain_threat_score,rain_threat_level,heavy_rain_threat_score,heavy_rain_threat_level,wind_threat_score,wind_threat_level,heat_discomfort_threat_score,heat_discomfort_threat_level,low_visibility_threat_score,low_visibility_threat_level,thunderstorm_proxy_threat_score,thunderstorm_proxy_threat_level,uncertainty_score,forecast_stress_index,forecast_failure_risk,self_doubt_score,main_failure_mode,scenario_dry_miss,scenario_nearby_rain_only,scenario_direct_light_rain,scenario_direct_moderate_rain,scenario_convective_burst,walking_score,motorbike_score,outdoor_event_score,fieldwork_score,laundry_score,sport_score,trust_level,operational_status,autopilot_route,confidence_score_base,source_health_mean,gap_mean_minutes,decision_recommendation,expert_council,counterfactual_summary,forecast_contract_summary,explanation,dew_point_c,apparent_temperature_c,pressure_msl_hpa,surface_pressure_hpa,wind_direction_deg,uv_index,grid_sampling_status,grid_points_used,grid_rain_point_fraction,grid_max_rain_mm,grid_center_rain_mm,grid_direct_hit_risk,grid_nearby_rain_risk,grid_spatial_uncertainty,sentinel_public_version,official_warning_disclaimer,calibration_status,verification_cases,risk_score_basis,public_safety_note
2026-06-24,00:00,2026-06-24T00:00:00+07:00,25.71,lead_24_48h,safety_first,lowland_heat_humidity,lowland_agriculture,HUMID_STABLE_MORNING,HIGH,Hujan Ringan,37.0,63.0,9,BMKG+CMA+ECMWF+GFS+ICON+KMA+METEOFRANCE+METNO+UKMO,1.0,24.4,24.4,24.5,25.6,26.1,27.1,27.1,25.6,0.0,84.0,89.0,93.0,89.0,0.0,0.0,0.0,0.0,0.0,0.4,1.5,1.5,28.2,0.0,0.0,4.8,9.36,15.1,25.6,31.19,90.0,360.0,11840.0,28.2,17,15.7,22.1,19.9,48.6,37.7,MEDIUM,8.4,LOW,33.6,LOW,60.6,HIGH,0.0,LOW,33.5,LOW,28.7,30.9,28.8,35.6,category_disagreement_error,62.5,13.5,15.2,6.1,2.7,4,4,4,3,0,2,HIGHLY_TRUSTED,GREEN,analog_memory_blend_route,81.0,0.992,13.3,Risiko relatif terkendali; keputusan normal masih masuk akal dengan pemantauan berkala.,"Local Signal Analyst: sinyal hujan belum dominan, tetapi tetap membaca tail-risk dari P90/P95. | Uncertainty Auditor: agreement relatif masih dapat diterima untuk keputusan umum. | Analog Memory Analyst: 17 kasus lokal historis/feedback ikut memodifikasi peluang hujan. | Decision Judge: mission=safety_first → Risiko relatif terkendali; keputusan normal masih masuk akal dengan pemantauan berkala.","Jika RH turun ±10%, rain support kemungkinan turun signifikan. Jika kategori antar-source lebih sepakat, trust level akan naik.",Boleh dipakai untuk rencana umum; tetap bukan peringatan resmi cuaca ekstrem.,"Sentinel memilih interpretasi ini karena mode atmosfer HUMID_STABLE_MORNING; 9 source aktif. Grid sampling: nearby rain fraction 0.0, max rain 0 mm.",23.7,30.9,1011.7,1010.2,142.0,0.0,ok,8,0.0,0,0,0.0,0.0,0.0,sentinel-x-public-operational-v2,"Bukan peringatan resmi. Untuk cuaca ekstrem, ikuti informasi BMKG dan kondisi setempat.",VERIFIED_ENOUGH_DATA,120,observation_verified,Decision support only; not an official warning.
2026-06-24,01:00,2026-06-24T01:00:00+07:00,26.71,lead_24_48h,safety_first,lowland_heat_humidity,lowland_agriculture,HUMID_STABLE_MORNING,MEDIUM,Berawan,27.3,72.7,9,BMKG+CMA+ECMWF+GFS+ICON+KMA+METEOFRANCE+METNO+UKMO,1.0,24.1,24.1,24.5,25.4,25.9,27.0,27.0,25.4,0.0,85.0,88.0,93.0,88.0,0.0,0.0,0.0,0.0,0.0,0.4,3.7,3.7,26.8,11.3,0.0,4.6,11.16,13.3,25.4,31.27,100.0,220.0,16360.0,26.8,17,16.5,25.1,23.2,56.4,41.7,MEDIUM,12.8,LOW,29.6,LOW,60.4,HIGH,0.0,LOW,31.7,LOW,34.8,38.2,34.0,42.0,category_disagreement_error,62.8,14.9,13.6,5.5,3.2,3,4,3,2,0,2,TRUSTED,GREEN,analog_memory_blend_route,78.7,0.992,6.7,Risiko relatif terkendali; keputusan normal masih masuk akal dengan pemantauan berkala.,"Local Signal Analyst: sinyal hujan belum dominan, tetapi tetap membaca tail-risk dari P90/P95. | Uncertainty Auditor: agreement relatif masih dapat diterima untuk keputusan umum. | Analog Memory Analyst: 17 kasus lokal historis/feedback ikut memodifikasi peluang hujan. | Decision Judge: mission=safety_first → Risiko relatif terkendali; keputusan normal masih masuk akal dengan pemantauan berkala.","Jika RH turun ±10%, rain support kemungkinan turun signifikan. Jika kategori antar-source lebih sepakat, trust level akan naik.",Boleh dipakai untuk rencana umum; tetap bukan peringatan resmi cuaca ekstrem.,"Sentinel memilih interpretasi ini karena mode atmosfer HUMID_STABLE_MORNING; 9 source aktif. Grid sampling: nearby rain fraction 0.0, max rain 0 mm.",23.6,30.7,1011.3,1009.8,144.0,0.0,ok,8,0.0,0,0,0.0,0.0,0.0,sentinel-x-public-operational-v2,"Bukan peringatan resmi. Untuk cuaca ekstrem, ikuti informasi BMKG dan kondisi setempat.",VERIFIED_ENOUGH_DATA,120,observation_verified,Decision support only; not an official warning.
2026-06-24,02:00,2026-06-24T02:00:00+07:00,27.71,lead_24_48h,safety_first,lowland_heat_humidity,lowland_agriculture,HUMID_STABLE_MORNING,MEDIUM,Berawan,26.3,73.7,9,BMKG+CMA+ECMWF+GFS+ICON+KMA+METEOFRANCE+METNO+UKMO,1.0,24.0,24.0,24.4,25.0,25.4,26.7,26.7,25.0,0.0,85.0,90.0,95.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,6.1,6.1,19.8,10.9,0.0,4.4,9.7,18.0,25.0,30.77,100.0,180.0,2580.0,19.8,17,16.6,26.3,24.9,58.9,43.2,MEDIUM,17.9,LOW,40.0,MEDIUM,56.9,MEDIUM,74.2,HIGH,31.4,LOW,38.3,43.2,36.6,44.5,category_disagreement_error,65.3,13.3,9.7,8.4,3.3,3,3,3,2,0,2,TRUSTED,GREEN,analog_memory_blend_route,78.8,0.992,0.0,Risiko relatif terkendali; keputusan normal masih masuk akal dengan pemantauan berkala.,"Local Signal Analyst: sinyal hujan belum dominan, tetapi tetap membaca tail-risk dari P90/P95. | Uncertainty Auditor: agreement relatif masih dapat diterima untuk keputusan umum. | Analog Memory Analyst: 17 kasus lokal historis/feedback ikut memodifikasi peluang hujan. | Decision Judge: mission=safety_first → Risiko relatif terkendali; keputusan normal masih masuk akal dengan pemantauan berkala.","Jika RH turun ±10%, rain support kemungkinan turun signifikan. Jika kategori antar-source lebih sepakat, trust level akan naik.",Boleh dipakai untuk rencana umum; tetap bukan peringatan resmi cuaca ekstrem.,"Sentinel memilih interpretasi ini karena mode atmosfer HUMID_STABLE_MORNING; 9 source aktif. Grid sampling: nearby rain fraction 0.0, max rain 0 mm.",23.4,30.1,1011.0,1009.5,148.0,0.0,ok,8,0.0,0,0,0.0,0.0,0.0,sentinel-x-public-operational-v2,"Bukan peringatan resmi. Untuk cuaca ekstrem, ikuti informasi BMKG dan kondisi setempat.",VERIFIED_ENOUGH_DATA,120,observation_verified,Decision support only; not an official warning.
2026-06-24,03:00,2026-06-24T03:00:00+07:00,28.71,lead_24_48h,safety_first,lowland_heat_humidity,lowland_agriculture,HUMID_STABLE_MORNING,MEDIUM,Berawan,27.3,72.7,9,BMKG+CMA+ECMWF+GFS+ICON+KMA+METEOFRANCE+METNO+UKMO,1.0,23.9,23.9,24.3,25.0,25.2,26.7,26.7,25.0,0.0,85.0,91.0,95.0,91.0,0.0,0.0,0.0,0.0,0.0,0.4,8.3,8.3,19.1,11.3,11.3,3.7,9.0,11.2,25.0,30.77,94.0,210.0,2440.0,19.1,17,17.6,28.5,26.6,60.6,47.2,MEDIUM,27.9,LOW,24.9,LOW,57.9,MEDIUM,75.6,HIGH,36.3,MEDIUM,42.2,48.0,39.9,47.2,underestimated_intensity_tail,60.3,12.8,7.5,11.7,7.7,3,3,3,2,0,1,TRUSTED,GREEN,analog_memory_blend_route,77.6,0.992,6.7,"Bawa payung/jas hujan dan gunakan interpretasi konservatif, terutama jika keluar setelah siang.","Local Signal Analyst: sinyal hujan belum dominan, tetapi tetap membaca tail-risk dari P90/P95. | Uncertainty Auditor: agreement relatif masih dapat diterima untuk keputusan umum. | Risk Officer: worst-case hujan sedang/lebat perlu tetap ditampilkan walaupun skenario utama lebih ringan. | Analog Memory Analyst: 17 kasus lokal historis/feedback ikut memodifikasi peluang hujan. | Decision Judge: mission=safety_first → Bawa payung/jas hujan dan gunakan interpretasi konservatif, terutama jika keluar setelah siang.","Jika RH turun ±10%, rain support kemungkinan turun signifikan. Jika kategori antar-source lebih sepakat, trust level akan naik. Jika rain P90 turun di bawah 5 mm, worst-case scenario akan melemah.",Boleh dipakai untuk rencana umum; tetap bukan peringatan resmi cuaca ekstrem.,"Sentinel memilih interpretasi ini karena mode atmosfer HUMID_STABLE_MORNING; 9 source aktif; rain P90 8.3 mm. Grid sampling: nearby rain fraction 0.0, max rain 0 mm.",23.3,30.1,1010.9,1009.4,154.0,0.0,ok,8,0.0,0,0,0.0,0.0,0.0,sentinel-x-public-operational-v2,"Bukan peringatan resmi. Untuk cuaca ekstrem, ikuti informasi BMKG dan kondisi setempat.",VERIFIED_ENOUGH_DATA,120,observation_verified,Decision support only; not an official warning.
2026-06-24,04:00,2026-06-24T04:00:00+07:00,29.71,lead_24_48h,safety_first,lowland_heat_humidity,lowland_agriculture,HUMID_STABLE_MORNING,HIGH,Cerah Berawan,38.3,61.7,9,BMKG+CMA+ECMWF+GFS+ICON+KMA+METEOFRANCE+METNO+UKMO,1.0,23.9,23.9,24.4,24.4,25.0,26.8,26.8,24.4,0.0,84.0,89.0,94.0,91.0,2.0,0.0,0.0,0.0,0.0,0.0,1.7,1.7,14.2,0.0,0.0,4.2,15.48,11.5,24.4,31.05,93.0,240.0,11180.0,14.2,17,13.1,19.4,19.0,47.0,30.9,LOW,8.0,LOW,34.4,LOW,59.0,MEDIUM,0.0,LOW,31.6,LOW,28.4,31.2,27.0,34.4,category_disagreement_error,75.5,10.2,8.2,3.2,2.9,4,4,5,4,0,3,HIGHLY_TRUSTED,GREEN,analog_memory_blend_route,81.9,0.992,6.7,Risiko relatif terkendali; keputusan normal masih masuk akal dengan pemantauan berkala.,"Local Signal Analyst: sinyal hujan belum dominan, tetapi tetap membaca tail-risk dari P90/P95. | Uncertainty Auditor: agreement relatif masih dapat diterima untuk keputusan umum. | Analog Memory Analyst: 17 kasus lokal historis/feedback ikut memodifikasi peluang hujan. | Decision Judge: mission=safety_first → Risiko relatif terkendali; keputusan normal masih masuk akal dengan pemantauan berkala.","Jika RH turun ±10%, rain support kemungkinan turun signifikan. Jika kategori antar-source lebih sepakat, trust level akan naik.",Boleh dipakai untuk rencana umum; tetap bukan peringatan resmi cuaca ekstrem.,"Sentinel memilih interpretasi ini karena mode atmosfer HUMID_STABLE_MORNING; 9 source aktif. Grid sampling: nearby rain fraction 0.0, max rain 0 mm.",23.2,30.0,1011.0,1009.5,160.0,0.0,ok,8,0.0,0,0,0.0,0.0,0.0,sentinel-x-public-operational-v2,"Bukan peringatan resmi. Untuk cuaca ekstrem, ikuti informasi BMKG dan kondisi setempat.",VERIFIED_ENOUGH_DATA,120,observation_verified,Decision support only; not an official warning.
2026-06-24,05:00,2026-06-24T05:00:00+07:00,30.71,lead_24_48h,safety_first,lowland_heat_humidity,lowland_agriculture,HUMID_STABLE_MORNING,HIGH,Cerah Berawan,58.9,41.1,9,BMKG+CMA+ECMWF+GFS+ICON+KMA+METEOFRANCE+METNO+UKMO,1.0,23.8,23.8,24.0,24.6,24.8,26.8,26.8,24.6,0.0,85.0,91.0,94.0,93.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,4.2,17.28,12.2,24.6,30.71,66.0,260.0,12220.0,5.0,17,10.1,13.9,13.7,32.5,22.1,LOW,3.6,LOW,38.4,MEDIUM,57.2,MEDIUM,0.0,LOW,29.7,LOW,18.5,21.6,18.1,22.8,low_failure_risk_non_rain,86.4,5.8,4.3,1.4,2.1,5,5,7,5,3,4,HIGHLY_TRUSTED,GREEN,analog_memory_blend_route,88.4,0.992,0.0,Risiko relatif terkendali; keputusan normal masih masuk akal dengan pemantauan berkala.,"Local Signal Analyst: sinyal hujan belum dominan, tetapi tetap membaca tail-risk dari P90/P95. | Uncertainty Auditor: agreement relatif masih dapat diterima untuk keputusan umum. | Analog Memory Analyst: 17 kasus lokal historis/feedback ikut memodifikasi peluang hujan. | Decision Judge: mission=safety_first → Risiko relatif terkendali; keputusan normal masih masuk akal dengan pemantauan berkala.","Jika RH turun ±10%, rain support kemungkinan turun signifikan.",Boleh dipakai untuk rencana umum; tetap bukan peringatan resmi cuaca ekstrem.,"Sentinel memilih interpretasi ini karena mode atmosfer HUMID_STABLE_MORNING; 9 source aktif. Grid sampling: nearby rain fraction 0.0, max rain 0 mm.",23.1,29.8,1011.3,1009.8,160.0,0.0,ok,8,0.0,0,0,0.0,0.0,0.0,sentinel-x-public-operational-v2,"Bukan peringatan resmi. Untuk cuaca ekstrem, ikuti informasi BMKG dan kondisi setempat.",VERIFIED_ENOUGH_DATA,120,observation_verified,Decision support only; not an official warning.
2026-06-24,06:00,2026-06-24T06:00:00+07:00,31.71,lead_24_48h,safety_first,lowland_heat_humidity,lowland_agriculture,HUMID_STABLE_MORNING,HIGH,Berawan,40.4,59.6,9,BMKG+CMA+ECMWF+GFS+ICON+KMA+METEOFRANCE+METNO+UKMO,1.0,23.7,23.7,24.2,24.7,24.9,26.7,26.7,24.7,0.0,85.0,88.0,93.0,90.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9,0.0,0.0,4.7,16.56,14.0,24.7,30.12,87.0,90.0,13240.0,3.9,17,9.7,15.2,16.6,43.2,22.1,LOW,3.1,LOW,36.8,MEDIUM,47.7,MEDIUM,0.0,LOW,28.0,LOW,25.3,27.1,22.8,30.9,low_failure_risk_non_rain,84.9,7.0,4.1,1.3,2.7,5,5,6,5,2,4,HIGHLY_TRUSTED,GREEN,analog_memory_blend_route,82.9,0.992,6.7,Risiko relatif terkendali; keputusan normal masih masuk akal dengan pemantauan berkala.,"Local Signal Analyst: sinyal hujan belum dominan, tetapi tetap membaca tail-risk dari P90/P95. | Uncertainty Auditor: agreement relatif masih dapat diterima untuk keputusan umum. | Analog Memory Analyst: 17 kasus lokal historis/feedback ikut memodifikasi peluang hujan. | Decision Judge: mission=safety_first → Risiko relatif terkendali; keputusan normal masih masuk akal dengan pemantauan berkala.","Jika RH turun ±10%, rain support kemungkinan turun signifikan. Jika kategori antar-source lebih sepakat, trust level akan naik.",Boleh dipakai untuk rencana umum; tetap bukan peringatan resmi cuaca ekstrem.,"Sentinel memilih interpretasi ini karena mode atmosfer HUMID_STABLE_MORNING; 9 source aktif. Grid sampling: nearby rain fraction 0.0, max rain 0 mm.",22.9,29.6,1011.7,1010.2,172.0,0.0,ok,8,0.0,0,0,0.0,0.0,0.0,sentinel-x-public-operational-v2,"Bukan peringatan resmi. Untuk cuaca ekstrem, ikuti informasi BMKG dan kondisi setempat.",VERIFIED_ENOUGH_DATA,120,observation_verified,Decision support only; not an official warning.
2026-06-24,07:00,2026-06-24T07:00:00+07:00,32.71,lead_24_48h,safety_first,lowland_heat_humidity,lowland_agriculture,MIXED_LOCAL_ATMOSPHERE,HIGH,Berawan,40.4,59.6,9,BMKG+CMA+ECMWF+GFS+ICON+KMA+METEOFRANCE+METNO+UKMO,1.0,25.0,25.0,25.3,25.6,26.9,28.0,28.0,25.6,0.0,70.0,85.0,90.0,87.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9,0.0,0.0,4.3,15.48,16.6,25.6,30.67,81.0,90.0,14280.0,2.9,17,9.3,14.8,16.6,43.2,21.1,LOW,3.2,LOW,36.9,MEDIUM,50.8,MEDIUM,0.0,LOW,26.8,LOW,25.5,27.3,22.8,31.0,low_failure_risk_non_rain,85.2,6.8,4.0,1.3,2.7,5,5,6,5,2,4,HIGHLY_TRUSTED,GREEN,analog_memory_blend_route,82.8,0.992,6.7,"Window relatif baik untuk aktivitas luar ruang, tetapi tetap cek update menjelang siang.","Local Signal Analyst: sinyal hujan belum dominan, tetapi tetap membaca tail-risk dari P90/P95. | Uncertainty Auditor: agreement relatif masih dapat diterima untuk keputusan umum. | Analog Memory Analyst: 17 kasus lokal historis/feedback ikut memodifikasi peluang hujan. | Decision Judge: mission=safety_first → Window relatif baik untuk aktivitas luar ruang, tetapi tetap cek update menjelang siang.","Jika RH turun ±10%, rain support kemungkinan turun signifikan. Jika kategori antar-source lebih sepakat, trust level akan naik.",Boleh dipakai untuk rencana umum; tetap bukan peringatan resmi cuaca ekstrem.,"Sentinel memilih interpretasi ini karena mode atmosfer MIXED_LOCAL_ATMOSPHERE; 9 source aktif. Grid sampling: nearby rain fraction 0.0, max rain 0 mm.",23.1,30.5,1012.2,1010.7,176.0,0.3,ok,8,0.0,0,0,0.0,0.0,0.0,sentinel-x-public-operational-v2,"Bukan peringatan resmi. Untuk cuaca ekstrem, ikuti informasi BMKG dan kondisi setempat.",VERIFIED_ENOUGH_DATA,120,observation_verified,Decision support only; not an official warning.
2026-06-24,08:00,2026-06-24T08:00:00+07:00,33.71,lead_24_48h,safety_first,lowland_heat_humidity,lowland_agriculture,MIXED_LOCAL_ATMOSPHERE,HIGH,Cerah,38.8,61.2,9,BMKG+CMA+ECMWF+GFS+ICON+KMA+METEOFRANCE+METNO+UKMO,1.0,26.4,26.4,27.1,27.2,28.0,28.1,28.1,27.2,0.0,70.0,76.0,86.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2,0.0,0.0,5.7,13.32,18.0,30.08,31.58,78.0,240.0,19520.0,2.2,17,8.4,14.3,16.9,44.2,19.2,LOW,4.2,LOW,40.0,MEDIUM,51.9,MEDIUM,0.0,LOW,27.5,LOW,25.5,27.8,23.1,31.4,category_disagreement_error,85.4,6.6,4.0,1.3,2.7,5,5,7,5,3,4,HIGHLY_TRUSTED,GREEN,analog_memory_blend_route,83.4,0.992,0.0,"Window relatif baik untuk aktivitas luar ruang, tetapi tetap cek update menjelang siang.","Local Signal Analyst: sinyal hujan belum dominan, tetapi tetap membaca tail-risk dari P90/P95. | Uncertainty Auditor: agreement relatif masih dapat diterima untuk keputusan umum. | Analog Memory Analyst: 17 kasus lokal historis/feedback ikut memodifikasi peluang hujan. | Decision Judge: mission=safety_first → Window relatif baik untuk aktivitas luar ruang, tetapi tetap cek update menjelang siang.","Jika kategori antar-source lebih sepakat, trust level akan naik.",Boleh dipakai untuk rencana umum; tetap bukan peringatan resmi cuaca ekstrem.,"Sentinel memilih interpretasi ini karena mode atmosfer MIXED_LOCAL_ATMOSPHERE; 9 source aktif. Grid sampling: nearby rain fraction 0.0, max rain 0 mm.",23.2,32.1,1012.6,1011.1,152.0,1.6,ok,8,0.0,0,0,0.0,0.0,0.0,sentinel-x-public-operational-v2,"Bukan peringatan resmi. Untuk cuaca ekstrem, ikuti informasi BMKG dan kondisi setempat.",VERIFIED_ENOUGH_DATA,120,observation_verified,Decision support only; not an official warning.
2026-06-24,09:00,2026-06-24T09:00:00+07:00,34.71,lead_24_48h,safety_first,lowland_heat_humidity,lowland_agriculture,MIXED_LOCAL_ATMOSPHERE,HIGH,Cerah Berawan,47.2,52.9,9,BMKG+CMA+ECMWF+GFS+ICON+KMA+METEOFRANCE+METNO+UKMO,1.0,28.0,28.0,28.6,28.8,29.7,30.2,30.2,28.8,0.0,65.0,69.0,75.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,0.0,0.0,7.4,14.04,19.8,32.33,34.32,61.0,330.0,24140.0,1.8,17,7.7,13.0,15.5,39.3,17.2,LOW,4.5,LOW,44.0,MEDIUM,81.3,VERY_HIGH,0.0,LOW,26.1,LOW,23.5,25.9,21.3,28.3,low_failure_risk_non_rain,86.0,6.1,4.1,1.3,2.5,4,5,7,5,4,3,HIGHLY_TRUSTED,GREEN,analog_memory_blend_route,84.7,0.992,6.7,"Window relatif baik untuk aktivitas luar ruang, tetapi tetap cek update menjelang siang.","Local Signal Analyst: sinyal hujan belum dominan, tetapi tetap membaca tail-risk dari P90/P95. | Uncertainty Auditor: agreement relatif masih dapat diterima untuk keputusan umum. | Analog Memory Analyst: 17 kasus lokal historis/feedback ikut memodifikasi peluang hujan. | Decision Judge: mission=safety_first → Window relatif baik untuk aktivitas luar ruang, tetapi tetap cek update menjelang siang.","Jika kategori antar-source lebih sepakat, trust level akan naik.",Boleh dipakai untuk rencana umum; tetap bukan peringatan resmi cuaca ekstrem.,"Sentinel memilih interpretasi ini karena mode atmosfer MIXED_LOCAL_ATMOSPHERE; 9 source aktif. Grid sampling: nearby rain fraction 0.0, max rain 0 mm.",22.9,33.4,1012.5,1011.0,118.0,3.5,ok,8,0.0,0,0,0.0,0.0,0.0,sentinel-x-public-operational-v2,"Bukan peringatan resmi. Untuk cuaca ekstrem, ikuti informasi BMKG dan kondisi setempat.",VERIFIED_ENOUGH_DATA,120,observation_verified,Decision support only; not an official warning.
