jam,cuaca,suhu_C,kelembapan_RH_pct,heat_index_C,terasa_seperti_C,dew_point_C,tekanan_udara_hpa,peluang_hujan_pct,curah_hujan_p50_mm,curah_hujan_p90_mm,angin_kmh,hembusan_angin_p90_kmh,arah_angin_derajat,tutupan_awan_pct,jarak_pandang_p10_m,indeks_uv,risiko_hujan,saran
00:00,Cerah Berawan,26.0,77.0,26.0,30.2,21.9,1012.1,0.8,0.0,0.0,5.5,16.9,145.0,50.0,10440.0,0.0,low,Risiko relatif terkendali; keputusan normal masih masuk akal dengan pemantauan berkala.
01:00,Cerah Berawan,25.4,81.0,25.4,29.8,21.8,1011.4,0.5,0.0,0.0,4.7,15.5,152.0,71.0,8520.0,0.0,low,Risiko relatif terkendali; keputusan normal masih masuk akal dengan pemantauan berkala.
02:00,Cerah Berawan,24.9,83.0,24.9,29.7,21.9,1010.9,4.6,0.0,0.1,2.5,14.8,159.0,49.0,8560.0,0.0,low,Risiko relatif terkendali; keputusan normal masih masuk akal dengan pemantauan berkala.
03:00,Berawan,24.5,79.0,24.5,29.4,21.8,1010.8,4.4,0.0,0.0,2.9,14.8,161.0,57.0,8600.0,0.0,low,Risiko relatif terkendali; keputusan normal masih masuk akal dengan pemantauan berkala.
04:00,Cerah Berawan,24.4,83.0,24.4,29.1,21.6,1010.9,4.6,0.0,0.1,3.6,15.1,156.0,63.0,8640.0,0.0,low,Risiko relatif terkendali; keputusan normal masih masuk akal dengan pemantauan berkala.
05:00,Cerah Berawan,25.0,80.0,25.0,28.9,21.4,1011.4,4.6,0.0,0.1,4.3,15.8,160.0,57.0,15760.0,0.0,low,Risiko relatif terkendali; keputusan normal masih masuk akal dengan pemantauan berkala.
06:00,Cerah Berawan,25.4,75.0,25.4,28.8,21.1,1012.2,4.4,0.0,0.0,4.8,16.6,158.0,56.0,21920.0,0.0,low,Risiko relatif terkendali; keputusan normal masih masuk akal dengan pemantauan berkala.
07:00,Cerah Berawan,26.9,70.0,27.96,30.0,21.0,1012.7,4.6,0.0,0.1,5.0,18.0,150.0,55.0,24120.0,0.7,low,"Window relatif baik untuk aktivitas luar ruang, tetapi tetap cek update menjelang siang."
08:00,Cerah Berawan,29.6,62.0,31.19,32.0,20.8,1013.0,0.0,0.0,0.0,10.1,21.2,140.0,51.0,24140.0,2.5,low,"Window relatif baik untuk aktivitas luar ruang, tetapi tetap cek update menjelang siang."
09:00,Berawan,31.6,52.0,33.79,33.6,20.7,1013.0,0.0,0.0,0.0,13.3,31.3,121.0,63.0,24140.0,4.8,low,"Window relatif baik untuk aktivitas luar ruang, tetapi tetap cek update menjelang siang."
10:00,Cerah Berawan,32.8,50.0,35.07,35.5,20.8,1012.5,0.0,0.0,0.0,14.1,36.7,108.0,71.0,24140.0,6.9,low,"Window relatif baik untuk aktivitas luar ruang, tetapi tetap cek update menjelang siang."
11:00,Cerah Berawan,33.6,48.0,35.69,36.4,20.9,1011.5,0.0,0.0,0.0,16.2,37.1,93.0,30.0,24140.0,8.3,low,"Window relatif baik untuk aktivitas luar ruang, tetapi tetap cek update menjelang siang."
12:00,Cerah Berawan,34.0,46.0,36.52,37.3,21.0,1010.3,0.5,0.0,0.0,17.2,36.7,79.0,64.0,24140.0,9.1,low,Risiko relatif terkendali; keputusan normal masih masuk akal dengan pemantauan berkala.
13:00,Berawan,34.4,47.0,36.52,37.1,21.1,1009.3,1.5,0.0,0.0,19.08,37.1,69.0,81.0,22820.0,8.8,low,Risiko relatif terkendali; keputusan normal masih masuk akal dengan pemantauan berkala.
14:00,Berawan,33.7,50.0,36.28,38.1,21.2,1008.7,3.5,0.0,0.0,18.72,39.6,64.0,69.0,24140.0,7.6,low,Risiko relatif terkendali; keputusan normal masih masuk akal dengan pemantauan berkala.
15:00,Berawan,32.0,51.0,34.72,36.1,21.6,1008.3,2.5,0.0,0.0,16.8,43.2,63.0,60.0,24140.0,5.8,low,Risiko relatif terkendali; keputusan normal masih masuk akal dengan pemantauan berkala.
16:00,Cerah Berawan,31.6,58.0,33.99,34.1,22.0,1008.5,3.5,0.0,0.0,18.72,43.2,66.0,61.0,24140.0,3.5,low,Risiko relatif terkendali; keputusan normal masih masuk akal dengan pemantauan berkala.
17:00,Berawan,30.0,65.0,33.45,32.4,22.5,1009.2,0.5,0.0,0.0,17.1,40.0,71.0,68.0,24140.0,1.4,low,Risiko relatif terkendali; keputusan normal masih masuk akal dengan pemantauan berkala.
18:00,Berawan,29.0,70.0,32.25,31.9,22.8,1010.3,0.0,0.0,0.0,12.6,33.8,80.0,47.0,24140.0,0.1,low,Risiko relatif terkendali; keputusan normal masih masuk akal dengan pemantauan berkala.
19:00,Berawan,28.2,72.0,31.65,31.7,23.1,1011.3,0.0,0.0,0.0,11.4,29.9,93.0,58.0,24140.0,0.0,low,Risiko relatif terkendali; keputusan normal masih masuk akal dengan pemantauan berkala.
20:00,Berawan,28.0,73.0,30.71,31.4,22.9,1012.1,11.8,0.0,0.5,10.4,26.3,104.0,56.0,17900.0,0.0,low,Risiko relatif terkendali; keputusan normal masih masuk akal dengan pemantauan berkala.
