target_date,jam,pred_prob_rain,observed_rain,pred_rain_event,brier,pred_temp,observed_temp,temp_abs_error,pred_category,observed_category,category_match
2026-06-14,00:00,27.3,0,0,0.07452900000000001,26.8,26.5,0.3000000000000007,Berawan,Berawan,1
2026-06-14,01:00,12.5,0,0,0.015625,26.7,27.2,0.5,Berawan,Berawan,1
2026-06-14,02:00,0.0,0,0,0.0,26.6,26.6,0.0,Berawan,Berawan,1
2026-06-14,03:00,0.0,0,0,0.0,26.5,26.1,0.3999999999999986,Berawan,Berawan,1
2026-06-14,04:00,0.0,1,0,1.0,26.5,25.9,0.6000000000000014,Berawan,Hujan Ringan,0
2026-06-14,05:00,0.0,0,0,0.0,26.5,25.7,0.8000000000000007,Berawan,Berawan,1
2026-06-14,06:00,0.0,0,0,0.0,26.6,25.6,1.0,Berawan,Berawan,1
2026-06-14,07:00,0.0,0,0,0.0,26.9,26.3,0.5999999999999979,Berawan,Berawan,1
2026-06-14,08:00,0.0,0,0,0.0,28.0,26.6,1.3999999999999986,Berawan,Berawan,1
2026-06-14,09:00,0.0,0,0,0.0,28.8,28.0,0.8000000000000007,Berawan,Berawan,1
2026-06-14,10:00,0.0,0,0,0.0,28.9,29.0,0.10000000000000142,Berawan,Berawan,1
2026-06-14,11:00,0.0,0,0,0.0,30.6,30.6,0.0,Berawan,Berawan,1
2026-06-14,12:00,0.0,0,0,0.0,29.8,31.0,1.1999999999999993,Berawan,Berawan,1
2026-06-14,13:00,10.8,0,0,0.011664000000000002,30.1,31.6,1.5,Berawan,Berawan,1
2026-06-14,14:00,10.4,0,0,0.010816000000000003,32.0,31.1,0.8999999999999986,Berawan,Berawan,1
2026-06-14,15:00,10.8,0,0,0.011664000000000002,30.6,31.2,0.5999999999999979,Cerah Berawan,Berawan,0
2026-06-14,16:00,10.8,0,0,0.011664000000000002,30.3,30.9,0.5999999999999979,Cerah,Cerah Berawan,0
2026-06-14,17:00,19.8,0,0,0.039204,29.2,30.0,0.8000000000000007,Cerah,Cerah,1
2026-06-14,18:00,9.7,0,0,0.009408999999999997,28.5,29.0,0.5,Cerah,Cerah,1
2026-06-14,19:00,21.1,0,0,0.04452100000000001,27.8,29.5,1.6999999999999993,Cerah Berawan,Cerah,0
2026-06-14,20:00,24.0,0,0,0.0576,27.2,28.5,1.3000000000000007,Cerah Berawan,Cerah,0
2026-06-14,21:00,21.1,0,0,0.04452100000000001,27.0,27.5,0.5,Cerah Berawan,Cerah Berawan,1
2026-06-14,22:00,21.1,0,0,0.04452100000000001,26.4,26.9,0.5,Cerah Berawan,Cerah Berawan,1
2026-06-14,23:00,0.0,0,0,0.0,26.0,26.1,0.10000000000000142,Cerah Berawan,Cerah,0
2026-06-15,00:00,0.0,0,0,0.0,25.8,25.6,0.1999999999999993,Cerah Berawan,Cerah Berawan,1
2026-06-15,01:00,0.0,0,0,0.0,25.6,25.4,0.20000000000000284,Cerah Berawan,Berawan,0
2026-06-15,02:00,12.1,0,0,0.014641,25.3,25.1,0.1999999999999993,Cerah Berawan,Cerah Berawan,1
2026-06-15,03:00,12.6,0,0,0.015876,25.1,25.5,0.3999999999999986,Berawan,Cerah Berawan,0
2026-06-15,04:00,23.4,0,0,0.05475599999999999,24.9,25.2,0.3000000000000007,Berawan,Cerah Berawan,0
2026-06-15,05:00,22.6,0,0,0.051076,24.9,24.7,0.1999999999999993,Berawan,Cerah,0
2026-06-15,06:00,23.4,0,0,0.05475599999999999,25.2,24.0,1.1999999999999993,Berawan,Cerah Berawan,0
2026-06-15,07:00,0.0,0,0,0.0,25.9,26.2,0.3000000000000007,Berawan,Cerah,0
2026-06-15,08:00,13.2,0,0,0.017424000000000002,27.9,28.4,0.5,Cerah Berawan,Cerah,0
2026-06-15,09:00,13.7,0,0,0.018768999999999994,29.2,30.2,1.0,Cerah Berawan,Cerah Berawan,1
2026-06-15,10:00,13.7,0,0,0.018768999999999994,30.8,31.5,0.6999999999999993,Berawan,Berawan,1
2026-06-15,11:00,33.4,0,0,0.11155599999999997,31.9,32.7,0.8000000000000043,Cerah Berawan,Berawan,0
2026-06-15,12:00,46.1,0,1,0.21252100000000002,32.8,33.7,0.9000000000000057,Hujan Ringan,Cerah Berawan,0
2026-06-15,13:00,58.0,0,1,0.3364,31.9,34.2,2.3000000000000043,Hujan Ringan,Hujan Ringan,1
2026-06-15,14:00,55.9,1,1,0.19448100000000004,31.5,33.4,1.8999999999999986,Hujan Ringan,Hujan Ringan,1
2026-06-15,15:00,58.0,0,1,0.3364,30.4,33.0,2.6000000000000014,Hujan Ringan,Hujan Ringan,1
2026-06-15,16:00,46.9,0,1,0.21996099999999996,29.1,32.2,3.1000000000000014,Hujan Ringan,Cerah Berawan,0
2026-06-15,17:00,35.8,0,1,0.128164,28.6,31.0,2.3999999999999986,Hujan Ringan,Cerah,0
2026-06-15,18:00,25.7,0,0,0.066049,27.9,29.8,1.9000000000000021,Cerah,Cerah,1
2026-06-15,19:00,13.7,0,0,0.018768999999999994,27.0,30.1,3.1000000000000014,Cerah,Cerah,1
2026-06-15,20:00,0.0,0,0,0.0,26.9,29.1,2.200000000000003,Cerah Berawan,Cerah,0
2026-06-15,21:00,0.0,0,0,0.0,26.4,28.5,2.1000000000000014,Cerah Berawan,Cerah,0
2026-06-15,22:00,0.0,0,0,0.0,26.1,27.6,1.5,Cerah,Cerah,1
2026-06-15,23:00,0.0,0,0,0.0,25.5,26.8,1.3000000000000007,Cerah Berawan,Cerah Berawan,1
2026-06-12,00:00,0.0,0,0,0.0,25.6,25.6,0.0,Cerah Berawan,Cerah,0
2026-06-12,01:00,0.0,0,0,0.0,25.6,25.6,0.0,Cerah Berawan,Cerah Berawan,1
2026-06-12,02:00,0.0,0,0,0.0,25.4,25.1,0.29999999999999716,Cerah Berawan,Cerah,0
2026-06-12,03:00,0.0,0,0,0.0,25.1,24.6,0.5,Cerah Berawan,Cerah,0
2026-06-12,04:00,0.0,0,0,0.0,25.1,24.5,0.6000000000000014,Cerah,Cerah,1
2026-06-12,05:00,0.0,0,0,0.0,25.2,24.0,1.1999999999999993,Cerah,Cerah Berawan,0
2026-06-12,06:00,0.0,0,0,0.0,25.0,24.0,1.0,Cerah,Cerah,1
2026-06-12,07:00,0.0,0,0,0.0,25.7,25.2,0.5,Cerah,Cerah Berawan,0
2026-06-12,08:00,0.0,0,0,0.0,27.6,26.6,1.0,Cerah Berawan,Berawan,0
2026-06-12,09:00,0.0,0,0,0.0,29.3,26.5,2.8000000000000007,Cerah Berawan,Berawan,0
2026-06-12,10:00,0.0,0,0,0.0,30.9,28.5,2.3999999999999986,Cerah Berawan,Cerah Berawan,1
2026-06-12,11:00,0.0,0,0,0.0,31.8,31.0,0.8000000000000007,Cerah Berawan,Cerah Berawan,1
2026-06-12,12:00,0.0,0,0,0.0,32.4,32.8,0.3999999999999986,Cerah Berawan,Cerah Berawan,1
2026-06-12,13:00,0.0,1,0,1.0,32.4,33.9,1.5,Cerah Berawan,Hujan Ringan,0
2026-06-12,14:00,0.0,0,0,0.0,32.2,32.7,0.5,Cerah Berawan,Cerah,0
2026-06-12,15:00,0.0,0,0,0.0,31.7,32.3,0.5999999999999979,Cerah Berawan,Cerah,0
2026-06-12,16:00,0.0,0,0,0.0,31.0,31.6,0.6000000000000014,Berawan,Berawan,1
2026-06-12,17:00,13.6,0,0,0.018496000000000002,29.6,30.3,0.6999999999999993,Berawan,Berawan,1
2026-06-12,18:00,25.0,0,0,0.0625,28.5,29.1,0.6000000000000014,Berawan,Berawan,1
2026-06-12,19:00,24.1,0,0,0.05808100000000001,27.6,30.0,2.3999999999999986,Berawan,Berawan,1
2026-06-12,20:00,11.4,0,0,0.012996,27.2,28.5,1.3000000000000007,Berawan,Cerah Berawan,0
2026-06-12,21:00,11.4,0,0,0.012996,26.9,27.7,0.8000000000000007,Cerah Berawan,Berawan,0
2026-06-12,22:00,23.0,0,0,0.0529,26.6,27.1,0.5,Cerah Berawan,Berawan,0
2026-06-12,23:00,12.5,0,0,0.015625,26.3,26.8,0.5,Cerah Berawan,Berawan,0
2026-06-13,00:00,15.2,0,0,0.023104,25.9,26.5,0.6000000000000014,Berawan,Hujan Ringan,0
2026-06-13,01:00,29.7,0,0,0.088209,25.8,26.4,0.5999999999999979,Berawan,Berawan,1
2026-06-13,02:00,33.5,0,0,0.11222500000000002,25.6,26.0,0.3999999999999986,Berawan,Berawan,1
2026-06-13,03:00,32.7,0,0,0.10692900000000001,25.4,25.7,0.3000000000000007,Berawan,Cerah Berawan,0
2026-06-13,04:00,32.7,0,0,0.10692900000000001,25.4,25.2,0.1999999999999993,Berawan,Hujan Ringan,0
2026-06-13,05:00,0.0,0,0,0.0,25.7,24.9,0.8000000000000007,Cerah Berawan,Cerah Berawan,1
2026-06-13,06:00,0.0,0,0,0.0,26.2,24.5,1.6999999999999993,Berawan,Berawan,1
2026-06-13,07:00,0.0,0,0,0.0,26.5,26.1,0.3999999999999986,Berawan,Berawan,1
