date,day_tag,hour,condition,temp_c,humidity_pct,heat_index_c,rain_probability,wind_kmh,risk,risk_class
2026-06-14,Besok,00:00,—,20.8,88.0,20.8,11.0,4.0,rendah,green
2026-06-14,Besok,03:00,—,20.1,88.0,20.1,0.0,4.3,rendah,green
2026-06-14,Besok,06:00,—,20.0,88.0,20.0,10.0,5.2,rendah,green
2026-06-14,Besok,09:00,—,24.0,74.0,24.0,0.0,4.7,rendah,green
2026-06-14,Besok,12:00,—,27.4,60.0,28.7,0.0,7.7,rendah,green
2026-06-14,Besok,13:00,—,28.3,58.0,29.2,12.0,8.3,rendah,green
2026-06-14,Besok,14:00,—,28.6,56.0,29.7,21.0,8.3,rendah,green
2026-06-14,Besok,15:00,—,28.7,63.0,29.3,33.0,8.2,sedang,yellow
2026-06-14,Besok,18:00,—,25.0,88.0,25.0,33.0,4.0,sedang,yellow
2026-06-14,Besok,20:00,—,23.3,92.0,23.3,45.0,3.2,sedang,yellow
2026-06-14,Besok,21:00,—,22.8,92.0,22.8,43.0,3.0,sedang,yellow
