tanggal,jam,suhu_C,cuaca,RH_%,wind_kmh
27-09-2026,00:00,19.0,Cerah,91.0,1.6
27-09-2026,01:00,19.0,Cerah,91.0,1.6
27-09-2026,02:00,19.0,Cerah,91.0,1.6
27-09-2026,03:00,18.0,Cerah Berawan,91.0,0.7
27-09-2026,04:00,18.0,Cerah Berawan,91.0,0.7
27-09-2026,05:00,18.0,Cerah Berawan,91.0,0.7
27-09-2026,06:00,23.0,Cerah,71.0,1.7
27-09-2026,07:00,23.0,Cerah,71.0,1.7
27-09-2026,08:00,23.0,Cerah,71.0,1.7
27-09-2026,09:00,28.0,Cerah,53.0,4.2
27-09-2026,10:00,28.0,Cerah,53.0,4.2
27-09-2026,11:00,28.0,Cerah,53.0,4.2
27-09-2026,12:00,28.0,Hujan Ringan,57.0,7.4
27-09-2026,13:00,28.0,Hujan Ringan,57.0,7.4
27-09-2026,14:00,28.0,Hujan Ringan,57.0,7.4
27-09-2026,15:00,24.0,Cerah Berawan,79.0,4.4
27-09-2026,16:00,24.0,Cerah Berawan,79.0,4.4
27-09-2026,17:00,24.0,Cerah Berawan,79.0,4.4
27-09-2026,18:00,22.0,Cerah,89.0,2.1
27-09-2026,19:00,22.0,Cerah,89.0,2.1
27-09-2026,20:00,22.0,Cerah,89.0,2.1
27-09-2026,21:00,19.0,Cerah,98.0,1.9
27-09-2026,22:00,19.0,Cerah,98.0,1.9
27-09-2026,23:00,19.0,Cerah,98.0,1.9
