<<<<<<< HEAD
tanggal,jam,suhu_C,cuaca,RH_%,wind_kmh
21-06-2026,17:00,21.0,Hujan Ringan,87.0,1.0
21-06-2026,18:00,21.0,Hujan Ringan,87.0,1.0
21-06-2026,19:00,21.0,Hujan Ringan,87.0,1.0
21-06-2026,20:00,21.0,Hujan Ringan,87.0,1.0
21-06-2026,21:00,21.0,Hujan Ringan,87.0,1.0
21-06-2026,22:00,20.0,Hujan Ringan,89.0,0.5
21-06-2026,23:00,20.0,Hujan Ringan,89.0,0.5
=======
tanggal,jam,suhu_C,cuaca,RH_%,wind_kmh
21-06-2026,11:00,26.0,Cerah Berawan,60.0,7.3
21-06-2026,12:00,26.0,Cerah Berawan,60.0,7.3
21-06-2026,13:00,26.0,Cerah Berawan,60.0,7.3
21-06-2026,14:00,26.0,Cerah Berawan,60.0,7.3
21-06-2026,15:00,26.0,Cerah Berawan,60.0,7.3
21-06-2026,16:00,22.0,Hujan Ringan,84.0,3.5
21-06-2026,17:00,22.0,Hujan Ringan,84.0,3.5
21-06-2026,18:00,22.0,Hujan Ringan,84.0,3.5
21-06-2026,19:00,21.0,Hujan Ringan,87.0,1.0
21-06-2026,20:00,21.0,Hujan Ringan,87.0,1.0
21-06-2026,21:00,21.0,Hujan Ringan,87.0,1.0
21-06-2026,22:00,20.0,Hujan Ringan,89.0,0.5
21-06-2026,23:00,20.0,Hujan Ringan,89.0,0.5
>>>>>>> 6df7cf2 (Latest LANGIT updates)
