tanggal,jam,suhu_C,cuaca,RH_%,wind_kmh
04-08-2026,13:00,25.0,Hujan Ringan,58.0,8.5
04-08-2026,14:00,25.0,Hujan Ringan,58.0,8.5
04-08-2026,15:00,25.0,Hujan Ringan,58.0,8.5
04-08-2026,16:00,25.0,Hujan Ringan,58.0,8.5
04-08-2026,17:00,25.0,Hujan Ringan,58.0,8.5
04-08-2026,18:00,23.0,Cerah Berawan,72.0,4.6
04-08-2026,19:00,23.0,Cerah Berawan,72.0,4.6
04-08-2026,20:00,23.0,Cerah Berawan,72.0,4.6
04-08-2026,21:00,21.0,Cerah Berawan,88.0,3.3
04-08-2026,22:00,21.0,Cerah Berawan,88.0,3.3
04-08-2026,23:00,21.0,Cerah Berawan,88.0,3.3
