jam,sources_used,weight_total,coverage_status,source_list,dominant_category,confidence_score,confidence_label,temp_mean,temp_error,rh_mean,rh_error,rain_mean,rain_error,heat_index_mean,heat_index_error,%cerah,%cerah_berawan,%berawan,%hujan_ringan,%hujan_sedang,%hujan_lebat,temp_std,rh_std,rain_std,heat_index_std,sources_expected,coverage_fraction,gap_mean_minutes,gap_max_minutes
00:00,9,11.1869,cukup,"BMKG,CMA,ECMWF,GFS,ICON,KMA,METEOFRANCE,METNO,UKMO",Cerah Berawan,80.6,Tinggi,22.11,+/-1.77,85.65,+/-3.97,0.0,+/-0.0,22.11,+/-1.77,34.8,35.5,29.7,0.0,0.0,0.0,1.77,3.97,0.0,1.77,9,1.0,13.33,120.0
01:00,9,11.5129,cukup,"BMKG,CMA,ECMWF,GFS,ICON,KMA,METEOFRANCE,METNO,UKMO",Cerah,84.5,Tinggi,21.62,+/-1.77,86.8,+/-3.52,0.0,+/-0.0,21.62,+/-1.77,48.5,22.6,28.9,0.0,0.0,0.0,1.77,3.52,0.0,1.77,9,1.0,6.67,60.0
02:00,9,11.9204,cukup,"BMKG,CMA,ECMWF,GFS,ICON,KMA,METEOFRANCE,METNO,UKMO",Cerah Berawan,90.9,Tinggi,21.17,+/-1.82,87.78,+/-3.32,0.0,+/-0.0,21.17,+/-1.82,24.9,70.5,4.5,0.0,0.0,0.0,1.82,3.32,0.0,1.82,9,1.0,0.0,0.0
03:00,9,11.5129,cukup,"BMKG,CMA,ECMWF,GFS,ICON,KMA,METEOFRANCE,METNO,UKMO",Cerah Berawan,84.8,Tinggi,20.8,+/-1.8,87.94,+/-3.87,0.0,+/-0.0,20.8,+/-1.8,45.5,49.8,4.7,0.0,0.0,0.0,1.8,3.87,0.0,1.8,9,1.0,6.67,60.0
04:00,9,11.5129,cukup,"BMKG,CMA,ECMWF,GFS,ICON,KMA,METEOFRANCE,METNO,UKMO",Cerah,89.4,Tinggi,20.27,+/-1.87,87.96,+/-3.88,0.0,+/-0.0,20.27,+/-1.87,68.1,27.2,4.7,0.0,0.0,0.0,1.87,3.88,0.0,1.87,9,1.0,6.67,60.0
05:00,9,11.9204,cukup,"BMKG,CMA,ECMWF,GFS,ICON,KMA,METEOFRANCE,METNO,UKMO",Cerah,90.9,Tinggi,19.28,+/-0.97,88.31,+/-3.51,0.0,+/-0.0,19.28,+/-0.97,69.2,26.3,4.5,0.0,0.0,0.0,0.97,3.51,0.0,0.97,9,1.0,0.0,0.0
06:00,9,11.5129,cukup,"BMKG,CMA,ECMWF,GFS,ICON,KMA,METEOFRANCE,METNO,UKMO",Cerah,89.8,Tinggi,19.16,+/-0.98,88.59,+/-3.83,0.0,+/-0.0,19.16,+/-0.98,68.1,27.2,4.7,0.0,0.0,0.0,0.98,3.83,0.0,0.98,9,1.0,6.67,60.0
07:00,9,11.5129,cukup,"BMKG,CMA,ECMWF,GFS,ICON,KMA,METEOFRANCE,METNO,UKMO",Cerah,85.9,Tinggi,21.5,+/-1.71,81.24,+/-7.6,0.0,+/-0.0,21.5,+/-1.71,55.2,40.1,4.7,0.0,0.0,0.0,1.71,7.6,0.0,1.71,9,1.0,6.67,60.0
08:00,9,11.9204,cukup,"BMKG,CMA,ECMWF,GFS,ICON,KMA,METEOFRANCE,METNO,UKMO",Cerah,88.5,Tinggi,23.03,+/-0.65,70.88,+/-5.06,0.0,+/-0.0,23.03,+/-0.65,59.2,24.9,15.9,0.0,0.0,0.0,0.65,5.06,0.0,0.65,9,1.0,0.0,0.0
09:00,9,11.5129,cukup,"BMKG,CMA,ECMWF,GFS,ICON,KMA,METEOFRANCE,METNO,UKMO",Cerah,90.4,Tinggi,25.22,+/-0.91,60.6,+/-4.34,0.0,+/-0.0,25.31,+/-1.08,70.6,24.7,4.7,0.0,0.0,0.0,0.91,4.34,0.0,1.08,9,1.0,6.67,60.0
10:00,9,11.5129,cukup,"BMKG,CMA,ECMWF,GFS,ICON,KMA,METEOFRANCE,METNO,UKMO",Cerah,86.7,Tinggi,28.27,+/-1.56,49.0,+/-6.21,0.0,+/-0.0,28.78,+/-2.13,57.7,25.8,16.5,0.0,0.0,0.0,1.56,6.21,0.0,2.13,9,1.0,6.67,60.0
11:00,9,11.9204,cukup,"BMKG,CMA,ECMWF,GFS,ICON,KMA,METEOFRANCE,METNO,UKMO",Cerah,91.1,Tinggi,29.84,+/-1.6,42.62,+/-5.55,0.0,+/-0.0,30.25,+/-2.05,71.6,12.5,15.9,0.0,0.0,0.0,1.6,5.55,0.0,2.05,9,1.0,0.0,0.0
12:00,9,11.5129,cukup,"BMKG,CMA,ECMWF,GFS,ICON,KMA,METEOFRANCE,METNO,UKMO",Cerah,89.9,Tinggi,31.08,+/-1.69,38.14,+/-5.63,0.0,+/-0.0,31.47,+/-2.26,70.6,12.9,16.5,0.0,0.0,0.0,1.69,5.63,0.0,2.26,9,1.0,6.67,60.0
13:00,9,11.5129,cukup,"BMKG,CMA,ECMWF,GFS,ICON,KMA,METEOFRANCE,METNO,UKMO",Cerah,89.8,Tinggi,31.86,+/-1.79,36.04,+/-6.31,0.0,+/-0.0,32.26,+/-2.44,70.6,12.9,16.5,0.0,0.0,0.0,1.79,6.31,0.0,2.44,9,1.0,6.67,60.0
14:00,9,11.9204,cukup,"BMKG,CMA,ECMWF,GFS,ICON,KMA,METEOFRANCE,METNO,UKMO",Cerah,88.1,Tinggi,31.77,+/-1.8,36.25,+/-6.57,0.0,+/-0.0,31.36,+/-1.46,60.6,23.5,15.9,0.0,0.0,0.0,1.8,6.57,0.0,1.46,9,1.0,0.0,0.0
15:00,9,11.5129,cukup,"BMKG,CMA,ECMWF,GFS,ICON,KMA,METEOFRANCE,METNO,UKMO",Cerah,83.7,Tinggi,31.37,+/-1.81,38.37,+/-7.08,0.0,+/-0.0,31.79,+/-2.48,46.3,37.1,16.5,0.0,0.0,0.0,1.81,7.08,0.0,2.48,9,1.0,6.67,60.0
16:00,9,11.5129,cukup,"BMKG,CMA,ECMWF,GFS,ICON,KMA,METEOFRANCE,METNO,UKMO",Cerah Berawan,83.9,Tinggi,30.3,+/-2.4,43.97,+/-9.53,0.0,+/-0.0,30.93,+/-3.03,46.3,49.0,4.7,0.0,0.0,0.0,2.4,9.53,0.0,3.03,9,1.0,6.67,60.0
17:00,9,11.9204,cukup,"BMKG,CMA,ECMWF,GFS,ICON,KMA,METEOFRANCE,METNO,UKMO",Cerah,84.7,Tinggi,28.8,+/-2.18,51.13,+/-8.97,0.0,+/-0.0,29.48,+/-0.89,48.2,35.9,15.9,0.0,0.0,0.0,2.18,8.97,0.0,0.89,9,1.0,0.0,0.0
18:00,9,11.5129,cukup,"BMKG,CMA,ECMWF,GFS,ICON,KMA,METEOFRANCE,METNO,UKMO",Cerah,83.3,Tinggi,26.86,+/-2.02,61.03,+/-10.1,0.01,+/-0.03,27.65,+/-3.3,46.3,37.1,4.7,11.8,0.0,0.0,2.02,10.1,0.03,3.3,9,1.0,6.67,60.0
19:00,9,11.5129,cukup,"BMKG,CMA,ECMWF,GFS,ICON,KMA,METEOFRANCE,METNO,UKMO",Cerah,83.9,Tinggi,25.11,+/-2.11,76.9,+/-2.52,0.01,+/-0.03,24.71,+/-1.95,46.3,37.1,4.7,11.8,0.0,0.0,2.11,2.52,0.03,1.95,9,1.0,6.67,60.0
20:00,9,11.9204,cukup,"BMKG,CMA,ECMWF,GFS,ICON,KMA,METEOFRANCE,METNO,UKMO",Cerah,88.0,Tinggi,24.01,+/-1.7,79.88,+/-4.45,0.0,+/-0.0,23.45,+/-1.0,59.2,24.9,15.9,0.0,0.0,0.0,1.7,4.45,0.0,1.0,9,1.0,0.0,0.0
21:00,9,11.5129,cukup,"BMKG,CMA,ECMWF,GFS,ICON,KMA,METEOFRANCE,METNO,UKMO",Cerah,87.1,Tinggi,22.78,+/-0.67,81.97,+/-7.28,0.0,+/-0.0,22.78,+/-0.67,57.7,12.9,29.4,0.0,0.0,0.0,0.67,7.28,0.0,0.67,9,1.0,6.67,60.0
22:00,9,11.5129,cukup,"BMKG,CMA,ECMWF,GFS,ICON,KMA,METEOFRANCE,METNO,UKMO",Berawan,82.7,Tinggi,22.01,+/-0.61,88.24,+/-3.65,0.0,+/-0.0,22.01,+/-0.61,33.7,27.3,39.1,0.0,0.0,0.0,0.61,3.65,0.0,0.61,9,1.0,6.67,60.0
23:00,9,11.9204,cukup,"BMKG,CMA,ECMWF,GFS,ICON,KMA,METEOFRANCE,METNO,UKMO",Cerah,85.1,Tinggi,21.42,+/-0.37,88.43,+/-5.34,0.0,+/-0.0,21.42,+/-0.37,45.3,37.8,16.9,0.0,0.0,0.0,0.37,5.34,0.0,0.37,9,1.0,0.0,0.0
