jam,sources_used,weight_total,coverage_status,source_list,dominant_category,confidence_score,confidence_label,temp_mean,temp_error,rh_mean,rh_error,rain_mean,rain_error,heat_index_mean,heat_index_error,%cerah,%cerah_berawan,%berawan,%hujan_ringan,%hujan_sedang,%hujan_lebat,temp_std,rh_std,rain_std,heat_index_std,sources_expected,coverage_fraction,gap_mean_minutes,gap_max_minutes
00:00,9,9.8863,cukup,"BMKG,CMA,ECMWF,GFS,ICON,KMA,METEOFRANCE,METNO,UKMO",Cerah Berawan,78.4,Sedang,20.97,+/-1.93,91.51,+/-3.89,0.0,+/-0.0,20.97,+/-1.93,31.9,38.4,29.7,0.0,0.0,0.0,1.93,3.89,0.0,1.93,9,1.0,13.33,120.0
01:00,9,10.2139,cukup,"BMKG,CMA,ECMWF,GFS,ICON,KMA,METEOFRANCE,METNO,UKMO",Cerah Berawan,79.2,Sedang,20.55,+/-2.12,92.53,+/-4.52,0.0,+/-0.0,20.55,+/-2.12,30.7,39.3,30.0,0.0,0.0,0.0,2.12,4.52,0.0,2.12,9,1.0,6.67,60.0
02:00,9,10.6234,cukup,"BMKG,CMA,ECMWF,GFS,ICON,KMA,METEOFRANCE,METNO,UKMO",Cerah Berawan,82.3,Tinggi,20.08,+/-2.18,93.42,+/-4.27,0.0,+/-0.0,20.08,+/-2.18,23.7,48.6,27.7,0.0,0.0,0.0,2.18,4.27,0.0,2.18,9,1.0,0.0,0.0
03:00,9,10.2139,cukup,"BMKG,CMA,ECMWF,GFS,ICON,KMA,METEOFRANCE,METNO,UKMO",Cerah Berawan,82.7,Tinggi,19.01,+/-1.58,93.62,+/-3.56,0.0,+/-0.0,19.01,+/-1.58,30.7,52.0,17.3,0.0,0.0,0.0,1.58,3.56,0.0,1.58,9,1.0,6.67,60.0
04:00,9,10.2139,cukup,"BMKG,CMA,ECMWF,GFS,ICON,KMA,METEOFRANCE,METNO,UKMO",Cerah Berawan,82.3,Tinggi,19.06,+/-2.43,94.02,+/-3.39,0.0,+/-0.0,19.06,+/-2.43,18.7,52.0,29.4,0.0,0.0,0.0,2.43,3.39,0.0,2.43,9,1.0,6.67,60.0
05:00,9,10.6234,cukup,"BMKG,CMA,ECMWF,GFS,ICON,KMA,METEOFRANCE,METNO,UKMO",Cerah,80.6,Tinggi,18.73,+/-2.26,93.71,+/-4.42,0.0,+/-0.0,18.73,+/-2.26,41.8,26.1,32.1,0.0,0.0,0.0,2.26,4.42,0.0,2.26,9,1.0,0.0,0.0
06:00,9,10.2139,cukup,"BMKG,CMA,ECMWF,GFS,ICON,KMA,METEOFRANCE,METNO,UKMO",Cerah,80.1,Tinggi,18.63,+/-2.05,93.05,+/-6.49,0.0,+/-0.0,18.63,+/-2.05,43.5,27.1,29.4,0.0,0.0,0.0,2.05,6.49,0.0,2.05,9,1.0,6.67,60.0
07:00,9,10.2139,cukup,"BMKG,CMA,ECMWF,GFS,ICON,KMA,METEOFRANCE,METNO,UKMO",Cerah,79.9,Sedang,20.35,+/-2.18,85.81,+/-10.58,0.0,+/-0.0,20.35,+/-2.18,44.1,38.5,17.3,0.0,0.0,0.0,2.18,10.58,0.0,2.18,9,1.0,6.67,60.0
08:00,9,10.6234,cukup,"BMKG,CMA,ECMWF,GFS,ICON,KMA,METEOFRANCE,METNO,UKMO",Cerah,85.2,Tinggi,22.22,+/-1.57,77.07,+/-8.35,0.0,+/-0.0,22.22,+/-1.57,60.2,35.8,4.0,0.0,0.0,0.0,1.57,8.35,0.0,1.57,9,1.0,0.0,0.0
09:00,9,10.2139,cukup,"BMKG,CMA,ECMWF,GFS,ICON,KMA,METEOFRANCE,METNO,UKMO",Cerah,93.8,Tinggi,23.81,+/-0.82,68.61,+/-6.07,0.0,+/-0.0,23.81,+/-0.82,95.8,0.0,4.2,0.0,0.0,0.0,0.82,6.07,0.0,0.82,9,1.0,6.67,60.0
10:00,9,10.2139,cukup,"BMKG,CMA,ECMWF,GFS,ICON,KMA,METEOFRANCE,METNO,UKMO",Cerah,86.4,Tinggi,26.41,+/-1.42,58.36,+/-8.6,0.0,+/-0.0,27.01,+/-2.26,68.2,27.7,4.2,0.0,0.0,0.0,1.42,8.6,0.0,2.26,9,1.0,6.67,60.0
11:00,9,10.6234,cukup,"BMKG,CMA,ECMWF,GFS,ICON,KMA,METEOFRANCE,METNO,UKMO",Cerah,85.1,Tinggi,27.7,+/-1.55,51.68,+/-8.65,0.0,+/-0.0,28.24,+/-2.34,59.7,36.3,4.0,0.0,0.0,0.0,1.55,8.65,0.0,2.34,9,1.0,0.0,0.0
12:00,9,10.2139,cukup,"BMKG,CMA,ECMWF,GFS,ICON,KMA,METEOFRANCE,METNO,UKMO",Cerah,87.1,Tinggi,28.75,+/-1.68,47.02,+/-9.03,0.0,+/-0.0,29.25,+/-2.46,71.3,24.5,4.2,0.0,0.0,0.0,1.68,9.03,0.0,2.46,9,1.0,6.67,60.0
13:00,9,10.2139,cukup,"BMKG,CMA,ECMWF,GFS,ICON,KMA,METEOFRANCE,METNO,UKMO",Cerah,85.2,Tinggi,29.56,+/-1.69,41.39,+/-5.65,0.0,+/-0.0,29.97,+/-2.5,62.7,33.2,4.2,0.0,0.0,0.0,1.69,5.65,0.0,2.5,9,1.0,6.67,60.0
14:00,9,10.6234,cukup,"BMKG,CMA,ECMWF,GFS,ICON,KMA,METEOFRANCE,METNO,UKMO",Cerah,82.2,Tinggi,29.53,+/-1.69,43.84,+/-9.27,0.0,+/-0.0,29.93,+/-2.45,48.8,47.2,4.0,0.0,0.0,0.0,1.69,9.27,0.0,2.45,9,1.0,0.0,0.0
15:00,9,10.2139,cukup,"BMKG,CMA,ECMWF,GFS,ICON,KMA,METEOFRANCE,METNO,UKMO",Cerah Berawan,88.1,Tinggi,29.21,+/-1.5,45.47,+/-9.44,0.0,+/-0.0,29.66,+/-2.23,20.7,75.2,4.2,0.0,0.0,0.0,1.5,9.44,0.0,2.23,9,1.0,6.67,60.0
16:00,9,10.2139,cukup,"BMKG,CMA,ECMWF,GFS,ICON,KMA,METEOFRANCE,METNO,UKMO",Cerah Berawan,84.3,Tinggi,27.86,+/-2.26,51.43,+/-10.73,0.0,+/-0.0,28.36,+/-2.84,34.1,61.8,4.2,0.0,0.0,0.0,2.26,10.73,0.0,2.84,9,1.0,6.67,60.0
17:00,9,10.6234,cukup,"BMKG,CMA,ECMWF,GFS,ICON,KMA,METEOFRANCE,METNO,UKMO",Cerah,82.5,Tinggi,26.52,+/-1.99,57.37,+/-9.59,0.0,+/-0.0,26.97,+/-2.72,50.6,45.5,4.0,0.0,0.0,0.0,1.99,9.59,0.0,2.72,9,1.0,0.0,0.0
18:00,9,10.2139,cukup,"BMKG,CMA,ECMWF,GFS,ICON,KMA,METEOFRANCE,METNO,UKMO",Cerah,86.9,Tinggi,25.0,+/-1.81,65.1,+/-10.08,0.0,+/-0.0,24.5,+/-1.27,71.2,13.2,15.6,0.0,0.0,0.0,1.81,10.08,0.0,1.27,9,1.0,6.67,60.0
19:00,9,10.2139,cukup,"BMKG,CMA,ECMWF,GFS,ICON,KMA,METEOFRANCE,METNO,UKMO",Cerah,83.1,Tinggi,23.72,+/-1.97,71.91,+/-9.9,0.01,+/-0.03,23.16,+/-1.32,56.5,14.5,15.6,13.4,0.0,0.0,1.97,9.9,0.03,1.32,9,1.0,6.67,60.0
20:00,9,10.6234,cukup,"BMKG,CMA,ECMWF,GFS,ICON,KMA,METEOFRANCE,METNO,UKMO",Cerah,84.5,Tinggi,22.88,+/-1.87,76.54,+/-8.29,0.03,+/-0.07,22.31,+/-1.04,58.2,11.0,17.9,12.9,0.0,0.0,1.87,8.29,0.07,1.04,9,1.0,0.0,0.0
21:00,9,10.2139,cukup,"BMKG,CMA,ECMWF,GFS,ICON,KMA,METEOFRANCE,METNO,UKMO",Cerah,83.9,Tinggi,21.83,+/-0.76,80.27,+/-6.62,0.03,+/-0.07,21.83,+/-0.76,56.5,25.9,4.2,13.4,0.0,0.0,0.76,6.62,0.07,0.76,9,1.0,6.67,60.0
22:00,9,10.2139,cukup,"BMKG,CMA,ECMWF,GFS,ICON,KMA,METEOFRANCE,METNO,UKMO",Cerah,84.5,Tinggi,21.09,+/-1.15,83.92,+/-6.2,0.01,+/-0.03,21.09,+/-1.15,59.3,14.5,12.8,13.4,0.0,0.0,1.15,6.2,0.03,1.15,9,1.0,6.67,60.0
23:00,9,10.6234,cukup,"BMKG,CMA,ECMWF,GFS,ICON,KMA,METEOFRANCE,METNO,UKMO",Cerah,86.3,Tinggi,20.58,+/-1.19,85.92,+/-4.85,0.0,+/-0.0,20.58,+/-1.19,62.7,12.1,25.2,0.0,0.0,0.0,1.19,4.85,0.0,1.19,9,1.0,0.0,0.0
