tanggal,jam,observed_datetime,temp_c,rh_pct,rain_mm,wind_kmh,weather_code,category
02-09-2026,00:00,2026-09-02 00:00:00,22.8,79.0,0.0,2.7,1,Cerah Berawan
02-09-2026,01:00,2026-09-02 01:00:00,21.7,85.0,0.0,2.9,1,Cerah Berawan
02-09-2026,02:00,2026-09-02 02:00:00,21.7,82.0,0.0,3.2,1,Cerah Berawan
02-09-2026,03:00,2026-09-02 03:00:00,21.9,77.0,0.0,3.4,3,Berawan
02-09-2026,04:00,2026-09-02 04:00:00,21.5,77.0,0.0,3.3,3,Berawan
02-09-2026,05:00,2026-09-02 05:00:00,20.9,78.0,0.0,3.8,2,Cerah Berawan
02-09-2026,06:00,2026-09-02 06:00:00,20.4,80.0,0.0,4.4,2,Cerah Berawan
02-09-2026,07:00,2026-09-02 07:00:00,21.5,69.0,0.0,4.5,0,Cerah
02-09-2026,08:00,2026-09-02 08:00:00,23.4,57.0,0.0,3.9,0,Cerah
02-09-2026,09:00,2026-09-02 09:00:00,25.9,40.0,0.0,5.5,0,Cerah
02-09-2026,10:00,2026-09-02 10:00:00,28.2,35.0,0.0,5.5,0,Cerah
02-09-2026,11:00,2026-09-02 11:00:00,30.1,34.0,0.0,6.9,0,Cerah
02-09-2026,12:00,2026-09-02 12:00:00,31.9,33.0,0.0,8.5,0,Cerah
02-09-2026,13:00,2026-09-02 13:00:00,32.9,29.0,0.0,4.2,0,Cerah
02-09-2026,14:00,2026-09-02 14:00:00,33.4,28.0,0.0,4.2,0,Cerah
02-09-2026,15:00,2026-09-02 15:00:00,32.4,31.0,0.0,6.5,0,Cerah
02-09-2026,16:00,2026-09-02 16:00:00,31.5,35.0,0.0,7.2,0,Cerah
02-09-2026,17:00,2026-09-02 17:00:00,30.3,37.0,0.0,4.8,1,Cerah Berawan
02-09-2026,18:00,2026-09-02 18:00:00,29.0,40.0,0.0,1.1,0,Cerah
02-09-2026,19:00,2026-09-02 19:00:00,27.5,46.0,0.0,1.4,0,Cerah
02-09-2026,20:00,2026-09-02 20:00:00,26.4,51.0,0.0,1.5,0,Cerah
02-09-2026,21:00,2026-09-02 21:00:00,25.5,57.0,0.0,2.6,0,Cerah
02-09-2026,22:00,2026-09-02 22:00:00,24.6,64.0,0.0,3.7,0,Cerah
02-09-2026,23:00,2026-09-02 23:00:00,23.7,70.0,0.0,6.2,0,Cerah
