target_date,source_id,jam,temp_error,rh_error,rain_error,category_score,overall_score
2026-06-12,BMKG,13:00,6.0,31.0,,60.0,54.87
2026-06-12,BMKG,14:00,6.4,32.0,,60.0,53.1
2026-06-12,BMKG,15:00,6.0,31.0,,60.0,54.87
2026-06-12,BMKG,16:00,4.6,27.0,,60.0,61.27
2026-06-12,BMKG,17:00,3.1,18.0,,60.0,69.9
2026-06-12,BMKG,18:00,4.7,26.0,,60.0,61.3
2026-06-12,BMKG,19:00,4.5,21.0,,60.0,63.88
2026-06-12,BMKG,20:00,3.9,16.0,,60.0,67.85
2026-06-12,BMKG,21:00,4.2,17.0,,100.0,78.92
2026-06-12,BMKG,22:00,3.4,12.0,,60.0,71.1
2026-06-12,BMKG,23:00,2.4,7.0,,100.0,88.98
2026-06-12,CMA,00:00,0.3,4.0,0.0,60.0,87.96
2026-06-12,CMA,01:00,0.1,3.0,0.0,60.0,88.82
2026-06-12,CMA,02:00,0.3,1.0,0.0,60.0,88.86
2026-06-12,CMA,03:00,1.4,4.0,0.0,60.0,84.88
2026-06-12,CMA,04:00,2.1,4.0,0.0,60.0,82.92
2026-06-12,CMA,05:00,2.7,7.0,0.0,60.0,80.34
2026-06-12,CMA,06:00,3.4,12.0,0.0,60.0,76.88
2026-06-12,CMA,07:00,2.8,15.0,0.0,60.0,77.66
2026-06-12,CMA,08:00,1.3,8.0,0.0,100.0,93.96
2026-06-12,CMA,09:00,0.4,3.0,0.0,100.0,97.98
2026-06-12,CMA,10:00,0.5,1.0,0.0,60.0,88.3
2026-06-12,CMA,11:00,1.3,4.0,0.0,60.0,85.16
2026-06-12,CMA,12:00,2.2,8.0,0.0,60.0,81.44
2026-06-12,CMA,13:00,3.0,15.0,0.0,60.0,77.1
2026-06-12,CMA,14:00,3.4,17.0,0.0,100.0,85.38
2026-06-12,CMA,15:00,3.3,20.0,0.0,100.0,84.76
2026-06-12,CMA,16:00,2.5,20.0,0.0,100.0,87.0
2026-06-12,CMA,17:00,1.9,17.0,0.0,100.0,89.58
2026-06-12,CMA,18:00,1.7,16.0,0.0,60.0,80.44
2026-06-12,CMA,19:00,2.4,17.0,0.0,60.0,78.18
2026-06-12,CMA,20:00,2.3,17.0,0.0,60.0,78.46
2026-06-12,CMA,21:00,1.8,18.0,0.0,100.0,89.56
2026-06-12,CMA,22:00,1.1,16.0,0.0,60.0,82.12
2026-06-12,CMA,23:00,0.3,11.0,0.0,60.0,85.86
2026-06-12,ECMWF,00:00,3.0,5.0,0.0,100.0,90.1
2026-06-12,ECMWF,01:00,3.4,4.0,0.0,100.0,89.28
2026-06-12,ECMWF,02:00,3.3,3.0,0.0,60.0,79.86
2026-06-12,ECMWF,03:00,2.6,6.0,0.0,100.0,90.92
2026-06-12,ECMWF,04:00,2.0,6.0,0.0,100.0,92.6
2026-06-12,ECMWF,05:00,1.5,6.0,0.0,60.0,84.0
2026-06-12,ECMWF,06:00,0.7,7.0,0.0,60.0,85.94
2026-06-12,ECMWF,07:00,1.0,9.0,0.0,60.0,84.5
2026-06-12,ECMWF,08:00,1.6,6.0,0.0,100.0,93.72
2026-06-12,ECMWF,09:00,1.4,8.0,0.0,100.0,93.68
2026-06-12,ECMWF,10:00,1.3,8.0,0.0,60.0,83.96
2026-06-12,ECMWF,11:00,1.5,6.0,0.0,60.0,84.0
2026-06-12,ECMWF,12:00,2.1,1.0,0.0,60.0,83.82
2026-06-12,ECMWF,13:00,2.7,8.0,0.0,60.0,80.04
2026-06-12,ECMWF,14:00,3.4,14.0,0.0,100.0,86.28
2026-06-12,ECMWF,15:00,3.7,21.0,0.0,100.0,83.34
2026-06-12,ECMWF,16:00,3.2,24.0,0.0,100.0,83.84
2026-06-12,ECMWF,17:00,2.9,21.0,0.1,0.0,60.18
2026-06-12,ECMWF,18:00,2.9,19.0,0.1,0.0,60.78
2026-06-12,ECMWF,19:00,3.9,19.0,0.1,0.0,57.98
2026-06-12,ECMWF,20:00,4.0,16.0,0.0,100.0,84.0
2026-06-12,ECMWF,21:00,3.8,15.0,0.0,60.0,74.86
2026-06-12,ECMWF,22:00,3.5,10.0,0.0,100.0,87.2
