jam,cuaca,suhu_C,kelembapan_RH_pct,heat_index_C,terasa_seperti_C,dew_point_C,tekanan_udara_hpa,peluang_hujan_pct,curah_hujan_p50_mm,curah_hujan_p90_mm,angin_kmh,hembusan_angin_p90_kmh,arah_angin_derajat,tutupan_awan_pct,jarak_pandang_p10_m,indeks_uv,risiko_hujan,saran
00:00,Cerah,21.0,85.0,21.0,23.7,18.7,1014.8,0.0,0.0,0.0,3.8,15.5,152.0,7.0,1120.0,0.0,low,Risiko relatif terkendali; keputusan normal masih masuk akal dengan pemantauan berkala.
01:00,Cerah,20.2,88.0,20.2,22.9,18.4,1014.2,0.5,0.0,0.0,4.6,14.0,146.0,9.0,1000.0,0.0,low,Risiko relatif terkendali; keputusan normal masih masuk akal dengan pemantauan berkala.
02:00,Cerah,19.4,89.0,19.4,22.1,18.0,1013.9,0.0,0.0,0.0,5.1,12.2,142.0,16.0,10660.0,0.0,low,Risiko relatif terkendali; keputusan normal masih masuk akal dengan pemantauan berkala.
03:00,Cerah,18.7,89.0,18.7,21.2,17.4,1013.8,0.0,0.0,0.0,5.1,11.9,131.0,24.0,20340.0,0.0,low,Risiko relatif terkendali; keputusan normal masih masuk akal dengan pemantauan berkala.
04:00,Cerah,18.2,87.0,18.2,20.7,17.1,1014.0,0.0,0.0,0.0,3.7,14.4,130.0,31.0,20740.0,0.0,low,Risiko relatif terkendali; keputusan normal masih masuk akal dengan pemantauan berkala.
05:00,Cerah,18.0,87.0,18.0,20.6,16.8,1014.4,0.0,0.0,0.0,4.0,15.1,128.0,31.0,20420.0,0.0,low,Risiko relatif terkendali; keputusan normal masih masuk akal dengan pemantauan berkala.
06:00,Cerah,17.7,88.0,17.7,20.6,16.6,1015.1,0.0,0.0,0.0,4.68,15.1,128.0,19.0,20200.0,0.0,low,Risiko relatif terkendali; keputusan normal masih masuk akal dengan pemantauan berkala.
07:00,Cerah,19.7,80.0,19.7,22.2,16.9,1015.7,0.0,0.0,0.0,5.0,15.8,123.0,12.0,21560.0,0.6,low,"Window relatif baik untuk aktivitas luar ruang, tetapi tetap cek update menjelang siang."
08:00,Cerah,22.3,66.0,22.3,25.4,17.1,1016.0,0.0,0.0,0.0,3.7,17.6,118.0,4.0,23240.0,2.4,low,"Window relatif baik untuk aktivitas luar ruang, tetapi tetap cek update menjelang siang."
09:00,Cerah,24.7,57.2,24.7,28.9,17.1,1016.0,0.0,0.0,0.0,3.96,19.8,93.0,2.0,24140.0,4.6,low,"Window relatif baik untuk aktivitas luar ruang, tetapi tetap cek update menjelang siang."
10:00,Cerah,27.3,48.0,27.57,32.4,16.6,1015.3,0.0,0.0,0.0,4.7,21.6,77.0,1.0,24140.0,6.8,low,"Window relatif baik untuk aktivitas luar ruang, tetapi tetap cek update menjelang siang."
11:00,Cerah,29.0,42.0,29.0,34.7,16.0,1014.1,1.0,0.0,0.0,5.1,24.5,230.0,0.0,24140.0,8.3,low,"Window relatif baik untuk aktivitas luar ruang, tetapi tetap cek update menjelang siang."
12:00,Cerah,29.9,40.0,29.9,35.8,15.5,1012.7,6.9,0.0,0.6,8.0,29.5,222.0,5.0,24140.0,9.1,low,Risiko relatif terkendali; keputusan normal masih masuk akal dengan pemantauan berkala.
13:00,Cerah,29.9,40.0,29.9,35.8,15.4,1011.5,10.4,0.0,0.3,11.2,33.8,205.0,3.0,19360.0,8.9,low,Risiko relatif terkendali; keputusan normal masih masuk akal dengan pemantauan berkala.
14:00,Cerah,30.0,40.0,30.0,34.4,15.1,1010.8,12.6,0.0,0.2,12.1,36.4,205.0,10.0,21540.0,7.8,low,Risiko relatif terkendali; keputusan normal masih masuk akal dengan pemantauan berkala.
15:00,Cerah Berawan,29.6,41.0,29.6,33.0,15.3,1010.3,16.6,0.0,0.5,11.6,37.4,206.0,21.0,23700.0,6.0,low,Risiko relatif terkendali; keputusan normal masih masuk akal dengan pemantauan berkala.
16:00,Cerah Berawan,28.8,44.0,28.8,31.3,15.7,1010.5,18.1,0.0,0.1,10.6,37.1,206.0,30.0,24140.0,3.8,low,Risiko relatif terkendali; keputusan normal masih masuk akal dengan pemantauan berkala.
17:00,Cerah Berawan,27.5,50.0,27.85,29.7,16.9,1011.2,12.9,0.0,0.0,9.7,33.8,145.0,38.0,24140.0,1.6,low,Risiko relatif terkendali; keputusan normal masih masuk akal dengan pemantauan berkala.
18:00,Cerah Berawan,26.2,58.0,26.2,28.1,17.7,1012.5,8.7,0.0,0.0,9.1,29.2,195.0,40.0,23780.0,0.2,low,Risiko relatif terkendali; keputusan normal masih masuk akal dengan pemantauan berkala.
19:00,Cerah,25.0,66.0,25.0,27.1,18.5,1013.7,7.8,0.0,0.0,7.2,25.9,138.0,18.0,22720.0,0.0,low,Risiko relatif terkendali; keputusan normal masih masuk akal dengan pemantauan berkala.
20:00,Cerah Berawan,23.0,76.0,23.0,26.7,19.1,1014.7,9.6,0.0,0.0,5.4,23.0,147.0,41.0,20320.0,0.0,low,Risiko relatif terkendali; keputusan normal masih masuk akal dengan pemantauan berkala.
21:00,Cerah Berawan,23.0,77.0,23.0,26.3,19.5,1015.4,3.9,0.0,0.0,4.3,19.4,199.0,47.0,10660.0,0.0,low,Risiko relatif terkendali; keputusan normal masih masuk akal dengan pemantauan berkala.
22:00,Berawan,21.9,82.0,21.9,25.8,19.7,1015.7,2.0,0.0,0.0,3.2,15.5,188.0,65.0,980.0,0.0,low,Risiko relatif terkendali; keputusan normal masih masuk akal dengan pemantauan berkala.
23:00,Cerah Berawan,21.1,87.0,21.1,25.2,19.6,1015.6,8.0,0.0,0.2,3.6,11.9,175.0,61.0,1160.0,0.0,low,Risiko relatif terkendali; keputusan normal masih masuk akal dengan pemantauan berkala.
