location_slug,target_date,jam,dominant_category,confidence_score,confidence_label,sources_used,sources_expected,coverage_fraction,weight_total,temp_mean,temp_std,rh_mean,rh_std,rain_mean,rain_std,heat_index_mean,heat_index_std,gap_mean_minutes,gap_max_minutes,pct_cerah,pct_cerah_berawan,pct_berawan,pct_hujan_ringan,pct_hujan_sedang,pct_hujan_lebat
dago,2026-07-20,00:00,Cerah,70.0,Sedang,7,9,0.7778,8.8185,21.1,1.75,86.2,3.38,0.0,0.0,21.1,1.75,0.0,0.0,42.6,16.5,40.9,0.0,0.0,0.0
dago,2026-07-20,01:00,Cerah Berawan,71.2,Sedang,7,9,0.7778,8.8185,20.74,1.71,85.59,3.85,0.0,0.0,20.74,1.71,0.0,0.0,27.6,47.8,24.6,0.0,0.0,0.0
dago,2026-07-20,02:00,Berawan,69.2,Sedang,7,9,0.7778,8.8185,20.16,1.72,87.01,4.15,0.0,0.0,20.16,1.72,0.0,0.0,27.6,32.8,39.6,0.0,0.0,0.0
dago,2026-07-20,03:00,Cerah Berawan,70.6,Sedang,7,9,0.7778,8.8185,19.67,1.76,88.32,5.0,0.0,0.0,19.67,1.76,0.0,0.0,14.7,45.7,39.6,0.0,0.0,0.0
dago,2026-07-20,04:00,Cerah Berawan,74.2,Sedang,7,9,0.7778,8.8185,19.31,1.85,88.73,5.24,0.0,0.0,19.31,1.85,0.0,0.0,0.0,60.4,39.6,0.0,0.0,0.0
dago,2026-07-20,05:00,Cerah Berawan,74.5,Sedang,7,9,0.7778,8.8185,18.34,1.2,88.85,4.95,0.0,0.0,18.34,1.2,0.0,0.0,0.0,60.4,39.6,0.0,0.0,0.0
dago,2026-07-20,06:00,Cerah Berawan,75.6,Sedang,7,9,0.7778,8.8185,18.9,1.82,88.11,5.23,0.0,0.0,18.9,1.82,0.0,0.0,12.9,66.1,21.0,0.0,0.0,0.0
dago,2026-07-20,07:00,Cerah Berawan,75.7,Sedang,7,9,0.7778,8.8185,19.66,1.6,84.14,5.35,0.0,0.0,19.66,1.6,0.0,0.0,12.9,66.1,21.0,0.0,0.0,0.0
dago,2026-07-20,08:00,Cerah Berawan,72.6,Sedang,7,9,0.7778,8.8185,20.98,0.64,75.49,4.04,0.0,0.0,20.98,0.64,0.0,0.0,27.6,51.4,21.0,0.0,0.0,0.0
dago,2026-07-20,09:00,Berawan,73.0,Sedang,7,9,0.7778,8.8185,23.17,0.67,66.1,1.12,0.0,0.0,23.17,0.67,0.0,0.0,12.9,35.1,52.0,0.0,0.0,0.0
dago,2026-07-20,10:00,Berawan,72.9,Sedang,7,9,0.7778,8.8185,25.64,1.56,56.44,2.25,0.0,0.0,25.02,0.85,0.0,0.0,12.9,33.3,53.8,0.0,0.0,0.0
dago,2026-07-20,11:00,Cerah Berawan,71.9,Sedang,7,9,0.7778,8.8185,27.03,1.66,50.0,1.97,0.0,0.0,27.4,2.17,0.0,0.0,12.9,49.8,37.3,0.0,0.0,0.0
dago,2026-07-20,12:00,Cerah Berawan,74.7,Sedang,7,9,0.7778,8.8185,28.07,1.63,45.58,3.34,0.0,0.0,28.41,2.26,0.0,0.0,0.0,61.2,38.8,0.0,0.0,0.0
dago,2026-07-20,13:00,Berawan,77.7,Sedang,7,9,0.7778,8.8185,28.71,1.57,40.92,1.0,0.0,0.0,29.18,2.42,0.0,0.0,0.0,27.6,72.4,0.0,0.0,0.0
dago,2026-07-20,14:00,Cerah Berawan,74.9,Sedang,7,9,0.7778,8.8185,28.66,1.47,44.98,6.38,0.0,0.0,28.19,1.15,0.0,0.0,0.0,62.7,37.3,0.0,0.0,0.0
dago,2026-07-20,15:00,Berawan,72.0,Sedang,7,9,0.7778,8.8185,28.13,1.59,50.79,8.92,0.0,0.0,28.81,2.66,0.0,0.0,0.0,48.0,52.0,0.0,0.0,0.0
dago,2026-07-20,16:00,Berawan,88.0,Tinggi,9,9,1.0,10.472,26.69,2.31,57.15,10.75,0.0,0.0,27.19,3.06,33.33,180.0,10.8,15.6,73.5,0.0,0.0,0.0
