location_slug,target_date,jam,dominant_category,confidence_score,confidence_label,sources_used,sources_expected,coverage_fraction,weight_total,temp_mean,temp_std,rh_mean,rh_std,rain_mean,rain_std,heat_index_mean,heat_index_std,gap_mean_minutes,gap_max_minutes,pct_cerah,pct_cerah_berawan,pct_berawan,pct_hujan_ringan,pct_hujan_sedang,pct_hujan_lebat
dago,2026-09-19,00:00,Cerah Berawan,73.9,Sedang,7,9,0.7778,8.6994,22.02,1.99,88.2,4.88,0.65,1.06,22.02,1.99,0.0,0.0,0.0,65.0,6.0,12.7,16.3,0.0
dago,2026-09-19,01:00,Cerah Berawan,69.6,Sedang,7,9,0.7778,8.6994,21.75,2.12,90.0,4.78,0.82,1.42,21.75,2.12,0.0,0.0,0.0,49.2,21.8,12.7,16.3,0.0
dago,2026-09-19,02:00,Cerah Berawan,67.0,Sedang,7,9,0.7778,8.6994,21.48,2.18,90.26,4.63,0.24,0.37,21.48,2.18,0.0,0.0,13.8,35.4,21.8,29.0,0.0,0.0
dago,2026-09-19,03:00,Cerah,65.5,Sedang,7,9,0.7778,8.6994,21.32,2.22,90.16,4.68,0.2,0.35,21.32,2.22,0.0,0.0,29.7,19.5,21.8,29.0,0.0,0.0
dago,2026-09-19,04:00,Cerah Berawan,66.4,Sedang,7,9,0.7778,8.6994,21.15,2.23,90.04,4.77,0.2,0.35,21.15,2.23,0.0,0.0,15.9,33.3,21.8,29.0,0.0,0.0
dago,2026-09-19,05:00,Cerah Berawan,71.2,Sedang,7,9,0.7778,8.6994,20.26,0.94,90.37,5.06,0.06,0.09,20.26,0.94,0.0,0.0,0.0,49.2,21.8,29.0,0.0,0.0
dago,2026-09-19,06:00,Cerah Berawan,74.6,Sedang,7,9,0.7778,8.6994,21.36,2.03,89.2,5.78,0.04,0.07,21.36,2.03,0.0,0.0,0.0,65.0,6.0,29.0,0.0,0.0
dago,2026-09-19,07:00,Cerah Berawan,79.1,Sedang,9,9,1.0,10.3665,23.1,2.02,80.21,10.95,0.16,0.43,23.18,2.19,33.33,180.0,20.5,41.2,18.7,19.6,0.0,0.0
dago,2026-09-19,08:00,Cerah Berawan,79.7,Sedang,9,9,1.0,10.637,24.57,1.32,72.44,11.8,0.14,0.43,24.65,1.48,20.0,120.0,32.9,40.2,18.2,8.7,0.0,0.0
dago,2026-09-19,09:00,Cerah,85.9,Tinggi,9,9,1.0,11.3109,26.21,1.24,65.0,11.99,0.17,0.48,26.96,2.27,6.67,60.0,59.6,24.7,4.6,11.1,0.0,0.0
dago,2026-09-19,10:00,Cerah Berawan,83.8,Tinggi,9,9,1.0,11.7304,27.85,1.61,58.47,10.62,0.22,0.54,28.97,2.81,0.0,0.0,32.9,48.3,4.5,14.3,0.0,0.0
dago,2026-09-19,11:00,Cerah Berawan,79.8,Sedang,9,9,1.0,11.3109,28.88,2.09,55.19,10.23,0.27,0.48,29.07,1.87,6.67,60.0,0.0,36.3,27.8,35.9,0.0,0.0
dago,2026-09-19,12:00,Hujan Ringan,88.4,Tinggi,9,9,1.0,11.3109,29.05,2.59,56.32,10.92,0.18,0.18,30.36,4.02,6.67,60.0,0.0,12.1,16.8,71.0,0.0,0.0
dago,2026-09-19,13:00,Hujan Ringan,89.7,Tinggi,9,9,1.0,11.7304,28.17,2.4,59.1,10.27,0.25,0.17,29.47,4.05,0.0,0.0,0.0,11.7,4.5,72.3,0.0,11.5
dago,2026-09-19,14:00,Hujan Ringan,91.2,Tinggi,9,9,1.0,11.3109,27.52,2.6,63.51,10.29,0.6,0.51,27.2,2.34,6.67,60.0,0.0,0.0,16.8,83.2,0.0,0.0
dago,2026-09-19,15:00,Hujan Ringan,88.3,Tinggi,9,9,1.0,11.3109,27.18,2.68,66.14,9.64,0.65,0.52,28.61,4.49,6.67,60.0,0.0,0.0,16.8,71.3,0.0,12.0
dago,2026-09-19,16:00,Hujan Ringan,92.6,Tinggi,9,9,1.0,11.7304,25.59,2.65,75.06,5.68,0.83,0.45,25.22,2.58,0.0,0.0,0.0,0.0,16.2,83.8,0.0,0.0
dago,2026-09-19,17:00,Hujan Ringan,89.2,Tinggi,9,9,1.0,11.3109,24.64,2.4,81.99,3.44,0.44,0.48,24.24,2.39,6.67,60.0,0.0,0.0,16.8,72.6,10.6,0.0
dago,2026-09-19,18:00,Hujan Ringan,80.6,Tinggi,9,9,1.0,11.3109,23.76,2.07,86.94,4.26,0.22,0.29,23.4,2.05,6.67,60.0,11.1,12.0,16.8,37.0,23.1,0.0
dago,2026-09-19,19:00,Hujan Ringan,84.2,Tinggi,9,9,1.0,11.7304,22.68,1.27,88.58,3.2,0.22,0.23,22.68,1.27,0.0,0.0,14.3,11.5,16.2,45.9,12.1,0.0
dago,2026-09-19,20:00,Hujan Ringan,80.3,Tinggi,9,9,1.0,11.3109,22.55,1.02,89.45,2.93,0.3,0.7,22.55,1.02,6.67,60.0,21.7,15.0,28.7,34.5,0.0,0.0
dago,2026-09-19,21:00,Cerah Berawan,84.3,Tinggi,9,9,1.0,11.3109,22.11,1.12,89.5,2.52,0.13,0.3,22.11,1.12,6.67,60.0,11.1,49.7,16.8,22.3,0.0,0.0
