date,day_tag,hour,condition,temp_c,humidity_pct,heat_index_c,rain_probability,wind_kmh,risk,risk_class
2026-06-14,Lusa,00:00,—,19.0,97.0,19.0,50.0,0.2,sedang,yellow
2026-06-14,Lusa,03:00,—,17.0,99.0,17.0,0.0,0.6,rendah,green
2026-06-14,Lusa,06:00,—,21.0,87.0,21.0,0.0,0.7,rendah,green
2026-06-14,Lusa,09:00,—,25.0,68.0,25.0,0.0,7.4,rendah,green
2026-06-14,Lusa,12:00,—,27.0,62.0,28.2,0.0,7.4,rendah,green
2026-06-14,Lusa,15:00,—,25.0,76.0,25.0,50.0,3.3,sedang,yellow
2026-06-14,Lusa,18:00,—,21.0,94.0,21.0,50.0,3.3,sedang,yellow
2026-06-14,Lusa,19:00,—,21.0,94.0,21.0,57.0,3.3,waspada,orange
2026-06-14,Lusa,21:00,—,20.0,97.0,20.0,50.0,1.8,sedang,yellow
2026-06-14,Lusa,22:00,—,20.0,97.0,20.0,57.0,1.8,waspada,orange
