tanggal,jam,suhu_C,cuaca,RH_%,wind_kmh
20-08-2026,00:00,19.0,Berawan,98.0,0.9
20-08-2026,01:00,19.0,Berawan,98.0,0.9
20-08-2026,02:00,18.0,Berawan,99.0,1.2
20-08-2026,03:00,18.0,Berawan,99.0,1.2
20-08-2026,04:00,18.0,Berawan,99.0,1.2
20-08-2026,05:00,19.0,Cerah Berawan,96.0,0.8
20-08-2026,06:00,19.0,Cerah Berawan,96.0,0.8
20-08-2026,07:00,19.0,Cerah Berawan,96.0,0.8
20-08-2026,08:00,26.0,Cerah Berawan,61.0,0.8
20-08-2026,09:00,26.0,Cerah Berawan,61.0,0.8
20-08-2026,10:00,26.0,Cerah Berawan,61.0,0.8
20-08-2026,11:00,28.0,Cerah,49.0,6.7
20-08-2026,12:00,28.0,Cerah,49.0,6.7
20-08-2026,13:00,28.0,Cerah,49.0,6.7
20-08-2026,14:00,28.0,Hujan Ringan,63.0,6.7
20-08-2026,15:00,28.0,Hujan Ringan,63.0,6.7
20-08-2026,16:00,28.0,Hujan Ringan,63.0,6.7
20-08-2026,17:00,26.0,Hujan Ringan,86.0,1.0
20-08-2026,18:00,26.0,Hujan Ringan,86.0,1.0
20-08-2026,19:00,26.0,Hujan Ringan,86.0,1.0
20-08-2026,20:00,22.0,Cerah,92.0,1.0
20-08-2026,21:00,22.0,Cerah,92.0,1.0
20-08-2026,22:00,22.0,Cerah,92.0,1.0
20-08-2026,23:00,22.0,Cerah,92.0,1.0
