tanggal,jam,suhu_C,cuaca,RH_%,wind_kmh
01-09-2026,00:00,19.0,Cerah,97.0,2.4
01-09-2026,01:00,19.0,Cerah,97.0,2.4
01-09-2026,02:00,19.0,Cerah,97.0,2.4
01-09-2026,03:00,18.0,Cerah Berawan,97.0,0.9
01-09-2026,04:00,18.0,Cerah Berawan,97.0,0.9
01-09-2026,05:00,18.0,Cerah Berawan,97.0,0.9
01-09-2026,06:00,22.0,Cerah,78.0,2.9
01-09-2026,07:00,22.0,Cerah,78.0,2.9
01-09-2026,08:00,22.0,Cerah,78.0,2.9
01-09-2026,09:00,28.0,Cerah,45.0,7.8
01-09-2026,10:00,28.0,Cerah,45.0,7.8
01-09-2026,11:00,28.0,Cerah,45.0,7.8
01-09-2026,12:00,31.0,Cerah Berawan,36.0,7.8
01-09-2026,13:00,31.0,Cerah Berawan,36.0,7.8
01-09-2026,14:00,31.0,Cerah Berawan,36.0,7.8
01-09-2026,15:00,28.0,Cerah,48.0,6.6
01-09-2026,16:00,28.0,Cerah,48.0,6.6
01-09-2026,17:00,28.0,Cerah,48.0,6.6
01-09-2026,18:00,22.0,Cerah,83.0,6.6
01-09-2026,19:00,22.0,Cerah,83.0,6.6
01-09-2026,20:00,22.0,Cerah,83.0,6.6
01-09-2026,21:00,21.0,Cerah,87.0,2.9
01-09-2026,22:00,21.0,Cerah,87.0,2.9
01-09-2026,23:00,21.0,Cerah,87.0,2.9
