jam,sources_used,weight_total,coverage_status,source_list,dominant_category,confidence_score,confidence_label,temp_mean,temp_error,rh_mean,rh_error,rain_mean,rain_error,heat_index_mean,heat_index_error,%cerah,%cerah_berawan,%berawan,%hujan_ringan,%hujan_sedang,%hujan_lebat,temp_std,rh_std,rain_std,heat_index_std,sources_expected,coverage_fraction,gap_mean_minutes,gap_max_minutes
00:00,9,12.12,cukup,"BMKG,CMA,ECMWF,GFS,ICON,KMA,METEOFRANCE,METNO,UKMO",Cerah,85.6,Tinggi,20.0,+/-2.04,92.12,+/-4.88,0.0,+/-0.0,20.0,+/-2.04,50.5,33.6,15.9,0.0,0.0,0.0,2.04,4.88,0.0,2.04,9,1.0,0.0,0.0
01:00,9,11.686,cukup,"BMKG,CMA,ECMWF,GFS,ICON,KMA,METEOFRANCE,METNO,UKMO",Cerah Berawan,84.3,Tinggi,19.48,+/-2.0,93.13,+/-4.5,0.0,+/-0.0,19.48,+/-2.0,34.9,48.6,16.5,0.0,0.0,0.0,2.0,4.5,0.0,2.0,9,1.0,6.67,60.0
02:00,9,11.686,cukup,"BMKG,CMA,ECMWF,GFS,ICON,KMA,METEOFRANCE,METNO,UKMO",Cerah Berawan,84.8,Tinggi,18.28,+/-1.02,93.75,+/-4.43,0.0,+/-0.0,18.28,+/-1.02,12.5,48.5,39.1,0.0,0.0,0.0,1.02,4.43,0.0,1.02,9,1.0,6.67,60.0
03:00,9,12.12,cukup,"BMKG,CMA,ECMWF,GFS,ICON,KMA,METEOFRANCE,METNO,UKMO",Cerah Berawan,85.2,Tinggi,17.88,+/-1.01,94.41,+/-4.87,0.0,+/-0.0,17.88,+/-1.01,12.0,46.7,41.2,0.0,0.0,0.0,1.01,4.87,0.0,1.01,9,1.0,0.0,0.0
04:00,9,11.686,cukup,"BMKG,CMA,ECMWF,GFS,ICON,KMA,METEOFRANCE,METNO,UKMO",Berawan,86.0,Tinggi,17.6,+/-1.14,94.26,+/-5.06,0.0,+/-0.0,17.6,+/-1.14,12.5,33.7,53.8,0.0,0.0,0.0,1.14,5.06,0.0,1.14,9,1.0,6.67,60.0
05:00,9,11.686,cukup,"BMKG,CMA,ECMWF,GFS,ICON,KMA,METEOFRANCE,METNO,UKMO",Cerah Berawan,83.8,Tinggi,17.43,+/-1.27,93.58,+/-5.25,0.0,+/-0.0,17.43,+/-1.27,12.5,45.5,42.0,0.0,0.0,0.0,1.27,5.25,0.0,1.27,9,1.0,6.67,60.0
06:00,9,12.12,cukup,"BMKG,CMA,ECMWF,GFS,ICON,KMA,METEOFRANCE,METNO,UKMO",Berawan,86.7,Tinggi,17.35,+/-1.44,94.83,+/-3.26,0.0,+/-0.0,17.35,+/-1.44,12.0,34.7,53.3,0.0,0.0,0.0,1.44,3.26,0.0,1.44,9,1.0,0.0,0.0
07:00,9,11.686,cukup,"BMKG,CMA,ECMWF,GFS,ICON,KMA,METEOFRANCE,METNO,UKMO",Berawan,85.5,Tinggi,18.97,+/-0.78,87.95,+/-7.06,0.0,+/-0.0,18.97,+/-0.78,23.8,24.7,51.6,0.0,0.0,0.0,0.78,7.06,0.0,0.78,9,1.0,6.67,60.0
08:00,9,11.686,cukup,"BMKG,CMA,ECMWF,GFS,ICON,KMA,METEOFRANCE,METNO,UKMO",Cerah Berawan,87.1,Tinggi,23.06,+/-1.56,71.85,+/-9.48,0.0,+/-0.0,23.06,+/-1.56,23.8,60.4,15.8,0.0,0.0,0.0,1.56,9.48,0.0,1.56,9,1.0,6.67,60.0
09:00,9,12.12,cukup,"BMKG,CMA,ECMWF,GFS,ICON,KMA,METEOFRANCE,METNO,UKMO",Cerah,88.2,Tinggi,25.39,+/-1.32,60.85,+/-5.78,0.0,+/-0.0,25.02,+/-0.97,59.6,21.6,18.8,0.0,0.0,0.0,1.32,5.78,0.0,0.97,9,1.0,0.0,0.0
10:00,9,11.686,cukup,"BMKG,CMA,ECMWF,GFS,ICON,KMA,METEOFRANCE,METNO,UKMO",Cerah,84.7,Tinggi,27.33,+/-1.61,53.16,+/-4.44,0.0,+/-0.0,27.82,+/-2.07,49.4,34.9,15.8,0.0,0.0,0.0,1.61,4.44,0.0,2.07,9,1.0,6.67,60.0
11:00,9,11.686,cukup,"BMKG,CMA,ECMWF,GFS,ICON,KMA,METEOFRANCE,METNO,UKMO",Cerah,93.0,Tinggi,29.11,+/-1.65,46.7,+/-5.17,0.0,+/-0.0,29.52,+/-1.94,82.9,12.5,4.6,0.0,0.0,0.0,1.65,5.17,0.0,1.94,9,1.0,6.67,60.0
12:00,9,12.12,cukup,"BMKG,CMA,ECMWF,GFS,ICON,KMA,METEOFRANCE,METNO,UKMO",Cerah,91.1,Tinggi,30.15,+/-1.81,43.27,+/-6.07,0.0,+/-0.0,30.55,+/-2.03,72.6,22.9,4.5,0.0,0.0,0.0,1.81,6.07,0.0,2.03,9,1.0,0.0,0.0
13:00,9,11.686,cukup,"BMKG,CMA,ECMWF,GFS,ICON,KMA,METEOFRANCE,METNO,UKMO",Cerah,83.8,Tinggi,30.8,+/-1.98,41.67,+/-6.84,0.02,+/-0.07,31.19,+/-2.19,47.6,36.3,4.6,11.4,0.0,0.0,1.98,6.84,0.07,2.19,9,1.0,6.67,60.0
14:00,9,11.686,cukup,"BMKG,CMA,ECMWF,GFS,ICON,KMA,METEOFRANCE,METNO,UKMO",Cerah Berawan,83.4,Tinggi,30.63,+/-2.38,43.02,+/-8.1,0.15,+/-0.35,31.12,+/-2.49,21.0,48.1,4.6,14.8,0.0,11.4,2.38,8.1,0.35,2.49,9,1.0,6.67,60.0
