jam,sources_used,weight_total,coverage_status,source_list,dominant_category,confidence_score,confidence_label,temp_mean,temp_error,rh_mean,rh_error,rain_mean,rain_error,heat_index_mean,heat_index_error,%cerah,%cerah_berawan,%berawan,%hujan_ringan,%hujan_sedang,%hujan_lebat,temp_std,rh_std,rain_std,heat_index_std,sources_expected,coverage_fraction,gap_mean_minutes,gap_max_minutes
00:00,9,11.295,cukup,"BMKG,CMA,ECMWF,GFS,ICON,KMA,METEOFRANCE,METNO,UKMO",Cerah,82.9,Tinggi,19.74,+/-2.11,94.54,+/-4.74,0.0,+/-0.0,19.74,+/-2.11,46.5,36.6,16.9,0.0,0.0,0.0,2.11,4.74,0.0,2.11,9,1.0,13.33,120.0
01:00,9,11.6451,cukup,"BMKG,CMA,ECMWF,GFS,ICON,KMA,METEOFRANCE,METNO,UKMO",Cerah,83.4,Tinggi,19.14,+/-2.14,95.39,+/-3.83,0.0,+/-0.0,19.14,+/-2.14,45.1,38.6,16.4,0.0,0.0,0.0,2.14,3.83,0.0,2.14,9,1.0,6.67,60.0
02:00,9,12.0827,cukup,"BMKG,CMA,ECMWF,GFS,ICON,KMA,METEOFRANCE,METNO,UKMO",Cerah Berawan,84.8,Tinggi,18.59,+/-2.15,95.84,+/-3.21,0.0,+/-0.0,18.59,+/-2.15,22.9,47.2,29.9,0.0,0.0,0.0,2.15,3.21,0.0,2.15,9,1.0,0.0,0.0
03:00,9,11.6451,cukup,"BMKG,CMA,ECMWF,GFS,ICON,KMA,METEOFRANCE,METNO,UKMO",Cerah,80.9,Tinggi,18.24,+/-2.15,95.31,+/-3.23,0.0,+/-0.0,18.24,+/-2.15,35.2,33.8,31.0,0.0,0.0,0.0,2.15,3.23,0.0,2.15,9,1.0,6.67,60.0
04:00,9,11.6451,cukup,"BMKG,CMA,ECMWF,GFS,ICON,KMA,METEOFRANCE,METNO,UKMO",Berawan,82.6,Tinggi,17.8,+/-2.29,95.05,+/-3.28,0.0,+/-0.0,17.8,+/-2.29,35.2,22.6,42.3,0.0,0.0,0.0,2.29,3.28,0.0,2.29,9,1.0,6.67,60.0
05:00,9,12.0827,cukup,"BMKG,CMA,ECMWF,GFS,ICON,KMA,METEOFRANCE,METNO,UKMO",Cerah Berawan,81.9,Tinggi,17.5,+/-2.24,94.96,+/-3.46,0.0,+/-0.0,17.5,+/-2.24,33.9,35.9,30.3,0.0,0.0,0.0,2.24,3.46,0.0,2.24,9,1.0,0.0,0.0
06:00,9,11.6451,cukup,"BMKG,CMA,ECMWF,GFS,ICON,KMA,METEOFRANCE,METNO,UKMO",Cerah Berawan,81.3,Tinggi,17.47,+/-2.19,94.27,+/-4.17,0.0,+/-0.0,17.47,+/-2.19,35.2,37.2,27.6,0.0,0.0,0.0,2.19,4.17,0.0,2.19,9,1.0,6.67,60.0
07:00,9,11.6451,cukup,"BMKG,CMA,ECMWF,GFS,ICON,KMA,METEOFRANCE,METNO,UKMO",Cerah,84.0,Tinggi,18.88,+/-1.5,87.42,+/-8.54,0.0,+/-0.0,18.88,+/-1.5,47.8,24.6,27.6,0.0,0.0,0.0,1.5,8.54,0.0,1.5,9,1.0,6.67,60.0
08:00,9,12.0827,cukup,"BMKG,CMA,ECMWF,GFS,ICON,KMA,METEOFRANCE,METNO,UKMO",Cerah,84.7,Tinggi,21.47,+/-1.2,77.99,+/-7.67,0.0,+/-0.0,21.47,+/-1.2,46.1,34.9,19.0,0.0,0.0,0.0,1.2,7.67,0.0,1.2,9,1.0,0.0,0.0
09:00,9,11.6451,cukup,"BMKG,CMA,ECMWF,GFS,ICON,KMA,METEOFRANCE,METNO,UKMO",Cerah,88.4,Tinggi,22.98,+/-0.47,68.05,+/-5.96,0.0,+/-0.0,22.98,+/-0.47,62.5,21.6,16.0,0.0,0.0,0.0,0.47,5.96,0.0,0.47,9,1.0,6.67,60.0
