date,day_tag,hour,condition,temp_c,humidity_pct,heat_index_c,rain_probability,wind_kmh,risk_score,risk_label,risk_class
2026-08-17,Hari ini,00:00,Lembap pagi,21.7,93.0,21.7,14.5,2.6,14.5,Aman,safe
2026-08-17,Hari ini,01:00,Lembap pagi,21.2,93.0,21.2,14.7,2.2,14.7,Aman,safe
2026-08-17,Hari ini,02:00,Lembap pagi,20.9,94.0,20.9,15.1,1.8,15.4,Aman,safe
2026-08-17,Hari ini,03:00,Gerimis lokal,20.6,95.0,20.6,22.2,1.5,29.0,Perlu diperhatikan,watch
2026-08-17,Hari ini,04:00,Lembap pagi,20.5,95.0,20.5,15.0,2.2,15.7,Aman,safe
2026-08-17,Hari ini,05:00,Lembap pagi,20.3,96.0,20.3,13.8,2.9,15.3,Aman,safe
2026-08-17,Hari ini,06:00,Lembap pagi,20.2,96.0,20.2,13.5,4.0,15.0,Aman,safe
2026-08-17,Hari ini,07:00,Lembap pagi,20.9,93.0,20.9,6.4,2.9,8.5,Aman,safe
2026-08-17,Hari ini,08:00,Cerah berawan,23.4,82.0,23.4,30.0,1.8,22.2,Aman,safe
2026-08-17,Hari ini,09:00,Berawan dipantau,25.5,71.0,25.5,30.0,2.3,22.2,Aman,safe
2026-08-17,Hari ini,10:00,Cerah berawan,27.5,65.0,28.47,7.0,2.9,5.2,Aman,safe
2026-08-17,Hari ini,11:00,Awan tumbuh,28.4,62.0,29.68,21.5,5.4,15.9,Aman,safe
2026-08-17,Hari ini,12:00,Gerimis lokal,28.8,61.0,29.89,26.5,7.6,27.6,Aman,safe
2026-08-17,Hari ini,13:00,Awan tumbuh,28.9,58.0,30.16,30.9,8.0,22.9,Aman,safe
2026-08-17,Hari ini,14:00,Hujan lokal,28.8,58.0,30.01,40.8,9.4,38.2,Perlu diperhatikan,watch
2026-08-17,Hari ini,15:00,Hujan lokal,28.3,58.0,29.68,46.3,10.4,42.3,Perlu diperhatikan,watch
2026-08-17,Hari ini,16:00,Hujan lokal,27.6,60.0,28.78,46.9,9.4,42.7,Perlu diperhatikan,watch
2026-08-17,Hari ini,17:00,Awan tumbuh,26.1,66.0,26.1,33.3,8.6,24.6,Aman,safe
2026-08-17,Hari ini,18:00,Awan tumbuh,23.7,77.0,23.7,31.1,7.3,23.0,Aman,safe
2026-08-17,Hari ini,19:00,Cerah berawan,23.1,85.0,23.1,28.3,7.6,21.4,Aman,safe
2026-08-17,Hari ini,20:00,Lembap malam,21.7,88.0,21.7,19.3,6.6,16.0,Aman,safe
