tanggal,jam,observed_datetime,temp_c,rh_pct,rain_mm,wind_kmh,weather_code,category
06-06-2026,00:00,2026-06-06 00:00:00,21.2,92.0,0.0,1.1,1,Cerah Berawan
06-06-2026,01:00,2026-06-06 01:00:00,21.0,93.0,0.0,2.0,1,Cerah Berawan
06-06-2026,02:00,2026-06-06 02:00:00,20.1,98.0,0.0,2.4,0,Cerah
06-06-2026,03:00,2026-06-06 03:00:00,19.6,99.0,0.0,2.8,3,Berawan
06-06-2026,04:00,2026-06-06 04:00:00,19.3,99.0,0.0,3.1,3,Berawan
06-06-2026,05:00,2026-06-06 05:00:00,19.1,99.0,0.0,3.2,3,Berawan
06-06-2026,06:00,2026-06-06 06:00:00,18.7,99.0,0.0,3.0,3,Berawan
06-06-2026,07:00,2026-06-06 07:00:00,20.4,98.0,0.0,6.2,3,Berawan
06-06-2026,08:00,2026-06-06 08:00:00,23.4,92.0,0.0,3.4,1,Cerah Berawan
06-06-2026,09:00,2026-06-06 09:00:00,25.7,78.0,0.0,5.2,0,Cerah
06-06-2026,10:00,2026-06-06 10:00:00,27.4,68.0,0.0,7.7,0,Cerah
06-06-2026,11:00,2026-06-06 11:00:00,28.6,61.0,0.0,8.1,0,Cerah
06-06-2026,12:00,2026-06-06 12:00:00,29.3,55.0,0.0,8.5,1,Cerah Berawan
06-06-2026,13:00,2026-06-06 13:00:00,29.8,51.0,0.0,8.5,1,Cerah Berawan
06-06-2026,14:00,2026-06-06 14:00:00,29.5,53.0,0.0,10.4,2,Cerah Berawan
06-06-2026,15:00,2026-06-06 15:00:00,28.7,59.0,0.0,11.8,1,Cerah Berawan
06-06-2026,16:00,2026-06-06 16:00:00,27.6,66.0,0.0,12.4,2,Cerah Berawan
06-06-2026,17:00,2026-06-06 17:00:00,26.0,75.0,0.0,10.9,3,Berawan
06-06-2026,18:00,2026-06-06 18:00:00,24.2,86.0,0.0,8.4,3,Berawan
06-06-2026,19:00,2026-06-06 19:00:00,23.0,93.0,0.0,6.9,2,Cerah Berawan
06-06-2026,20:00,2026-06-06 20:00:00,22.6,96.0,0.0,5.3,2,Cerah Berawan
06-06-2026,21:00,2026-06-06 21:00:00,22.7,97.0,0.0,5.7,3,Berawan
06-06-2026,22:00,2026-06-06 22:00:00,22.4,94.0,0.0,5.8,3,Berawan
06-06-2026,23:00,2026-06-06 23:00:00,21.9,94.0,0.0,5.2,3,Berawan
