target_date,jam,target_datetime,lead_hours,lead_bucket,mission,location_personality,microclimate_profile,atmospheric_mode,predictability,dominant_category,dominant_category_probability,category_disagreement,sources_used,source_ids,coverage_fraction,temp_p05,temp_p10,temp_p25,temp_p50,temp_p75,temp_p90,temp_p95,temp_micro_p50,temp_micro_adjustment,rh_p10,rh_p50,rh_p90,rh_micro_p50,rh_micro_adjustment,rain_p05,rain_p10,rain_p25,rain_p50,rain_p75,rain_p90,rain_p95,prob_rain,prob_moderate_heavy_rain,prob_heavy_rain,wind_p50,wind_p90,gust_p90,heat_index_p50,heat_index_p90,cloud_p50,cape_p50,visibility_p10,analog_probability,analog_cases,direct_hit_risk,nearby_rain_risk,rain_displacement_risk,spatial_uncertainty,rain_threat_score,rain_threat_level,heavy_rain_threat_score,heavy_rain_threat_level,wind_threat_score,wind_threat_level,heat_discomfort_threat_score,heat_discomfort_threat_level,low_visibility_threat_score,low_visibility_threat_level,thunderstorm_proxy_threat_score,thunderstorm_proxy_threat_level,uncertainty_score,forecast_stress_index,forecast_failure_risk,self_doubt_score,main_failure_mode,scenario_dry_miss,scenario_nearby_rain_only,scenario_direct_light_rain,scenario_direct_moderate_rain,scenario_convective_burst,walking_score,motorbike_score,outdoor_event_score,fieldwork_score,laundry_score,sport_score,trust_level,operational_status,autopilot_route,confidence_score_base,source_health_mean,gap_mean_minutes,decision_recommendation,expert_council,counterfactual_summary,forecast_contract_summary,explanation,dew_point_c,apparent_temperature_c,pressure_msl_hpa,surface_pressure_hpa,wind_direction_deg,uv_index,grid_sampling_status,sentinel_public_version,official_warning_disclaimer,calibration_status,verification_cases,risk_score_basis,public_safety_note
2026-09-18,00:00,2026-09-18T00:00:00+07:00,0.0,lead_0_3h,safety_first,valley_humid_convective,valley_highland,MIXED_LOCAL_ATMOSPHERE,HIGH,Cerah Berawan,40.7,59.3,3,CMA+ECMWF+GFS,0.333,21.8,21.8,21.8,22.6,22.8,22.8,22.8,22.1,-0.5,77.0,79.0,94.0,83.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,4.1,4.4,9.4,22.6,22.8,52.0,210.0,20260.0,0.3,50,14.7,29.2,35.7,44.7,18.8,LOW,3.8,LOW,20.9,LOW,0.0,LOW,0.0,LOW,24.9,LOW,23.5,29.2,29.9,33.9,low_failure_risk_non_rain,86.7,5.6,3.9,1.3,2.5,8,6,6,7,4,7,USABLE,YELLOW,analog_memory_blend_route,44.6,1.0,0.0,Risiko relatif terkendali; keputusan normal masih masuk akal dengan pemantauan berkala.,"Local Signal Analyst: sinyal hujan belum dominan, tetapi tetap membaca tail-risk dari P90/P95. | Uncertainty Auditor: agreement relatif masih dapat diterima untuk keputusan umum. | Analog Memory Analyst: 50 kasus lokal historis/feedback ikut memodifikasi peluang hujan. | Decision Judge: mission=safety_first → Risiko relatif terkendali; keputusan normal masih masuk akal dengan pemantauan berkala.","Jika kategori antar-source lebih sepakat, trust level akan naik.",Boleh dipakai untuk keputusan umum dengan plan B dan update berkala.,Sentinel memilih interpretasi ini karena mode atmosfer MIXED_LOCAL_ATMOSPHERE; 3 source aktif.,19.2,25.5,1014.4,935.4,122.0,0.0,unavailable,sentinel-x-public-operational-v2,"Bukan peringatan resmi. Untuk cuaca ekstrem, ikuti informasi BMKG dan kondisi setempat.",VERIFIED_ENOUGH_DATA,1560,observation_verified,Decision support only; not an official warning.
2026-09-18,01:00,2026-09-18T01:00:00+07:00,0.0,lead_0_3h,safety_first,valley_humid_convective,valley_highland,MIXED_LOCAL_ATMOSPHERE,HIGH,Cerah Berawan,40.7,59.3,3,CMA+ECMWF+GFS,0.333,21.6,21.6,21.6,22.5,22.5,22.5,22.5,22.0,-0.5,80.0,81.0,93.0,85.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,3.5,4.4,9.0,22.5,22.5,54.0,180.0,24140.0,0.5,50,15.1,29.6,35.7,44.7,19.3,LOW,3.5,LOW,20.0,LOW,0.0,LOW,0.0,LOW,25.0,LOW,23.5,29.2,30.0,33.9,low_failure_risk_non_rain,86.6,5.7,3.9,1.3,2.5,8,6,6,7,4,7,USABLE,YELLOW,analog_memory_blend_route,44.8,1.0,0.0,Risiko relatif terkendali; keputusan normal masih masuk akal dengan pemantauan berkala.,"Local Signal Analyst: sinyal hujan belum dominan, tetapi tetap membaca tail-risk dari P90/P95. | Uncertainty Auditor: agreement relatif masih dapat diterima untuk keputusan umum. | Analog Memory Analyst: 50 kasus lokal historis/feedback ikut memodifikasi peluang hujan. | Decision Judge: mission=safety_first → Risiko relatif terkendali; keputusan normal masih masuk akal dengan pemantauan berkala.","Jika kategori antar-source lebih sepakat, trust level akan naik.",Boleh dipakai untuk keputusan umum dengan plan B dan update berkala.,Sentinel memilih interpretasi ini karena mode atmosfer MIXED_LOCAL_ATMOSPHERE; 3 source aktif.,19.3,25.3,1013.8,934.8,168.0,0.0,unavailable,sentinel-x-public-operational-v2,"Bukan peringatan resmi. Untuk cuaca ekstrem, ikuti informasi BMKG dan kondisi setempat.",VERIFIED_ENOUGH_DATA,1560,observation_verified,Decision support only; not an official warning.
2026-09-18,02:00,2026-09-18T02:00:00+07:00,0.0,lead_0_3h,safety_first,valley_humid_convective,valley_highland,MIXED_LOCAL_ATMOSPHERE,HIGH,Cerah Berawan,40.7,59.3,3,CMA+ECMWF+GFS,0.333,21.3,21.3,21.3,22.1,22.3,22.3,22.3,21.6,-0.5,82.0,83.0,90.0,87.0,4.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,12.6,0.0,0.0,3.9,4.8,9.4,22.1,22.3,69.0,120.0,24140.0,12.6,50,20.1,35.2,37.7,45.9,26.0,LOW,3.4,LOW,20.9,LOW,0.0,LOW,0.0,LOW,25.7,LOW,23.8,29.9,31.9,35.0,low_failure_risk_non_rain,78.2,9.0,7.3,3.0,2.5,7,6,5,6,2,7,USABLE,YELLOW,analog_memory_blend_route,44.9,1.0,0.0,Risiko relatif terkendali; keputusan normal masih masuk akal dengan pemantauan berkala.,"Local Signal Analyst: sinyal hujan belum dominan, tetapi tetap membaca tail-risk dari P90/P95. | Uncertainty Auditor: agreement relatif masih dapat diterima untuk keputusan umum. | Analog Memory Analyst: 50 kasus lokal historis/feedback ikut memodifikasi peluang hujan. | Decision Judge: mission=safety_first → Risiko relatif terkendali; keputusan normal masih masuk akal dengan pemantauan berkala.","Jika RH turun ±10%, rain support kemungkinan turun signifikan. Jika kategori antar-source lebih sepakat, trust level akan naik.",Boleh dipakai untuk keputusan umum dengan plan B dan update berkala.,Sentinel memilih interpretasi ini karena mode atmosfer MIXED_LOCAL_ATMOSPHERE; 3 source aktif.,19.2,24.9,1013.5,934.4,141.0,0.0,unavailable,sentinel-x-public-operational-v2,"Bukan peringatan resmi. Untuk cuaca ekstrem, ikuti informasi BMKG dan kondisi setempat.",VERIFIED_ENOUGH_DATA,1560,observation_verified,Decision support only; not an official warning.
2026-09-18,03:00,2026-09-18T03:00:00+07:00,0.0,lead_0_3h,safety_first,valley_humid_convective,valley_highland,HUMID_STABLE_MORNING,HIGH,Berawan,73.2,26.8,3,CMA+ECMWF+GFS,0.333,20.4,20.4,20.4,21.8,22.1,22.1,22.1,21.3,-0.5,86.0,87.0,87.0,91.0,4.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,13.9,0.0,0.0,6.0,6.1,10.8,21.8,22.1,90.0,50.0,24140.0,13.9,50,21.2,30.2,27.5,27.2,25.5,LOW,1.9,LOW,24.0,LOW,0.0,LOW,0.0,LOW,27.3,LOW,13.2,21.0,24.2,21.4,low_failure_risk_non_rain,79.5,6.4,9.0,3.6,1.5,7,5,6,6,1,7,USABLE,YELLOW,analog_memory_blend_route,53.1,1.0,0.0,Risiko relatif terkendali; keputusan normal masih masuk akal dengan pemantauan berkala.,"Local Signal Analyst: sinyal hujan belum dominan, tetapi tetap membaca tail-risk dari P90/P95. | Uncertainty Auditor: agreement relatif masih dapat diterima untuk keputusan umum. | Analog Memory Analyst: 50 kasus lokal historis/feedback ikut memodifikasi peluang hujan. | Decision Judge: mission=safety_first → Risiko relatif terkendali; keputusan normal masih masuk akal dengan pemantauan berkala.","Jika RH turun ±10%, rain support kemungkinan turun signifikan.",Boleh dipakai untuk keputusan umum dengan plan B dan update berkala.,Sentinel memilih interpretasi ini karena mode atmosfer HUMID_STABLE_MORNING; 3 source aktif.,19.1,24.1,1013.4,934.2,121.0,0.0,unavailable,sentinel-x-public-operational-v2,"Bukan peringatan resmi. Untuk cuaca ekstrem, ikuti informasi BMKG dan kondisi setempat.",VERIFIED_ENOUGH_DATA,1560,observation_verified,Decision support only; not an official warning.
2026-09-18,04:00,2026-09-18T04:00:00+07:00,0.0,lead_0_3h,safety_first,valley_humid_convective,valley_highland,HUMID_STABLE_MORNING,HIGH,Berawan,73.2,26.8,3,CMA+ECMWF+GFS,0.333,19.7,19.7,19.7,21.6,22.0,22.0,22.0,21.1,-0.5,84.0,87.0,88.0,91.0,4.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,14.2,0.0,0.0,6.7,6.9,11.9,21.6,22.0,99.0,20.0,24140.0,14.2,50,21.4,30.4,27.5,27.2,25.7,LOW,1.7,LOW,26.4,LOW,0.0,LOW,0.0,LOW,27.7,LOW,13.2,21.0,24.2,21.4,low_failure_risk_non_rain,79.2,6.5,9.1,3.7,1.5,7,5,6,6,1,7,USABLE,YELLOW,analog_memory_blend_route,52.9,1.0,0.0,Risiko relatif terkendali; keputusan normal masih masuk akal dengan pemantauan berkala.,"Local Signal Analyst: sinyal hujan belum dominan, tetapi tetap membaca tail-risk dari P90/P95. | Uncertainty Auditor: agreement relatif masih dapat diterima untuk keputusan umum. | Analog Memory Analyst: 50 kasus lokal historis/feedback ikut memodifikasi peluang hujan. | Decision Judge: mission=safety_first → Risiko relatif terkendali; keputusan normal masih masuk akal dengan pemantauan berkala.","Jika RH turun ±10%, rain support kemungkinan turun signifikan.",Boleh dipakai untuk keputusan umum dengan plan B dan update berkala.,Sentinel memilih interpretasi ini karena mode atmosfer HUMID_STABLE_MORNING; 3 source aktif.,18.8,23.5,1013.4,934.1,123.0,0.0,unavailable,sentinel-x-public-operational-v2,"Bukan peringatan resmi. Untuk cuaca ekstrem, ikuti informasi BMKG dan kondisi setempat.",VERIFIED_ENOUGH_DATA,1560,observation_verified,Decision support only; not an official warning.
2026-09-18,05:00,2026-09-18T05:00:00+07:00,0.0,lead_0_3h,safety_first,valley_humid_convective,valley_highland,HUMID_STABLE_MORNING,HIGH,Cerah Berawan,59.3,40.7,3,CMA+ECMWF+GFS,0.333,18.3,18.3,18.3,21.5,22.0,22.0,22.0,21.0,-0.5,82.0,87.0,91.0,91.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1,0.0,0.0,6.2,6.6,12.2,21.5,22.0,31.0,0.0,24140.0,1.1,50,16.0,27.2,29.9,34.0,19.6,LOW,1.7,LOW,27.1,LOW,0.0,LOW,0.0,LOW,20.5,LOW,17.4,24.1,25.5,26.1,low_failure_risk_non_rain,88.0,4.6,4.1,1.4,1.9,7,6,6,7,5,7,USABLE,YELLOW,analog_memory_blend_route,49.0,1.0,0.0,Risiko relatif terkendali; keputusan normal masih masuk akal dengan pemantauan berkala.,"Local Signal Analyst: sinyal hujan belum dominan, tetapi tetap membaca tail-risk dari P90/P95. | Uncertainty Auditor: agreement relatif masih dapat diterima untuk keputusan umum. | Analog Memory Analyst: 50 kasus lokal historis/feedback ikut memodifikasi peluang hujan. | Decision Judge: mission=safety_first → Risiko relatif terkendali; keputusan normal masih masuk akal dengan pemantauan berkala.","Jika RH turun ±10%, rain support kemungkinan turun signifikan.",Boleh dipakai untuk keputusan umum dengan plan B dan update berkala.,Sentinel memilih interpretasi ini karena mode atmosfer HUMID_STABLE_MORNING; 3 source aktif.,18.4,22.9,1013.9,934.5,120.0,0.0,unavailable,sentinel-x-public-operational-v2,"Bukan peringatan resmi. Untuk cuaca ekstrem, ikuti informasi BMKG dan kondisi setempat.",VERIFIED_ENOUGH_DATA,1560,observation_verified,Decision support only; not an official warning.
2026-09-18,06:00,2026-09-18T06:00:00+07:00,0.0,lead_0_3h,safety_first,valley_humid_convective,valley_highland,STABLE_LOW_RAIN,HIGH,Cerah,59.3,40.7,3,CMA+ECMWF+GFS,0.333,18.1,18.1,18.1,21.7,22.3,22.3,22.3,21.2,-0.5,80.0,85.0,88.0,89.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,5.6,5.9,12.6,21.7,22.3,12.0,0.0,24140.0,0.8,50,15.7,26.8,29.8,33.9,19.1,LOW,1.7,LOW,28.0,LOW,0.0,LOW,0.0,LOW,18.2,LOW,17.4,24.1,25.5,26.1,low_failure_risk_non_rain,88.0,4.5,4.2,1.4,1.9,8,6,6,7,7,7,USABLE,YELLOW,analog_memory_blend_route,48.9,1.0,0.0,Risiko relatif terkendali; keputusan normal masih masuk akal dengan pemantauan berkala.,"Local Signal Analyst: sinyal hujan belum dominan, tetapi tetap membaca tail-risk dari P90/P95. | Uncertainty Auditor: agreement relatif masih dapat diterima untuk keputusan umum. | Analog Memory Analyst: 50 kasus lokal historis/feedback ikut memodifikasi peluang hujan. | Decision Judge: mission=safety_first → Risiko relatif terkendali; keputusan normal masih masuk akal dengan pemantauan berkala.","Jika RH turun ±10%, rain support kemungkinan turun signifikan.",Boleh dipakai untuk keputusan umum dengan plan B dan update berkala.,Sentinel memilih interpretasi ini karena mode atmosfer STABLE_LOW_RAIN; 3 source aktif.,18.0,22.9,1014.5,935.1,119.0,0.0,unavailable,sentinel-x-public-operational-v2,"Bukan peringatan resmi. Untuk cuaca ekstrem, ikuti informasi BMKG dan kondisi setempat.",VERIFIED_ENOUGH_DATA,1560,observation_verified,Decision support only; not an official warning.
2026-09-18,07:00,2026-09-18T07:00:00+07:00,0.0,lead_0_3h,safety_first,valley_humid_convective,valley_highland,STABLE_LOW_RAIN,HIGH,Cerah Berawan,73.2,26.8,3,CMA+ECMWF+GFS,0.333,21.4,21.4,21.4,22.4,22.7,22.7,22.7,21.9,-0.5,71.0,78.0,80.0,82.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,5.2,6.1,13.7,22.4,22.7,34.0,0.0,24140.0,0.5,50,14.3,23.2,25.3,25.9,16.9,LOW,1.3,LOW,30.4,LOW,0.0,LOW,0.0,LOW,19.0,LOW,12.9,20.2,22.1,20.3,low_failure_risk_non_rain,88.6,4.3,4.2,1.4,1.5,8,6,7,7,6,7,USABLE,YELLOW,analog_memory_blend_route,52.9,1.0,0.0,"Window relatif baik untuk aktivitas luar ruang, tetapi tetap cek update menjelang siang.","Local Signal Analyst: sinyal hujan belum dominan, tetapi tetap membaca tail-risk dari P90/P95. | Uncertainty Auditor: agreement relatif masih dapat diterima untuk keputusan umum. | Analog Memory Analyst: 50 kasus lokal historis/feedback ikut memodifikasi peluang hujan. | Decision Judge: mission=safety_first → Window relatif baik untuk aktivitas luar ruang, tetapi tetap cek update menjelang siang.",Faktor pengubah utama belum dominan; forecast relatif dikendalikan oleh consensus source.,Boleh dipakai untuk keputusan umum dengan plan B dan update berkala.,Sentinel memilih interpretasi ini karena mode atmosfer STABLE_LOW_RAIN; 3 source aktif.,17.8,24.3,1014.9,935.8,112.0,0.8,unavailable,sentinel-x-public-operational-v2,"Bukan peringatan resmi. Untuk cuaca ekstrem, ikuti informasi BMKG dan kondisi setempat.",VERIFIED_ENOUGH_DATA,1560,observation_verified,Decision support only; not an official warning.
2026-09-18,08:00,2026-09-18T08:00:00+07:00,0.0,lead_0_3h,safety_first,valley_humid_convective,valley_highland,STABLE_LOW_RAIN,HIGH,Cerah Berawan,73.2,26.8,3,CMA+ECMWF+GFS,0.333,23.6,23.6,23.6,24.4,24.9,24.9,24.9,24.4,0.0,57.0,69.0,74.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.2,6.4,15.8,24.4,24.9,22.0,0.0,24140.0,0.0,50,12.7,21.9,25.3,25.9,15.0,LOW,1.3,LOW,35.1,MEDIUM,0.0,LOW,0.0,LOW,16.0,LOW,12.9,20.2,22.0,20.2,low_failure_risk_non_rain,88.6,4.2,4.3,1.4,1.5,8,6,7,8,7,8,USABLE,YELLOW,analog_memory_blend_route,52.7,1.0,0.0,"Window relatif baik untuk aktivitas luar ruang, tetapi tetap cek update menjelang siang.","Local Signal Analyst: sinyal hujan belum dominan, tetapi tetap membaca tail-risk dari P90/P95. | Uncertainty Auditor: agreement relatif masih dapat diterima untuk keputusan umum. | Analog Memory Analyst: 50 kasus lokal historis/feedback ikut memodifikasi peluang hujan. | Decision Judge: mission=safety_first → Window relatif baik untuk aktivitas luar ruang, tetapi tetap cek update menjelang siang.",Faktor pengubah utama belum dominan; forecast relatif dikendalikan oleh consensus source.,Boleh dipakai untuk keputusan umum dengan plan B dan update berkala.,Sentinel memilih interpretasi ini karena mode atmosfer STABLE_LOW_RAIN; 3 source aktif.,17.6,26.3,1014.8,936.2,106.0,2.7,unavailable,sentinel-x-public-operational-v2,"Bukan peringatan resmi. Untuk cuaca ekstrem, ikuti informasi BMKG dan kondisi setempat.",VERIFIED_ENOUGH_DATA,1560,observation_verified,Decision support only; not an official warning.
2026-09-18,09:00,2026-09-18T09:00:00+07:00,0.0,lead_0_3h,safety_first,valley_humid_convective,valley_highland,STABLE_LOW_RAIN,HIGH,Cerah,100.0,0.0,3,CMA+ECMWF+GFS,0.333,24.7,24.7,24.7,26.9,28.2,28.2,28.2,26.9,0.0,48.0,56.0,69.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.4,8.8,19.1,27.69,28.49,10.0,0.0,24140.0,0.0,50,10.0,15.3,16.7,10.4,11.1,LOW,0.4,LOW,42.4,MEDIUM,16.6,LOW,0.0,LOW,12.2,LOW,4.2,12.8,15.5,9.0,low_failure_risk_non_rain,89.0,4.5,4.5,1.5,0.5,7,6,8,8,8,7,TRUSTED,GREEN,analog_memory_blend_route,58.9,1.0,0.0,"Window relatif baik untuk aktivitas luar ruang, tetapi tetap cek update menjelang siang.","Local Signal Analyst: sinyal hujan belum dominan, tetapi tetap membaca tail-risk dari P90/P95. | Uncertainty Auditor: agreement relatif masih dapat diterima untuk keputusan umum. | Analog Memory Analyst: 50 kasus lokal historis/feedback ikut memodifikasi peluang hujan. | Decision Judge: mission=safety_first → Window relatif baik untuk aktivitas luar ruang, tetapi tetap cek update menjelang siang.",Faktor pengubah utama belum dominan; forecast relatif dikendalikan oleh consensus source.,Boleh dipakai untuk rencana umum; tetap bukan peringatan resmi cuaca ekstrem.,Sentinel memilih interpretasi ini karena mode atmosfer STABLE_LOW_RAIN; 3 source aktif.,17.3,28.7,1014.4,936.5,102.0,5.0,unavailable,sentinel-x-public-operational-v2,"Bukan peringatan resmi. Untuk cuaca ekstrem, ikuti informasi BMKG dan kondisi setempat.",VERIFIED_ENOUGH_DATA,1560,observation_verified,Decision support only; not an official warning.
