jam,cuaca,suhu_C,kelembapan_RH_pct,heat_index_C,terasa_seperti_C,dew_point_C,tekanan_udara_hpa,peluang_hujan_pct,curah_hujan_p50_mm,curah_hujan_p90_mm,angin_kmh,hembusan_angin_p90_kmh,arah_angin_derajat,tutupan_awan_pct,jarak_pandang_p10_m,indeks_uv,risiko_hujan,saran
00:00,Cerah,17.9,86.0,17.9,20.2,16.4,1016.5,0.0,0.0,0.0,6.4,15.5,132.0,76.0,13540.0,0.0,low,Risiko relatif terkendali; keputusan normal masih masuk akal dengan pemantauan berkala.
01:00,Cerah,17.2,88.0,17.2,19.6,16.1,1016.0,0.0,0.0,0.0,6.4,15.1,132.0,82.0,13460.0,0.0,low,Risiko relatif terkendali; keputusan normal masih masuk akal dengan pemantauan berkala.
02:00,Berawan,16.6,91.0,16.6,19.2,15.9,1015.8,0.0,0.0,0.0,6.3,14.4,132.0,63.0,13040.0,0.0,low,Risiko relatif terkendali; keputusan normal masih masuk akal dengan pemantauan berkala.
03:00,Berawan,16.2,94.0,16.2,18.7,15.8,1015.7,0.0,0.0,0.0,5.8,13.7,136.0,87.0,12600.0,0.0,low,Risiko relatif terkendali; keputusan normal masih masuk akal dengan pemantauan berkala.
04:00,Berawan,16.1,95.0,16.1,18.3,15.7,1015.8,0.0,0.0,0.0,6.3,13.3,133.0,84.0,12080.0,0.0,low,Risiko relatif terkendali; keputusan normal masih masuk akal dengan pemantauan berkala.
05:00,Cerah Berawan,16.3,94.0,16.3,18.3,15.6,1016.2,0.0,0.0,0.0,6.2,13.7,121.0,27.0,11540.0,0.0,low,Risiko relatif terkendali; keputusan normal masih masuk akal dengan pemantauan berkala.
06:00,Cerah Berawan,17.0,90.0,17.0,18.4,15.7,1016.8,0.0,0.0,0.0,5.8,14.0,171.0,34.0,11500.0,0.0,low,Risiko relatif terkendali; keputusan normal masih masuk akal dengan pemantauan berkala.
07:00,Cerah Berawan,18.2,85.0,18.2,20.8,16.5,1017.3,0.0,0.0,0.0,5.8,15.5,123.0,40.0,20660.0,0.6,low,"Window relatif baik untuk aktivitas luar ruang, tetapi tetap cek update menjelang siang."
08:00,Cerah Berawan,22.0,73.0,22.0,24.4,16.8,1017.3,0.0,0.0,0.0,5.8,18.0,131.0,56.0,23840.0,2.2,low,"Window relatif baik untuk aktivitas luar ruang, tetapi tetap cek update menjelang siang."
09:00,Cerah Berawan,25.0,57.0,25.0,28.0,16.4,1017.0,0.0,0.0,0.0,5.9,20.9,118.0,39.0,24140.0,4.6,low,"Window relatif baik untuk aktivitas luar ruang, tetapi tetap cek update menjelang siang."
